Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2010-01-04,20.109189987182617,29.75,0.0,30.25,29.5,29.5,0.0,231800
2010-01-05,20.109189987182617,29.75,0.0,30.25,29.75,30.25,0.0,524400
2010-01-06,20.278169631958008,30.0,0.0,30.5,29.75,30.5,0.0,1105700
2010-01-07,20.616140365600586,30.5,0.0,30.5,30.0,30.25,0.0,245700
2010-01-08,20.278169631958008,30.0,0.0,30.75,30.0,30.25,0.0,293100
2010-01-11,20.447158813476562,30.25,0.0,30.5,30.0,30.0,0.0,167600
2010-01-12,20.278169631958008,30.0,0.0,30.5,30.0,30.25,0.0,204000
2010-01-13,20.447158813476562,30.25,0.0,30.25,30.0,30.25,0.0,661100
2010-01-14,20.447158813476562,30.25,0.0,30.25,30.0,30.25,0.0,457200
2010-01-15,21.799034118652344,32.25,0.0,32.75,30.25,30.25,0.0,2556800
2010-01-18,21.799034118652344,32.25,0.0,32.5,31.75,32.5,0.0,205800
2010-01-19,21.123104095458984,31.25,0.0,32.25,31.0,32.25,0.0,400100
2010-01-20,20.447158813476562,30.25,0.0,31.25,30.0,31.25,0.0,248200
2010-01-21,20.278169631958008,30.0,0.0,30.5,29.75,30.0,0.0,535300
2010-01-22,19.940200805664062,29.5,0.0,30.0,29.0,29.75,0.0,1267000
2010-01-25,19.940200805664062,29.5,0.0,29.5,29.25,29.25,0.0,212200
2010-01-26,19.602231979370117,29.0,0.0,29.5,29.0,29.5,0.0,233300
2010-01-27,19.433250427246094,28.75,0.0,29.0,28.5,29.0,0.0,209600
2010-01-28,19.264265060424805,28.5,0.0,28.75,28.0,28.5,0.0,710600
2010-01-29,19.264265060424805,28.5,0.0,28.5,28.0,28.0,0.0,166000
2010-02-01,19.264265060424805,28.5,0.0,28.5,28.0,28.25,0.0,314500
2010-02-02,19.77121925354004,29.25,0.0,29.25,28.5,28.5,0.0,369600
2010-02-03,19.77121925354004,29.25,0.0,29.5,29.0,29.25,0.0,609800
2010-02-04,19.602231979370117,29.0,0.0,29.25,29.0,29.25,0.0,124200
2010-02-05,19.433250427246094,28.75,0.0,29.0,28.75,28.75,0.0,255800
2010-02-08,19.264265060424805,28.5,0.0,28.75,28.0,28.5,0.0,475000
2010-02-09,19.264265060424805,28.5,0.0,28.5,28.0,28.25,0.0,107700
2010-02-10,19.602231979370117,29.0,0.0,29.0,28.75,29.0,0.0,26900
2010-02-11,19.602231979370117,29.0,0.0,29.25,28.75,28.75,0.0,510000
