Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2010-01-04,38.546993255615234,80.75,0.0,80.75,79.0,79.5,0.0,350900
2010-01-05,38.78565979003906,81.25,0.0,82.5,80.75,80.75,0.0,1144100
2010-01-06,38.42764663696289,80.5,0.0,82.0,80.25,82.0,0.0,375600
2010-01-07,38.42764663696289,80.5,0.0,80.5,79.25,80.25,0.0,342600
2010-01-08,38.42764663696289,80.5,0.0,80.5,80.0,80.5,0.0,87600
2010-01-11,38.66633224487305,81.0,0.0,81.0,80.0,80.5,0.0,212900
2010-01-12,38.42764663696289,80.5,0.0,80.75,80.0,80.0,0.0,246900
2010-01-13,38.66633224487305,81.0,0.0,81.0,80.0,80.25,0.0,151000
2010-01-14,38.66633224487305,81.0,0.0,81.75,80.75,81.0,0.0,89300
2010-01-15,38.66633224487305,81.0,0.0,81.75,80.75,81.75,0.0,62900
2010-01-18,39.02436065673828,81.75,0.0,81.75,80.75,81.0,0.0,142900
2010-01-19,39.621055603027344,83.0,0.0,83.0,81.75,81.75,0.0,919300
2010-01-20,38.9050178527832,81.5,0.0,83.0,81.5,83.0,0.0,1055900
2010-01-21,39.02436065673828,81.75,0.0,82.5,81.5,81.5,0.0,347200
2010-01-22,39.02436065673828,81.75,0.0,82.5,81.25,81.5,0.0,449800
2010-01-25,39.26304244995117,82.25,0.0,83.0,81.75,81.75,0.0,691900
2010-01-26,38.308311462402344,80.25,0.0,82.0,80.0,82.0,0.0,318100
2010-01-27,37.71162414550781,79.0,0.0,80.5,78.75,80.25,0.0,160600
2010-01-28,37.472930908203125,78.5,0.0,79.75,78.5,79.25,0.0,361300
2010-01-29,37.71162414550781,79.0,0.0,79.75,78.25,78.5,0.0,366800
2010-02-01,37.472930908203125,78.5,0.0,78.75,78.0,78.5,0.0,205700
2010-02-02,37.35359191894531,78.25,0.0,79.0,78.25,78.5,0.0,291400
2010-02-03,37.472930908203125,78.5,0.0,79.0,78.5,78.5,0.0,199000
2010-02-04,37.71162414550781,79.0,0.0,79.0,78.5,78.75,0.0,112400
2010-02-05,37.59226989746094,78.75,0.0,79.0,78.75,78.75,0.0,452800
2010-02-08,37.472930908203125,78.5,0.0,79.0,78.0,78.75,0.0,126400
2010-02-09,36.756874084472656,77.0,0.0,78.0,76.75,78.0,0.0,538200
2010-02-10,37.2342529296875,78.0,0.0,78.0,77.0,77.0,0.0,875300
2010-02-11,37.2342529296875,78.0,0.0,78.25,77.5,77.5,0.0,164900
2010-02-12,36.99557876586914,77.5,0.0,78.0,77.5,78.0,0.0,108600
2010-02-15,37.2342529296875,78.0,0.0,78.0,77.5,77.75,0.0,54900
2010-02-16,37.2342529296875,78.0,0.0,78.25,77.75,78.0,0.0,67300
2010-02-17,37.71162414550781,79.0,0.0,79.25,78.0,78.0,0.0,62800
2010-02-18,37.83095169067383,79.25,0.0,79.5,79.0,79.0,0.0,127200
2010-02-19,38.308311462402344,80.25,0.0,80.75,79.25,79.25,0.0,253600
2010-02-22,39.02436065673828,81.75,0.0,81.75,80.75,80.75,0.0,370500
2010-02-23,38.66633224487305,81.0,0.0,81.75,80.75,81.75,0.0,607300
2010-02-24,38.66633224487305,81.0,0.0,81.25,80.25,81.25,0.0,615800
2010-02-25,38.78565979003906,81.25,0.0,81.5,81.0,81.5,0.0,266700
2010-02-26,38.78565979003906,81.25,0.0,81.5,80.75,81.5,0.0,538000
2010-03-02,38.78565979003906,81.25,0.0,81.75,80.25,81.75,0.0,1926700
2010-03-03,38.42764663696289,80.5,0.0,81.25,80.0,81.25,0.0,1077900
2010-03-04,38.304107666015625,77.5,2.75,78.0,77.0,78.0,0.0,630900
2010-03-05,38.304107666015625,77.5,0.0,78.0,77.5,77.5,0.0,232400
2010-03-08,38.42764663696289,77.75,0.0,78.25,77.25,77.75,0.0,759000
2010-03-09,38.42764663696289,77.75,0.0,78.5,77.75,77.75,0.0,257800
2010-03-10,38.79833984375,78.5,0.0,78.5,77.75,78.0,0.0,191100
2010-03-11,39.169029235839844,79.25,0.0,79.25,78.5,78.5,0.0,459700
2010-03-12,39.169029235839844,79.25,0.0,79.75,78.5,79.75,0.0,278200
2010-03-15,39.4161491394043,79.75,0.0,80.0,78.75,79.25,0.0,187000
2010-03-16,39.4161491394043,79.75,0.0,80.0,79.5,79.75,0.0,313800
2010-03-17,39.045467376708984,79.0,0.0,80.0,78.75,80.0,0.0,737100
2010-03-18,39.045467376708984,79.0,0.0,79.5,79.0,79.25,0.0,296800
2010-03-19,39.045467376708984,79.0,0.0,79.75,79.0,79.25,0.0,875900
2010-03-22,39.045467376708984,79.0,0.0,79.75,79.0,79.0,0.0,1185000
2010-03-23,39.169029235839844,79.25,0.0,80.0,78.75,80.0,0.0,924700
2010-03-24,39.29257583618164,79.5,0.0,80.0,79.25,79.25,0.0,464700
2010-03-25,39.4161491394043,79.75,0.0,79.75,78.75,79.75,0.0,472900
2010-03-26,39.169029235839844,79.25,0.0,80.0,79.25,79.25,0.0,159100
2010-03-29,39.29257583618164,79.5,0.0,80.0,79.25,80.0,0.0,310200
2010-03-30,39.78683090209961,80.5,0.0,80.5,79.5,79.5,0.0,342600
2010-03-31,39.539695739746094,80.0,0.0,80.5,80.0,80.5,0.0,556600
2010-04-01,39.66326141357422,80.25,0.0,80.5,80.0,80.5,0.0,631700
2010-04-02,39.66326141357422,80.25,0.0,80.5,80.25,80.25,0.0,188100
2010-04-05,39.78683090209961,80.5,0.0,80.5,80.25,80.5,0.0,474300
2010-04-07,39.78683090209961,80.5,0.0,81.0,80.25,80.75,0.0,538300
2010-04-08,39.78683090209961,80.5,0.0,81.0,80.25,81.0,0.0,677000
2010-04-09,39.66326141357422,80.25,0.0,80.75,80.0,80.5,0.0,693300
2010-04-12,40.03396224975586,81.0,0.0,81.25,79.5,80.0,0.0,1121000
2010-04-16,39.539695739746094,80.0,0.0,81.0,80.0,81.0,0.0,1473100
2010-04-19,39.29257583618164,79.5,0.0,80.0,79.5,80.0,0.0,584800
2010-04-20,39.539695739746094,80.0,0.0,80.0,79.5,79.5,0.0,211500
2010-04-21,39.29257583618164,79.5,0.0,80.25,79.5,79.5,0.0,441800
2010-04-22,39.4161491394043,79.75,0.0,80.0,79.5,80.0,0.0,399600
2010-04-23,39.539695739746094,80.0,0.0,80.0,79.25,79.25,0.0,112700
2010-04-26,39.29257583618164,79.5,0.0,80.75,79.5,80.25,0.0,283700
2010-04-27,39.4161491394043,79.75,0.0,79.75,79.5,79.5,0.0,329600
2010-04-28,39.169029235839844,79.25,0.0,79.5,79.25,79.5,0.0,297000
2010-04-29,39.169029235839844,79.25,0.0,79.5,79.0,79.0,0.0,309000
2010-04-30,39.4161491394043,79.75,0.0,79.75,79.25,79.25,0.0,334900
2010-05-04,39.66326141357422,80.25,0.0,80.25,79.75,80.0,0.0,235100
2010-05-06,39.29257583618164,79.5,0.0,80.5,79.5,80.5,0.0,484800
2010-05-07,39.29257583618164,79.5,0.0,79.5,78.75,79.5,0.0,806800
2010-05-10,39.4161491394043,79.75,0.0,79.75,79.0,79.25,0.0,320600
2010-05-11,39.29257583618164,79.5,0.0,79.75,79.5,79.75,0.0,385900
2010-05-12,39.4161491394043,79.75,0.0,80.0,79.5,79.5,0.0,219100
2010-05-13,39.4161491394043,79.75,0.0,80.0,79.5,79.75,0.0,522000
2010-05-14,39.4161491394043,79.75,0.0,79.75,79.0,79.0,0.0,190000
2010-05-17,39.29257583618164,79.5,0.0,79.5,78.5,78.5,0.0,143600
2010-05-18,39.169029235839844,79.25,0.0,79.5,79.0,79.0,0.0,359500
2010-05-19,39.4161491394043,79.75,0.0,79.75,78.75,78.75,0.0,118500
2010-05-20,39.4161491394043,79.75,0.0,79.75,79.75,79.75,0.0,0
2010-05-21,39.4161491394043,79.75,0.0,79.75,79.75,79.75,0.0,0
2010-05-24,39.045467376708984,79.0,0.0,79.75,78.75,79.75,0.0,374400
2010-05-25,38.55121612548828,78.0,0.0,79.0,77.5,79.0,0.0,372000
2010-05-26,38.55121612548828,78.0,0.0,79.0,77.25,79.0,0.0,715700
2010-05-27,38.79833984375,78.5,0.0,78.5,77.5,78.0,0.0,215800
2010-05-31,38.42764663696289,77.75,0.0,78.75,77.5,78.75,0.0,776300
2010-06-01,38.42764663696289,77.75,0.0,77.75,77.5,77.75,0.0,255600
2010-06-02,38.55121612548828,78.0,0.0,78.0,77.25,77.75,0.0,721100
2010-06-03,39.045467376708984,79.0,0.0,79.0,78.25,78.25,0.0,376300
2010-06-04,39.045467376708984,79.0,0.0,79.0,78.25,78.25,0.0,147400
2010-06-07,39.045467376708984,79.0,0.0,79.0,77.5,77.5,0.0,191900
2010-06-08,38.79833984375,78.5,0.0,79.25,78.25,79.0,0.0,181000
2010-06-09,38.79833984375,78.5,0.0,79.0,78.25,78.75,0.0,99900
2010-06-10,39.045467376708984,79.0,0.0,79.0,78.25,78.25,0.0,67400
2010-06-11,39.045467376708984,79.0,0.0,79.25,78.75,79.25,0.0,111800
2010-06-14,38.92189407348633,78.75,0.0,79.25,78.75,79.0,0.0,124100
2010-06-15,39.4161491394043,79.75,0.0,79.75,78.75,78.75,0.0,275700
2010-06-16,39.29257583618164,79.5,0.0,79.5,79.0,79.5,0.0,121900
2010-06-17,39.169029235839844,79.25,0.0,79.75,79.0,79.5,0.0,56900
2010-06-18,39.78683090209961,80.5,0.0,80.5,79.0,79.25,0.0,542200
2010-06-21,39.66326141357422,80.25,0.0,80.5,79.25,79.5,0.0,266100
2010-06-22,39.91039276123047,80.75,0.0,80.75,79.5,79.5,0.0,486700
2010-06-23,40.28107833862305,81.5,0.0,81.5,80.0,80.25,0.0,321600
2010-06-24,40.528202056884766,82.0,0.0,82.0,81.0,81.5,0.0,421200
2010-06-25,40.77531433105469,82.5,0.0,82.75,80.75,81.5,0.0,370900
2010-06-28,40.4046516418457,81.75,0.0,83.0,81.5,83.0,0.0,226100
2010-06-29,40.4046516418457,81.75,0.0,82.25,81.75,81.75,0.0,176600
2010-06-30,40.528202056884766,82.0,0.0,82.0,81.5,81.75,0.0,244100
2010-07-02,41.022438049316406,83.0,0.0,83.0,81.5,81.5,0.0,280400
