Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2021-02-11,24.878461837768555,29.25,0.0,29.5,22.100000381469727,26.5,0.0,1818125500
2021-02-15,28.91855239868164,34.0,0.0,36.5,30.5,30.75,0.0,1149682700
2021-02-16,27.855369567871094,32.75,0.0,35.0,32.0,35.0,0.0,479377100
2021-02-17,25.09109878540039,29.5,0.0,32.5,29.5,31.5,0.0,338385400
2021-02-18,25.72901153564453,30.25,0.0,31.5,29.75,30.25,0.0,280945100
2021-02-19,26.79218864440918,31.5,0.0,31.5,30.0,31.0,0.0,221276300
2021-02-22,27.004825592041016,31.75,0.0,32.5,31.25,32.25,0.0,175380100
2021-02-23,26.366918563842773,31.0,0.0,32.25,30.75,32.0,0.0,184256000
2021-02-24,26.154277801513672,30.75,0.0,31.25,30.0,30.75,0.0,156591000
2021-02-25,25.09109878540039,29.5,0.0,31.5,29.5,31.0,0.0,436978200
2021-03-01,25.09109878540039,29.5,0.0,30.0,28.5,29.25,0.0,138645300
2021-03-02,24.878461837768555,29.25,0.0,29.75,28.75,29.0,0.0,96852000
2021-03-03,25.303733825683594,29.75,0.0,30.0,29.0,29.5,0.0,107158800
2021-03-04,25.303733825683594,29.75,0.0,29.75,29.25,29.5,0.0,79489200
2021-03-05,25.72901153564453,30.25,0.0,31.25,29.75,29.75,0.0,183251300
2021-03-08,25.303733825683594,29.75,0.0,30.75,29.5,30.5,0.0,113311000
2021-03-09,25.303733825683594,29.75,0.0,30.25,29.5,29.75,0.0,64545400
2021-03-10,25.94164276123047,30.5,0.0,30.5,29.5,29.5,0.0,130051100
2021-03-11,25.72901153564453,30.25,0.0,31.0,30.0,31.0,0.0,74421600
2021-03-12,25.72901153564453,30.25,0.0,30.25,29.5,30.0,0.0,90126700
2021-03-15,25.516372680664062,30.0,0.0,30.25,29.75,30.0,0.0,44782100
2021-03-16,25.38836097717285,29.75,0.1,30.25,29.75,30.0,0.0,27863800
2021-03-17,28.161880493164062,33.0,0.0,33.0,29.75,30.0,0.0,379372800
2021-03-18,28.161880493164062,33.0,0.0,33.5,32.25,33.25,0.0,143643000
2021-03-19,27.308488845825195,32.0,0.0,33.0,31.5,32.5,0.0,138127800
2021-03-22,27.095142364501953,31.75,0.0,32.0,30.75,31.75,0.0,111719700
2021-03-23,27.521839141845703,32.25,0.0,33.0,31.75,32.75,0.0,143290300
2021-03-24,28.161880493164062,33.0,0.0,33.0,31.75,32.0,0.0,151559700
2021-03-25,27.308488845825195,32.0,0.0,33.5,32.0,33.0,0.0,152526000
2021-03-26,27.948532104492188,32.75,0.0,32.75,31.75,32.25,0.0,75549200
2021-03-29,27.948532104492188,32.75,0.0,33.0,32.25,32.75,0.0,42527400
2021-03-30,27.735185623168945,32.5,0.0,32.75,32.0,32.75,0.0,58296300
2021-03-31,27.521839141845703,32.25,0.0,32.75,32.0,32.5,0.0,52500600
2021-04-01,27.521839141845703,32.25,0.0,32.75,32.25,32.25,0.0,44728300
2021-04-02,27.521839141845703,32.25,0.0,32.75,32.0,32.25,0.0,46369600
2021-04-05,27.095142364501953,31.75,0.0,32.5,31.5,32.25,0.0,43836000
2021-04-07,26.668447494506836,31.25,0.0,31.75,31.0,31.5,0.0,52073600
2021-04-08,26.88179588317871,31.5,0.0,31.75,31.0,31.25,0.0,43692900
2021-04-09,26.45509910583496,31.0,0.0,31.75,30.75,31.5,0.0,53156300
2021-04-12,25.815059661865234,30.25,0.0,30.75,30.25,30.75,0.0,33425700
2021-04-16,26.02840232849121,30.5,0.0,30.5,29.75,30.5,0.0,62477200
2021-04-19,26.24175453186035,30.75,0.0,31.0,30.25,30.5,0.0,36415100
2021-04-20,25.815059661865234,30.25,0.0,30.75,30.0,30.5,0.0,47373500
2021-04-21,25.815059661865234,30.25,0.0,30.5,30.0,30.0,0.0,16878000
2021-04-22,25.60171127319336,30.0,0.0,30.5,30.0,30.25,0.0,33233000
2021-04-23,25.60171127319336,30.0,0.0,30.25,29.75,30.0,0.0,28225200
2021-04-26,25.17501449584961,29.5,0.0,30.0,29.5,30.0,0.0,38268900
2021-04-27,25.38836097717285,29.75,0.0,30.0,29.25,29.5,0.0,44864200
2021-04-28,25.60171127319336,30.0,0.0,30.25,29.75,30.0,0.0,34751200
2021-04-29,26.24175453186035,30.75,0.0,30.75,30.0,30.0,0.0,49083000
2021-04-30,26.02840232849121,30.5,0.0,30.75,30.0,30.75,0.0,27832400
2021-05-05,25.17501449584961,29.5,0.0,30.25,29.5,30.25,0.0,58179900
2021-05-06,25.38836097717285,29.75,0.0,30.0,29.5,29.75,0.0,28525900
2021-05-07,25.38836097717285,29.75,0.0,30.0,29.5,29.75,0.0,24411000
2021-05-10,24.961668014526367,29.25,0.0,30.0,29.0,29.75,0.0,55446100
2021-05-11,24.74831771850586,29.0,0.0,29.5,28.75,29.25,0.0,46240000
2021-05-12,24.321624755859375,28.5,0.0,29.75,28.5,29.5,0.0,69385600
2021-05-13,24.321624755859375,28.5,0.0,28.75,27.5,28.0,0.0,69097200
2021-05-14,24.321624755859375,28.5,0.0,29.0,28.25,28.75,0.0,36635000
2021-05-17,24.108278274536133,28.25,0.0,28.75,28.0,28.25,0.0,35807700
2021-05-18,24.961668014526367,29.25,0.0,29.25,28.5,28.5,0.0,37234400
2021-05-19,24.961668014526367,29.25,0.0,29.5,29.0,29.0,0.0,25068700
2021-05-20,24.961668014526367,29.25,0.0,29.75,29.0,29.5,0.0,38446900
2021-05-21,25.17501449584961,29.5,0.0,29.5,29.0,29.5,0.0,25516500
2021-05-24,25.38836097717285,29.75,0.0,30.25,29.5,29.75,0.0,41397300
2021-05-25,25.60171127319336,30.0,0.0,30.25,29.75,30.0,0.0,23760600
2021-05-27,25.60171127319336,30.0,0.0,30.75,29.75,30.0,0.0,85248300
2021-05-28,25.815059661865234,30.25,0.0,30.75,30.0,30.25,0.0,43238300
2021-05-31,25.60171127319336,30.0,0.0,30.25,30.0,30.25,0.0,17945100
2021-06-01,27.308488845825195,32.0,0.0,32.0,30.0,30.25,0.0,139797700
2021-06-02,26.668447494506836,31.25,0.0,32.0,31.0,31.75,0.0,79986400
2021-06-04,26.668447494506836,31.25,0.0,31.5,31.0,31.25,0.0,25454200
2021-06-07,26.45509910583496,31.0,0.0,32.0,31.0,31.25,0.0,74439700
2021-06-08,25.60171127319336,30.0,0.0,31.25,30.0,31.0,0.0,56885600
2021-06-09,26.24175453186035,30.75,0.0,30.75,30.0,30.25,0.0,49612000
2021-06-10,25.815059661865234,30.25,0.0,31.25,30.25,31.0,0.0,44326800
2021-06-11,26.45509910583496,31.0,0.0,31.25,30.25,30.5,0.0,46296300
2021-06-14,26.668447494506836,31.25,0.0,31.25,30.5,31.25,0.0,44898200
2021-06-15,26.45509910583496,31.0,0.0,31.5,30.75,31.25,0.0,38978300
2021-06-16,26.668447494506836,31.25,0.0,31.5,30.75,31.0,0.0,54634200
2021-06-17,26.45509910583496,31.0,0.0,31.25,30.75,31.0,0.0,20793200
2021-06-18,26.668447494506836,31.25,0.0,31.25,30.75,31.0,0.0,131493400
2021-06-21,26.24175453186035,30.75,0.0,31.0,30.5,31.0,0.0,28457400
2021-06-22,26.24175453186035,30.75,0.0,31.25,30.5,31.0,0.0,23329500
2021-06-23,26.02840232849121,30.5,0.0,31.0,30.5,31.0,0.0,21214800
2021-06-24,25.815059661865234,30.25,0.0,30.5,30.0,30.5,0.0,29902000
2021-06-25,26.02840232849121,30.5,0.0,30.75,30.0,30.25,0.0,13936700
2021-06-28,25.60171127319336,30.0,0.0,30.5,29.75,30.25,0.0,24971500
2021-06-29,25.815059661865234,30.25,0.0,30.25,29.75,30.0,0.0,12295400
2021-06-30,26.02840232849121,30.5,0.0,30.75,30.25,30.25,0.0,24175000
2021-07-01,25.815059661865234,30.25,0.0,30.75,30.0,30.5,0.0,22246700
2021-07-02,25.60171127319336,30.0,0.0,30.5,29.75,30.25,0.0,27853900
2021-07-05,25.38836097717285,29.75,0.0,30.25,29.75,30.0,0.0,13209500
2021-07-06,25.60171127319336,30.0,0.0,30.25,29.75,30.0,0.0,13238200
2021-07-07,25.38836097717285,29.75,0.0,30.0,29.5,29.75,0.0,15771400
2021-07-08,24.74831771850586,29.0,0.0,29.75,29.0,29.5,0.0,30391500
2021-07-09,24.74831771850586,29.0,0.0,29.5,28.75,29.0,0.0,15189800
2021-07-12,24.74831771850586,29.0,0.0,29.5,28.75,29.25,0.0,20450500
2021-07-13,24.74831771850586,29.0,0.0,29.5,28.75,29.0,0.0,21329500
2021-07-14,24.74831771850586,29.0,0.0,29.25,28.75,29.25,0.0,16542500
2021-07-15,24.53497314453125,28.75,0.0,29.25,28.75,29.25,0.0,19211500
2021-07-16,24.53497314453125,28.75,0.0,29.25,28.5,28.75,0.0,16343500
2021-07-19,24.53497314453125,28.75,0.0,29.0,28.25,28.5,0.0,19979900
2021-07-20,24.321624755859375,28.5,0.0,28.75,28.25,28.5,0.0,24421800
2021-07-21,24.321624755859375,28.5,0.0,28.75,28.25,28.5,0.0,9912800
2021-07-22,24.321624755859375,28.5,0.0,29.0,28.25,28.75,0.0,20003200
2021-07-23,24.321624755859375,28.5,0.0,28.5,28.0,28.25,0.0,13511500
2021-07-27,24.53497314453125,28.75,0.0,28.75,28.25,28.5,0.0,18569100
