Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2016-01-04,85.80071258544922,143.0,0.0,149.5,141.0,149.0,0.0,24880200
2016-01-05,78.60065460205078,131.0,0.0,144.5,131.0,144.0,0.0,59681500
2016-01-06,82.50067138671875,137.5,0.0,139.0,128.0,128.5,0.0,59203500
2016-01-07,80.70063781738281,134.5,0.0,138.0,131.5,133.0,0.0,32742400
2016-01-08,86.40069580078125,144.0,0.0,144.0,135.0,137.0,0.0,26585900
2016-01-11,86.70071411132812,144.5,0.0,145.0,139.0,141.5,0.0,25160600
2016-01-12,89.40072631835938,149.0,0.0,150.5,142.0,142.5,0.0,24230500
2016-01-13,89.1007308959961,148.5,0.0,151.5,146.5,151.0,0.0,18916700
2016-01-14,86.70071411132812,144.5,0.0,148.5,144.0,146.5,0.0,18269800
2016-01-15,86.70071411132812,144.5,0.0,147.0,142.0,146.0,0.0,13782400
2016-01-18,87.30069732666016,145.5,0.0,147.0,142.0,143.0,0.0,14312900
2016-01-19,92.40074920654297,154.0,0.0,155.0,146.0,146.0,0.0,26304900
2016-01-20,94.5007553100586,157.5,0.0,159.0,151.5,152.5,0.0,27029600
2016-01-21,94.5007553100586,157.5,0.0,160.5,153.5,160.0,0.0,20790800
2016-01-22,95.4007797241211,159.0,0.0,160.0,158.0,160.0,0.0,9898700
2016-01-25,93.0007553100586,155.0,0.0,160.5,153.5,159.5,0.0,11591900
2016-01-26,94.80078125,158.0,0.0,158.5,154.5,154.5,0.0,10579200
2016-01-27,94.80078125,158.0,0.0,161.5,158.0,159.0,0.0,13620700
2016-01-28,96.30077362060547,160.5,0.0,160.5,156.5,159.5,0.0,10317400
2016-01-29,101.40082550048828,169.0,0.0,169.5,163.5,163.5,0.0,28669800
2016-02-01,101.70082092285156,169.5,0.0,174.5,166.5,167.5,0.0,33161900
2016-02-02,101.10084533691406,168.5,0.0,172.5,168.5,169.0,0.0,17290900
2016-02-03,102.90084075927734,171.5,0.0,172.0,167.5,167.5,0.0,14574900
2016-02-04,99.60081481933594,166.0,0.0,173.0,166.0,171.5,0.0,18409700
2016-02-05,99.3008041381836,165.5,0.0,170.5,165.0,169.0,0.0,21363300
2016-02-08,99.00081634521484,165.0,0.0,166.5,163.0,165.0,0.0,11137700
2016-02-09,99.00081634521484,165.0,0.0,166.0,163.5,163.5,0.0,7538100
2016-02-10,100.50080871582031,167.5,0.0,167.5,164.0,165.0,0.0,13467900
2016-02-11,100.8008041381836,168.0,0.0,170.0,166.5,166.5,0.0,16790300
2016-02-12,99.90079498291016,166.5,0.0,168.5,165.0,168.0,0.0,9410700
2016-02-15,100.20082092285156,167.0,0.0,168.5,167.0,167.5,0.0,5533000
2016-02-16,99.60081481933594,166.0,0.0,168.0,166.0,168.0,0.0,4146600
2016-02-17,99.00081634521484,165.0,0.0,166.5,163.0,166.0,0.0,8191600
2016-02-18,100.8008041381836,168.0,0.0,168.0,164.5,165.5,0.0,7184200
2016-02-19,102.0008316040039,170.0,0.0,171.0,167.0,169.0,0.0,14069900
2016-02-23,102.60083770751953,171.0,0.0,171.0,168.5,171.0,0.0,8357100
2016-02-24,103.2008285522461,172.0,0.0,174.0,169.5,170.0,0.0,11247100
2016-02-25,103.2008285522461,172.0,0.0,175.0,171.5,173.0,0.0,13976500
2016-02-26,104.4008560180664,174.0,0.0,175.0,172.0,172.0,0.0,14802100
2016-02-29,102.30084991455078,170.5,0.0,174.0,170.5,173.5,0.0,8337200
2016-03-01,103.2008285522461,172.0,0.0,172.0,168.5,170.5,0.0,9248400
2016-03-02,105.00084686279297,175.0,0.0,177.5,172.0,173.0,0.0,17978700
2016-03-03,108.0008773803711,180.0,0.0,182.0,175.0,175.0,0.0,26133600
2016-03-04,107.70085144042969,179.5,0.0,181.0,178.5,181.0,0.0,9782300
2016-03-07,111.0008773803711,185.0,0.0,188.0,180.0,180.5,0.0,18645800
2016-03-08,105.30084228515625,175.5,0.0,185.5,175.5,183.5,0.0,21941900
2016-03-09,107.70085144042969,179.5,0.0,179.5,173.5,174.0,0.0,15070000
2016-03-10,106.5008544921875,177.5,0.0,179.5,176.0,178.0,0.0,7923100
2016-03-11,106.20085906982422,177.0,0.0,180.0,175.0,177.5,0.0,13556100
2016-03-14,103.5008544921875,172.5,0.0,177.5,171.5,177.5,0.0,13974600
2016-03-15,100.50080871582031,167.5,0.0,171.5,167.0,170.5,0.0,20280700
2016-03-16,100.8008041381836,168.0,0.0,172.0,164.5,171.0,0.0,22382800
2016-03-17,101.10084533691406,168.5,0.0,171.5,168.5,170.0,0.0,8917400
2016-03-18,102.60083770751953,171.0,0.0,172.0,168.5,169.0,0.0,9462400
2016-03-21,106.20085906982422,177.0,0.0,177.0,168.0,172.0,0.0,18978300
2016-03-22,114.00091552734375,190.0,0.0,190.0,184.5,187.0,0.0,54854000
2016-03-23,113.10090637207031,188.5,0.0,189.5,185.5,188.0,0.0,23072200
2016-03-24,111.90087890625,186.5,0.0,188.0,185.5,188.0,0.0,13437700
2016-03-25,110.10090637207031,183.5,0.0,187.5,181.0,186.5,0.0,19427300
2016-03-28,110.40089416503906,184.0,0.0,185.0,182.5,183.5,0.0,5267600
2016-03-29,111.60090637207031,186.0,0.0,187.0,184.0,185.0,0.0,9302400
2016-03-30,113.40090942382812,189.0,0.0,189.5,186.5,187.5,0.0,16215600
2016-03-31,113.08403015136719,182.0,6.49,184.5,181.5,182.5,0.0,12156600
2016-04-01,110.90934753417969,178.5,0.0,182.0,178.5,182.0,0.0,11199100
2016-04-04,108.73463439941406,175.0,0.0,179.0,175.0,178.5,0.0,9066700
2016-04-05,101.27854919433594,163.0,0.0,170.0,163.0,170.0,0.0,25085400
2016-04-07,95.06514739990234,153.0,0.0,160.0,153.0,159.5,0.0,31337600
2016-04-08,97.55050659179688,157.0,0.0,160.0,154.0,154.0,0.0,21110100
2016-04-11,94.13314056396484,151.5,0.0,155.5,151.5,155.5,0.0,16856900
