Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2016-01-04,96.36785125732422,150.0,0.0,152.0,150.0,151.5,0.0,2206700
2016-01-05,98.93766784667969,154.0,0.0,154.5,150.0,150.0,0.0,3759900
2016-01-06,95.72540283203125,149.0,0.0,152.0,147.5,151.5,0.0,6534300
2016-01-07,91.87068939208984,143.0,0.0,147.0,143.0,145.0,0.0,7984300
2016-01-08,95.08291625976562,148.0,0.0,148.5,144.0,144.0,0.0,3219900
2016-01-11,93.47682189941406,145.5,0.0,146.0,142.5,145.0,0.0,5014400
2016-01-12,94.76173400878906,147.5,0.0,149.0,145.5,145.5,0.0,4285900
2016-01-13,97.65275573730469,152.0,0.0,153.0,149.0,149.5,0.0,7615100
2016-01-14,96.36785125732422,150.0,0.0,152.0,148.0,148.5,0.0,4632000
2016-01-15,93.79802703857422,146.0,0.0,152.0,145.0,149.5,0.0,5690500
2016-01-18,93.79802703857422,146.0,0.0,147.0,143.0,143.5,0.0,2210100
2016-01-19,94.76173400878906,147.5,0.0,151.0,145.5,146.0,0.0,3996900
2016-01-20,93.47682189941406,145.5,0.0,147.0,145.0,146.0,0.0,3415500
2016-01-21,92.83435821533203,144.5,0.0,148.0,143.0,147.0,0.0,4933100
2016-01-22,94.1192855834961,146.5,0.0,147.5,144.5,146.0,0.0,5684900
2016-01-25,93.47682189941406,145.5,0.0,148.0,145.5,147.0,0.0,4971300
2016-01-26,93.47682189941406,145.5,0.0,146.5,144.0,144.5,0.0,1951000
2016-01-27,95.72540283203125,149.0,0.0,150.5,146.0,146.5,0.0,8252400
2016-01-28,97.3315200805664,151.5,0.0,152.0,149.0,149.5,0.0,5183200
2016-01-29,97.9739761352539,152.5,0.0,152.5,149.5,151.5,0.0,8767400
2016-02-01,96.68907165527344,150.5,0.0,153.0,149.5,152.0,0.0,7020200
2016-02-02,95.4041748046875,148.5,0.0,151.0,147.0,150.5,0.0,5910600
2016-02-03,94.76173400878906,147.5,0.0,148.0,146.0,147.0,0.0,3998600
2016-02-04,97.01031494140625,151.0,0.0,151.5,148.0,148.5,0.0,6020100
2016-02-05,97.3315200805664,151.5,0.0,152.0,150.5,151.5,0.0,5957100
2016-02-08,96.36785125732422,150.0,0.0,152.0,149.5,152.0,0.0,4894500
2016-02-09,95.72540283203125,149.0,0.0,149.5,147.5,149.0,0.0,2757800
2016-02-10,96.04662322998047,149.5,0.0,150.0,148.0,148.5,0.0,2586200
2016-02-11,95.4041748046875,148.5,0.0,153.5,148.5,149.0,0.0,7203800
2016-02-12,95.08291625976562,148.0,0.0,149.5,147.0,149.0,0.0,3507600
2016-02-15,96.68907165527344,150.5,0.0,151.5,149.0,149.0,0.0,2793300
2016-02-16,97.65275573730469,152.0,0.0,152.5,150.5,152.0,0.0,4449100
2016-02-17,97.9739761352539,152.5,0.0,152.5,150.0,151.0,0.0,3442800
2016-02-18,99.58011627197266,155.0,0.0,155.0,153.0,154.0,0.0,7505800
2016-02-19,101.50749206542969,158.0,0.0,158.0,154.5,154.5,0.0,5768200
2016-02-23,103.11358642578125,160.5,0.0,161.5,158.0,158.0,0.0,6455700
2016-02-24,105.36216735839844,164.0,0.0,164.0,159.5,160.5,0.0,5924300
2016-02-25,106.96832275390625,166.5,0.0,167.0,163.5,164.5,0.0,8434200
2016-02-26,106.32586669921875,165.5,0.0,167.5,165.0,166.5,0.0,2959700
2016-02-29,103.75604248046875,161.5,0.0,166.0,161.5,165.5,0.0,3705000
2016-03-01,104.0772705078125,162.0,0.0,162.5,161.0,161.5,0.0,3049800
2016-03-02,107.9319839477539,168.0,0.0,170.0,163.5,163.5,0.0,9121100
2016-03-03,108.25323486328125,168.5,0.0,171.0,167.0,169.0,0.0,9803200
2016-03-04,109.21691131591797,170.0,0.0,171.5,169.5,170.0,0.0,8759600
2016-03-07,110.5018081665039,172.0,0.0,172.0,170.5,171.0,0.0,3528700
2016-03-08,108.57445526123047,169.0,0.0,172.5,168.5,170.5,0.0,7765100
2016-03-09,111.14425659179688,173.0,0.0,173.0,167.0,169.0,0.0,6639500
2016-03-10,110.5018081665039,172.0,0.0,173.5,170.0,173.0,0.0,3779400
2016-03-11,111.7867202758789,174.0,0.0,175.0,172.0,173.5,0.0,6279100
2016-03-14,112.7503890991211,175.5,0.0,177.0,174.5,175.0,0.0,4881700
2016-03-15,111.7867202758789,174.0,0.0,176.5,174.0,175.0,0.0,2630700
2016-03-16,109.21691131591797,170.0,0.0,175.0,168.5,175.0,0.0,6849700
2016-03-17,109.53813934326172,170.5,0.0,172.0,169.0,171.5,0.0,4279500
2016-03-18,109.53813934326172,170.5,0.0,172.5,169.5,171.0,0.0,5435000
2016-03-21,110.5018081665039,172.0,0.0,172.0,170.0,171.0,0.0,3775300
2016-03-22,113.39285278320312,176.5,0.0,177.0,174.5,175.0,0.0,8598700
2016-03-23,115.64142608642578,180.0,0.0,180.5,176.0,176.5,0.0,8362100
2016-03-24,114.67774200439453,178.5,0.0,180.0,177.5,180.0,0.0,4302600
2016-03-25,113.71407318115234,177.0,0.0,178.0,175.5,177.0,0.0,3458800
2016-03-28,111.7867202758789,174.0,0.0,177.0,174.0,176.5,0.0,2913800
2016-03-29,113.07161712646484,176.0,0.0,176.0,172.5,173.0,0.0,3358100
2016-03-30,115.962646484375,180.5,0.0,182.0,176.5,176.5,0.0,11735700
2016-03-31,115.64142608642578,180.0,0.0,181.5,178.5,180.0,0.0,5067200
2016-04-01,113.71407318115234,177.0,0.0,179.0,177.0,178.5,0.0,4565700
2016-04-04,114.03528594970703,177.5,0.0,179.5,177.5,177.5,0.0,2879700
2016-04-05,107.61077117919922,167.5,0.0,176.5,166.5,176.5,0.0,12240300
2016-04-07,104.0772705078125,162.0,0.0,168.5,161.0,167.5,0.0,8956600
2016-04-08,104.39851379394531,162.5,0.0,164.0,161.0,162.0,0.0,9443700
2016-04-11,104.71971893310547,163.0,0.0,164.5,162.5,162.5,0.0,6473400
2016-04-12,105.68340301513672,164.5,0.0,165.0,163.0,163.5,0.0,2652600
2016-04-18,107.9319839477539,168.0,0.0,168.5,165.5,166.0,0.0,5498100
2016-04-19,109.21691131591797,170.0,0.0,172.5,168.5,169.0,0.0,5541600
2016-04-20,108.25323486328125,168.5,0.0,169.5,167.5,169.5,0.0,5603600
2016-04-21,109.9034194946289,166.5,4.5,167.0,165.0,166.0,0.0,5047300
2016-04-22,107.59312438964844,163.0,0.0,165.0,162.5,164.5,0.0,5128500
2016-04-25,108.25320434570312,164.0,0.0,164.0,162.0,162.5,0.0,2062600
2016-04-26,108.583251953125,164.5,0.0,165.5,162.5,163.0,0.0,2513500
2016-04-27,107.26311492919922,162.5,0.0,165.0,162.5,165.0,0.0,1308000
2016-04-28,106.27296447753906,161.0,0.0,164.0,161.0,163.5,0.0,2648100
