Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2016-01-04,27.216712951660156,33.5,0.0,34.5,33.25,33.75,0.0,123800
2016-01-05,27.419824600219727,33.75,0.0,34.0,33.25,33.25,0.0,334400
2016-01-06,27.419824600219727,33.75,0.0,34.0,33.25,33.5,0.0,301700
2016-01-07,27.622934341430664,34.0,0.0,35.0,32.5,33.0,0.0,1070400
2016-01-08,27.8260498046875,34.25,0.0,34.25,33.5,34.0,0.0,251200
2016-01-11,28.029155731201172,34.5,0.0,34.5,33.75,33.75,0.0,614900
2016-01-12,28.841604232788086,35.5,0.0,35.5,34.0,34.75,0.0,2014300
2016-01-13,31.278907775878906,38.5,0.0,39.5,35.5,35.75,0.0,4672900
2016-01-14,31.685129165649414,39.0,0.0,39.25,38.5,38.5,0.0,2069300
2016-01-15,30.466476440429688,37.5,0.0,39.5,37.5,38.5,0.0,2430200
2016-01-18,30.87268829345703,38.0,0.0,38.75,37.0,37.0,0.0,1189300
2016-01-19,30.26336669921875,37.25,0.0,38.0,37.25,37.5,0.0,577900
2016-01-20,30.466476440429688,37.5,0.0,38.5,37.25,37.25,0.0,2225500
2016-01-21,30.669584274291992,37.75,0.0,39.0,37.0,38.0,0.0,858300
2016-01-22,31.278907775878906,38.5,0.0,39.0,38.25,39.0,0.0,674400
2016-01-25,31.278907775878906,38.5,0.0,38.75,37.75,38.5,0.0,322700
2016-01-26,31.278907775878906,38.5,0.0,38.5,37.75,37.75,0.0,346100
2016-01-27,30.26336669921875,37.25,0.0,38.5,37.25,38.5,0.0,610500
2016-01-28,30.26336669921875,37.25,0.0,37.25,35.5,37.25,0.0,1575300
2016-01-29,29.857145309448242,36.75,0.0,37.5,36.5,37.25,0.0,269700
2016-02-01,29.857145309448242,36.75,0.0,37.25,36.75,36.75,0.0,706700
2016-02-02,31.0758113861084,38.25,0.0,38.25,36.5,36.5,0.0,874900
2016-02-03,30.060256958007812,37.0,0.0,38.0,37.0,38.0,0.0,938900
2016-02-04,29.654037475585938,36.5,0.0,37.5,36.5,37.25,0.0,613500
2016-02-05,29.654037475585938,36.5,0.0,37.25,36.25,37.0,0.0,329500
2016-02-08,30.26336669921875,37.25,0.0,37.75,36.75,36.75,0.0,399400
2016-02-09,30.669584274291992,37.75,0.0,38.25,36.75,37.25,0.0,571600
2016-02-10,30.87268829345703,38.0,0.0,38.0,37.5,38.0,0.0,238000
2016-02-11,30.466476440429688,37.5,0.0,38.25,37.25,37.5,0.0,710200
2016-02-12,30.669584274291992,37.75,0.0,37.75,37.0,37.0,0.0,181400
2016-02-15,30.26336669921875,37.25,0.0,37.5,37.0,37.5,0.0,422600
2016-02-16,29.857145309448242,36.75,0.0,37.5,36.5,37.5,0.0,250900
2016-02-17,29.654037475585938,36.5,0.0,36.75,36.0,36.25,0.0,398300
2016-02-18,29.857145309448242,36.75,0.0,36.75,36.0,36.25,0.0,336800
2016-02-19,30.466476440429688,37.5,0.0,37.5,36.5,36.75,0.0,293700
2016-02-23,29.247814178466797,36.0,0.0,37.75,36.0,37.5,0.0,465300
2016-02-24,29.654037475585938,36.5,0.0,37.0,35.75,36.25,0.0,325500
