Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2016-01-04,97.45928192138672,152.0,0.0,152.0,149.5,151.5,0.0,244400
2016-01-05,97.45928192138672,152.0,0.0,153.0,150.0,151.0,0.0,370900
2016-01-06,97.77985382080078,152.5,0.0,152.5,150.0,151.0,0.0,631700
2016-01-07,97.77985382080078,152.5,0.0,152.5,149.5,150.0,0.0,747200
2016-01-08,98.10044860839844,153.0,0.0,153.5,150.5,152.5,0.0,496800
2016-01-11,97.77985382080078,152.5,0.0,153.0,150.5,151.0,0.0,397000
2016-01-12,98.10044860839844,153.0,0.0,154.5,151.0,152.0,0.0,496700
2016-01-13,98.10044860839844,153.0,0.0,153.5,151.5,153.5,0.0,438100
2016-01-14,97.45928192138672,152.0,0.0,153.0,151.0,151.5,0.0,288600
2016-01-15,98.42103576660156,153.5,0.0,156.0,153.5,155.0,0.0,1249200
2016-01-18,104.19165802001953,162.5,0.0,162.5,152.0,152.5,0.0,1406200
2016-01-19,101.62696075439453,158.5,0.0,162.0,156.5,162.0,0.0,687800
2016-01-20,98.10044860839844,153.0,0.0,155.0,151.5,154.0,0.0,522800
2016-01-21,99.3828125,155.0,0.0,156.0,153.5,153.5,0.0,619600
2016-01-22,101.30635070800781,158.0,0.0,161.0,156.5,158.0,0.0,934000
2016-01-25,102.58870697021484,160.0,0.0,161.0,158.5,160.0,0.0,918600
2016-01-26,106.11519622802734,165.5,0.0,166.0,159.0,159.0,0.0,799000
2016-01-27,105.79461669921875,165.0,0.0,166.5,162.0,166.5,0.0,467900
2016-01-28,105.15342712402344,164.0,0.0,165.0,161.0,165.0,0.0,675400
2016-01-29,106.75638580322266,166.5,0.0,167.5,164.0,164.0,0.0,758400
2016-02-01,106.75638580322266,166.5,0.0,167.0,163.5,166.5,0.0,481600
2016-02-02,104.51223754882812,163.0,0.0,167.0,162.0,166.5,0.0,925800
2016-02-03,104.83283233642578,163.5,0.0,164.0,160.0,163.0,0.0,287700
2016-02-04,105.4740219116211,164.5,0.0,165.5,161.0,161.0,0.0,215500
2016-02-05,108.03872680664062,168.5,0.0,171.0,164.0,166.0,0.0,449500
2016-02-08,107.07696533203125,167.0,0.0,167.0,166.0,167.0,0.0,273300
2016-02-09,107.07696533203125,167.0,0.0,167.0,165.5,166.5,0.0,200200
2016-02-10,107.07696533203125,167.0,0.0,167.0,164.0,164.5,0.0,226900
2016-02-11,103.22990417480469,161.0,0.0,166.0,161.0,165.0,0.0,456700
2016-02-12,106.435791015625,166.0,0.0,167.0,160.5,161.0,0.0,816100
2016-02-15,107.07696533203125,167.0,0.0,167.0,163.5,167.0,0.0,133400
2016-02-16,106.11519622802734,165.5,0.0,167.0,164.5,167.0,0.0,631600
2016-02-17,105.4740219116211,164.5,0.0,166.5,164.0,165.0,0.0,284400
2016-02-18,105.79461669921875,165.0,0.0,167.0,164.0,167.0,0.0,346000
2016-02-19,107.07696533203125,167.0,0.0,167.0,165.5,167.0,0.0,309500
2016-02-23,107.07696533203125,167.0,0.0,167.0,165.5,167.0,0.0,270900
2016-02-24,106.11519622802734,165.5,0.0,167.0,162.5,167.0,0.0,286700
2016-02-25,107.07696533203125,167.0,0.0,167.0,164.5,166.5,0.0,244000
2016-02-26,104.83283233642578,163.5,0.0,166.5,163.5,166.0,0.0,288000
2016-02-29,106.75638580322266,166.5,0.0,166.5,163.5,164.0,0.0,253200
2016-03-01,107.07696533203125,167.0,0.0,167.0,164.0,165.0,0.0,402000
2016-03-02,105.79461669921875,165.0,0.0,167.0,165.0,167.0,0.0,718400
2016-03-03,106.75638580322266,166.5,0.0,167.0,165.0,167.0,0.0,520500
2016-03-04,107.07696533203125,167.0,0.0,168.0,165.5,167.0,0.0,550800
2016-03-07,107.07696533203125,167.0,0.0,168.0,165.5,167.0,0.0,730700
2016-03-08,106.75638580322266,166.5,0.0,168.0,166.0,166.0,0.0,614200
2016-03-09,110.60343933105469,172.5,0.0,172.5,167.0,167.0,0.0,981900
2016-03-10,110.11332702636719,168.5,3.25,171.0,168.5,171.0,0.0,548900
2016-03-11,113.05403900146484,173.0,0.0,175.0,169.5,169.5,0.0,863900
2016-03-14,115.0145034790039,176.0,0.0,180.0,174.5,174.5,0.0,352600
2016-03-15,115.34125518798828,176.5,0.0,178.5,174.0,178.5,0.0,489000
2016-03-16,115.34125518798828,176.5,0.0,178.5,175.0,176.5,0.0,564600
2016-03-17,113.05403900146484,173.0,0.0,176.5,173.0,174.0,0.0,197800
2016-03-18,114.3610610961914,175.0,0.0,177.0,172.5,175.5,0.0,603100
2016-03-21,114.68777465820312,175.5,0.0,177.0,172.0,177.0,0.0,347300
2016-03-22,113.38077545166016,173.5,0.0,175.5,173.0,173.5,0.0,610100
2016-03-23,115.0145034790039,176.0,0.0,176.0,173.0,173.0,0.0,282000
2016-03-24,114.03428649902344,174.5,0.0,176.0,173.5,173.5,0.0,282700
2016-03-25,111.74707794189453,171.0,0.0,175.0,171.0,175.0,0.0,216500
2016-03-28,113.38077545166016,173.5,0.0,173.5,167.0,171.5,0.0,360100
2016-03-29,113.38077545166016,173.5,0.0,174.5,170.0,171.5,0.0,265700
2016-03-30,116.64822387695312,178.5,0.0,179.5,173.5,174.0,0.0,810000
2016-03-31,116.64822387695312,178.5,0.0,178.5,175.0,176.5,0.0,231300
2016-04-01,115.66801452636719,177.0,0.0,178.0,175.0,175.0,0.0,390500
2016-04-04,115.66801452636719,177.0,0.0,178.5,176.5,178.5,0.0,179400
2016-04-05,119.26222229003906,182.5,0.0,183.5,176.5,178.0,0.0,770800
2016-04-07,119.26222229003906,182.5,0.0,186.5,180.0,180.0,0.0,692900
2016-04-08,118.281982421875,181.0,0.0,184.0,180.0,184.0,0.0,735700
2016-04-11,118.93547058105469,182.0,0.0,184.5,179.0,184.0,0.0,352100
2016-04-12,119.58898162841797,183.0,0.0,183.0,178.0,183.0,0.0,329800
2016-04-18,122.85640716552734,188.0,0.0,188.0,183.0,183.0,0.0,635700
2016-04-19,124.16338348388672,190.0,0.0,190.5,188.0,189.0,0.0,560800
2016-04-20,124.16338348388672,190.0,0.0,191.0,189.0,190.0,0.0,551700
2016-04-21,122.52967834472656,187.5,0.0,190.0,187.5,190.0,0.0,378900
2016-04-22,119.91568756103516,183.5,0.0,187.5,182.5,187.5,0.0,609900
2016-04-25,120.56917572021484,184.5,0.0,186.5,183.0,186.5,0.0,538000
2016-04-26,119.58898162841797,183.0,0.0,185.0,180.5,185.0,0.0,610100
2016-04-27,117.95523834228516,180.5,0.0,183.0,180.0,183.0,0.0,514200
2016-04-28,117.95523834228516,180.5,0.0,183.5,178.0,181.5,0.0,706700
2016-04-29,115.99474334716797,177.5,0.0,179.5,175.0,178.5,0.0,708000
2016-05-03,115.99474334716797,177.5,0.0,180.5,176.0,176.5,0.0,573800
2016-05-04,115.34125518798828,176.5,0.0,179.0,176.0,177.0,0.0,1023800
2016-05-09,118.281982421875,181.0,0.0,182.5,176.5,177.5,0.0,1649600
2016-05-10,117.95523834228516,180.5,0.0,181.5,178.5,180.0,0.0,692800
2016-05-11,118.93547058105469,182.0,0.0,184.5,182.0,182.5,0.0,1328700
2016-05-12,120.89596557617188,185.0,0.0,185.0,182.5,184.0,0.0,1248900
2016-05-13,122.85640716552734,188.0,0.0,192.0,184.5,189.0,0.0,2358700
2016-05-16,124.16338348388672,190.0,0.0,192.0,190.0,191.5,0.0,837200
2016-05-17,124.49016571044922,190.5,0.0,191.0,188.0,191.0,0.0,1586500
2016-05-18,124.16338348388672,190.0,0.0,190.5,189.0,190.0,0.0,1097600
2016-05-19,124.16338348388672,190.0,0.0,190.0,189.0,190.0,0.0,726900
2016-05-23,124.16338348388672,190.0,0.0,190.5,189.5,190.5,0.0,1892600
2016-05-24,124.49016571044922,190.5,0.0,191.0,189.5,190.5,0.0,1415500
2016-05-25,123.18316650390625,188.5,0.0,190.5,186.0,190.5,0.0,1296600
2016-05-26,122.20291900634766,187.0,0.0,189.0,186.5,189.0,0.0,790500
2016-05-27,122.85640716552734,188.0,0.0,188.0,186.0,187.0,0.0,2117800
2016-05-30,122.52967834472656,187.5,0.0,192.0,185.5,192.0,0.0,1095700
2016-05-31,121.87620544433594,186.5,0.0,189.5,185.5,188.0,0.0,15715200
2016-06-01,118.281982421875,181.0,0.0,186.5,180.0,185.0,0.0,1459900
2016-06-02,118.281982421875,181.0,0.0,182.5,180.5,180.5,0.0,638200
2016-06-03,119.91568756103516,183.5,0.0,184.5,181.0,181.0,0.0,1037400
2016-06-06,119.91568756103516,183.5,0.0,185.0,181.0,184.0,0.0,781700
2016-06-07,119.26222229003906,182.5,0.0,185.5,182.0,184.5,0.0,1273800
2016-06-08,120.89596557617188,185.0,0.0,185.0,182.0,182.0,0.0,686700
2016-06-09,119.58898162841797,183.0,0.0,185.0,182.5,185.0,0.0,338500
2016-06-10,118.93547058105469,182.0,0.0,183.0,181.5,182.0,0.0,534600
2016-06-13,116.97499084472656,179.0,0.0,181.0,178.5,180.5,0.0,556200
2016-06-14,119.91568756103516,183.5,0.0,183.5,179.5,180.0,0.0,639200
2016-06-15,120.56917572021484,184.5,0.0,185.0,183.0,183.5,0.0,927600
2016-06-16,120.24246215820312,184.0,0.0,185.0,182.0,184.5,0.0,515700
2016-06-17,119.26222229003906,182.5,0.0,184.5,182.5,183.0,0.0,1211700
2016-06-20,120.89596557617188,185.0,0.0,185.0,183.0,183.0,0.0,672900
2016-06-21,122.52967834472656,187.5,0.0,187.5,183.5,185.0,0.0,528500
2016-06-22,123.50991821289062,189.0,0.0,190.0,187.0,188.5,0.0,747500
2016-06-23,123.18316650390625,188.5,0.0,190.0,187.5,190.0,0.0,373200
2016-06-24,124.16338348388672,190.0,0.0,190.0,184.0,184.0,0.0,699500
2016-06-27,122.85640716552734,188.0,0.0,189.0,186.5,186.5,0.0,204500
2016-06-28,124.16338348388672,190.0,0.0,190.0,187.0,188.5,0.0,254700
2016-06-29,123.50991821289062,189.0,0.0,190.0,189.0,190.0,0.0,512800
2016-06-30,122.52967834472656,187.5,0.0,189.5,184.5,189.5,0.0,861000
2016-07-04,122.52967834472656,187.5,0.0,188.5,186.0,186.0,0.0,534400
2016-07-05,123.18316650390625,188.5,0.0,189.0,186.0,187.5,0.0,454100
2016-07-06,122.52967834472656,187.5,0.0,188.5,186.0,186.0,0.0,887400
2016-07-07,123.18316650390625,188.5,0.0,189.5,187.5,187.5,0.0,628900
2016-07-08,122.85640716552734,188.0,0.0,189.0,187.0,187.0,0.0,967600
2016-07-11,123.50991821289062,189.0,0.0,189.5,188.0,188.0,0.0,861000
2016-07-12,122.85640716552734,188.0,0.0,188.5,186.0,188.0,0.0,617100
2016-07-13,128.7378387451172,197.0,0.0,206.0,188.0,188.0,0.0,2260500
2016-07-14,127.10408020019531,194.5,0.0,195.0,191.0,194.0,0.0,678100
2016-07-15,129.39132690429688,198.0,0.0,201.0,196.0,196.0,0.0,1235800
2016-07-20,130.6982879638672,200.0,0.0,203.0,198.5,202.0,0.0,999700
2016-07-21,129.0645751953125,197.5,0.0,199.5,197.0,199.5,0.0,442000
2016-07-22,127.43084716796875,195.0,0.0,199.5,195.0,197.0,0.0,1184300
2016-07-25,130.04481506347656,199.0,0.0,199.0,195.0,195.0,0.0,691700
2016-07-26,129.39132690429688,198.0,0.0,199.0,198.0,199.0,0.0,256000
2016-07-27,129.39132690429688,198.0,0.0,199.0,197.5,198.5,0.0,421600
2016-07-28,130.04481506347656,199.0,0.0,199.0,197.0,198.5,0.0,881800
2016-07-29,130.04481506347656,199.0,0.0,199.0,198.0,199.0,0.0,594600
2016-08-01,129.39132690429688,198.0,0.0,201.0,196.5,199.5,0.0,769500
2016-08-02,129.39132690429688,198.0,0.0,199.5,198.0,198.5,0.0,791600
2016-08-03,129.71807861328125,198.5,0.0,199.5,197.5,199.0,0.0,249500
2016-08-04,130.04481506347656,199.0,0.0,201.0,198.0,199.0,0.0,738500
2016-08-05,130.04481506347656,199.0,0.0,201.0,198.0,201.0,0.0,460800
2016-08-08,131.351806640625,201.0,0.0,204.0,199.0,203.0,0.0,477700
2016-08-09,132.0053253173828,202.0,0.0,204.0,199.5,200.0,0.0,469900
2016-08-10,129.39132690429688,198.0,0.0,202.0,198.0,202.0,0.0,913200
2016-08-11,128.7378387451172,197.0,0.0,198.0,194.0,197.5,0.0,467700
2016-08-15,130.04481506347656,199.0,0.0,201.0,196.5,196.5,0.0,679400
2016-08-16,131.351806640625,201.0,0.0,201.0,198.5,199.0,0.0,700600
2016-08-17,128.4110870361328,196.5,0.0,201.0,196.5,201.0,0.0,652000
2016-08-18,130.04481506347656,199.0,0.0,199.5,196.5,197.0,0.0,511600
2016-08-19,129.39132690429688,198.0,0.0,200.0,197.0,199.0,0.0,333400
2016-08-22,130.04481506347656,199.0,0.0,199.5,198.0,198.5,0.0,471000
2016-08-23,129.39132690429688,198.0,0.0,199.5,198.0,199.0,0.0,426600
2016-08-24,129.71807861328125,198.5,0.0,199.0,198.0,198.0,0.0,274300
2016-08-25,128.0843505859375,196.0,0.0,198.5,196.0,198.0,0.0,895600
2016-08-26,127.75757598876953,195.5,0.0,196.5,195.5,196.0,0.0,620300
2016-08-29,129.0645751953125,197.5,0.0,198.5,195.5,195.5,0.0,416600
2016-08-30,128.7378387451172,197.0,0.0,198.0,197.0,197.5,0.0,285700
2016-08-31,129.0645751953125,197.5,0.0,198.0,196.5,197.5,0.0,935600
2016-09-01,129.56289672851562,195.0,3.25,196.5,194.0,194.0,0.0,901300
2016-09-02,130.55955505371094,196.5,0.0,199.0,194.5,195.0,0.0,976000
2016-09-05,131.88841247558594,198.5,0.0,201.0,196.5,197.5,0.0,793300
2016-09-06,130.55955505371094,196.5,0.0,199.0,196.0,198.5,0.0,640500
2016-09-07,130.55955505371094,196.5,0.0,198.0,196.0,196.5,0.0,403800
2016-09-08,130.8917694091797,197.0,0.0,198.0,194.0,196.5,0.0,855800
2016-09-09,131.5561981201172,198.0,0.0,198.0,196.0,197.0,0.0,418100
2016-09-12,129.89512634277344,195.5,0.0,197.0,195.5,196.0,0.0,342700
2016-09-13,130.22732543945312,196.0,0.0,197.5,194.0,195.5,0.0,656400
2016-09-14,130.22732543945312,196.0,0.0,197.5,195.5,195.5,0.0,245800
2016-09-15,129.230712890625,194.5,0.0,196.5,194.5,196.0,0.0,221400
2016-09-16,131.22396850585938,197.5,0.0,199.0,196.0,196.5,0.0,831300
2016-09-19,130.8917694091797,197.0,0.0,198.5,196.0,196.0,0.0,259800
2016-09-20,130.8917694091797,197.0,0.0,197.5,195.0,197.5,0.0,377600
2016-09-21,130.22732543945312,196.0,0.0,198.0,196.0,197.5,0.0,327000
2016-09-22,130.55955505371094,196.5,0.0,197.5,196.0,197.0,0.0,574100
2016-09-23,130.55955505371094,196.5,0.0,198.0,196.0,197.0,0.0,882200
2016-09-26,130.8917694091797,197.0,0.0,198.0,194.5,196.5,0.0,852900
2016-09-27,129.89512634277344,195.5,0.0,197.0,195.0,197.0,0.0,776200
2016-09-28,129.56289672851562,195.0,0.0,196.5,195.0,196.0,0.0,690900
2016-09-29,131.22396850585938,197.5,0.0,198.0,195.5,195.5,0.0,898100
2016-09-30,131.88841247558594,198.5,0.0,198.5,195.0,195.0,0.0,648100
2016-10-03,130.22732543945312,196.0,0.0,199.5,196.0,199.5,0.0,254100
2016-10-04,130.8917694091797,197.0,0.0,198.0,196.0,196.0,0.0,322300
2016-10-05,132.885009765625,200.0,0.0,202.0,198.0,198.5,0.0,860200
2016-10-06,133.54946899414062,201.0,0.0,202.0,200.0,200.0,0.0,387500
2016-10-07,132.2205810546875,199.0,0.0,201.0,196.5,201.0,0.0,899700
2016-10-10,129.56289672851562,195.0,0.0,196.5,194.0,194.5,0.0,570100
2016-10-11,130.8917694091797,197.0,0.0,197.5,195.0,195.5,0.0,837200
2016-10-12,130.8917694091797,197.0,0.0,197.0,188.0,195.5,0.0,1456800
2016-10-13,128.5662841796875,193.5,0.0,194.5,188.0,194.0,0.0,1484200
2016-10-14,128.8984832763672,194.0,0.0,198.0,193.5,197.5,0.0,863600
2016-10-17,129.56289672851562,195.0,0.0,196.5,193.0,193.5,0.0,332300
2016-10-18,129.56289672851562,195.0,0.0,195.5,194.0,195.5,0.0,273600
2016-10-19,128.8984832763672,194.0,0.0,195.5,193.0,193.5,0.0,391800
2016-10-20,129.56289672851562,195.0,0.0,197.0,194.0,195.0,0.0,442500
2016-10-21,129.56289672851562,195.0,0.0,196.0,188.0,195.0,0.0,1775400
2016-10-25,129.56289672851562,195.0,0.0,195.5,194.5,195.0,0.0,206300
2016-10-26,129.56289672851562,195.0,0.0,195.5,193.5,195.0,0.0,278600
2016-10-27,129.89512634277344,195.5,0.0,198.0,194.0,195.0,0.0,457000
2016-10-28,129.56289672851562,195.0,0.0,196.0,194.0,196.0,0.0,483500
2016-10-31,129.56289672851562,195.0,0.0,195.5,194.5,195.5,0.0,173500
2016-11-01,130.22732543945312,196.0,0.0,196.0,194.0,195.0,0.0,471700
2016-11-02,129.230712890625,194.5,0.0,195.5,194.0,195.0,0.0,319300
2016-11-03,128.8984832763672,194.0,0.0,194.5,194.0,194.0,0.0,164500
2016-11-04,128.8984832763672,194.0,0.0,194.5,193.0,193.5,0.0,325300
2016-11-07,128.8984832763672,194.0,0.0,195.0,193.5,194.0,0.0,337400
2016-11-08,130.22732543945312,196.0,0.0,196.5,194.0,194.0,0.0,331500
2016-11-09,130.8917694091797,197.0,0.0,197.0,194.0,196.0,0.0,432100
2016-11-10,129.230712890625,194.5,0.0,198.5,194.5,198.0,0.0,587600
2016-11-11,128.5662841796875,193.5,0.0,196.0,193.5,194.5,0.0,507400
2016-11-14,128.5662841796875,193.5,0.0,194.0,193.0,193.0,0.0,185800
2016-11-15,128.2340545654297,193.0,0.0,194.0,192.0,193.5,0.0,349200
2016-11-16,127.90184020996094,192.5,0.0,194.0,192.5,193.0,0.0,409300
2016-11-17,128.5662841796875,193.5,0.0,194.0,192.5,192.5,0.0,348100
2016-11-18,127.90184020996094,192.5,0.0,194.0,192.5,193.0,0.0,420800
2016-11-21,127.56962585449219,192.0,0.0,193.5,192.0,193.0,0.0,268900
2016-11-22,127.90184020996094,192.5,0.0,194.0,192.0,192.5,0.0,251500
2016-11-23,129.230712890625,194.5,0.0,195.0,193.0,193.5,0.0,202800
2016-11-24,127.90184020996094,192.5,0.0,194.0,192.0,194.0,0.0,362400
2016-11-25,128.5662841796875,193.5,0.0,194.5,192.0,193.0,0.0,457500
2016-11-28,128.2340545654297,193.0,0.0,194.5,193.0,194.5,0.0,342300
2016-11-29,128.8984832763672,194.0,0.0,195.0,193.0,194.0,0.0,305600
2016-11-30,132.2205810546875,199.0,0.0,199.0,193.5,193.5,0.0,1409700
2016-12-01,131.88841247558594,198.5,0.0,202.0,198.5,200.0,0.0,621100
2016-12-02,132.2205810546875,199.0,0.0,200.0,198.5,199.0,0.0,413200
2016-12-06,131.88841247558594,198.5,0.0,199.5,197.0,199.0,0.0,676600
2016-12-07,130.22732543945312,196.0,0.0,198.0,195.0,197.5,0.0,710400
2016-12-08,132.2205810546875,199.0,0.0,199.0,196.5,196.5,0.0,617800
2016-12-09,131.88841247558594,198.5,0.0,199.5,197.0,199.0,0.0,417100
2016-12-13,130.55955505371094,196.5,0.0,198.0,195.5,197.5,0.0,403700
2016-12-14,129.89512634277344,195.5,0.0,197.5,195.5,197.0,0.0,315500
2016-12-15,130.55955505371094,196.5,0.0,197.5,194.5,195.5,0.0,494200
2016-12-16,129.56289672851562,195.0,0.0,197.0,194.0,197.0,0.0,687600
2016-12-19,129.56289672851562,195.0,0.0,196.0,194.5,195.0,0.0,306000
2016-12-20,129.89512634277344,195.5,0.0,196.0,195.0,195.0,0.0,325300
2016-12-21,129.56289672851562,195.0,0.0,197.0,195.0,196.0,0.0,536400
2016-12-22,128.8984832763672,194.0,0.0,195.5,193.0,194.5,0.0,534800
2016-12-23,128.8984832763672,194.0,0.0,194.5,193.5,193.5,0.0,253500
2016-12-26,130.8917694091797,197.0,0.0,197.0,194.0,194.0,0.0,613400
2016-12-27,133.54946899414062,201.0,0.0,201.0,197.0,197.0,0.0,2034900
2016-12-28,132.885009765625,200.0,0.0,201.0,199.0,200.0,0.0,1313900
2016-12-29,132.885009765625,200.0,0.0,200.0,199.0,199.5,0.0,555500
