Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2016-01-04,23.076189041137695,33.125,0.0,34.625,32.875,34.5,0.0,6030400
2016-01-05,23.946996688842773,34.375,0.0,34.375,33.0,33.0,0.0,2176800
2016-01-06,23.511592864990234,33.75,0.0,34.25,33.5,34.0,0.0,3699000
2016-01-07,23.337434768676758,33.5,0.0,34.25,33.5,33.75,0.0,4517800
2016-01-08,23.85991096496582,34.25,0.0,34.5,33.625,34.0,0.0,6087000
2016-01-11,23.946996688842773,34.375,0.0,35.0,34.125,34.25,0.0,3961000
2016-01-12,25.775671005249023,37.0,0.0,37.0,34.25,34.375,0.0,6700000
2016-01-13,25.253196716308594,36.25,0.0,37.0,36.25,37.0,0.0,3720600
2016-01-14,25.253196716308594,36.25,0.0,37.875,35.875,35.875,0.0,4363000
2016-01-15,26.12398910522461,37.5,0.0,38.125,36.375,36.375,0.0,6211200
2016-01-18,26.385236740112305,37.875,0.0,38.625,36.875,37.125,0.0,5053200
2016-01-19,26.21107292175293,37.625,0.0,38.5,37.5,38.25,0.0,2941200
2016-01-20,26.12398910522461,37.5,0.0,37.875,37.125,37.875,0.0,4018400
2016-01-21,26.29815101623535,37.75,0.0,38.125,37.25,37.5,0.0,3470600
2016-01-22,27.604352951049805,39.625,0.0,39.75,37.625,37.75,0.0,5674400
2016-01-25,27.517271041870117,39.5,0.0,40.5,39.25,39.75,0.0,3016400
2016-01-26,27.43019676208496,39.375,0.0,40.0,39.0,39.125,0.0,2849200
2016-01-27,26.994794845581055,38.75,0.0,39.625,38.75,39.25,0.0,4763800
2016-01-28,27.081872940063477,38.875,0.0,39.875,37.875,38.75,0.0,8347400
2016-01-29,26.55939483642578,38.125,0.0,39.125,38.0,38.75,0.0,6754000
2016-02-01,26.03690528869629,37.375,0.0,38.25,37.25,38.25,0.0,5250200
2016-02-02,27.081872940063477,38.875,0.0,39.0,37.25,37.25,0.0,4662000
2016-02-03,27.25603675842285,39.125,0.0,39.375,37.25,37.375,0.0,3141000
