Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2016-01-04,18.738788604736328,41.75,0.0,42.5,41.75,42.5,0.0,777600
2016-01-05,18.963205337524414,42.25,0.0,42.5,41.75,42.0,0.0,1220500
2016-01-06,18.514375686645508,41.25,0.0,42.25,40.75,42.0,0.0,1387000
2016-01-07,18.177751541137695,40.5,0.0,41.25,40.5,41.0,0.0,2360600
2016-01-08,18.40216636657715,41.0,0.0,41.0,39.5,40.5,0.0,2632300
2016-01-11,18.40216636657715,41.0,0.0,41.0,40.0,40.5,0.0,985100
2016-01-12,18.851001739501953,42.0,0.0,43.25,41.75,42.0,0.0,3471600
2016-01-13,18.963205337524414,42.25,0.0,42.75,42.0,42.25,0.0,1187700
2016-01-14,18.738788604736328,41.75,0.0,42.25,41.5,42.25,0.0,492700
2016-01-15,18.289960861206055,40.75,0.0,42.0,40.25,41.75,0.0,1350700
2016-01-18,18.289960861206055,40.75,0.0,41.5,40.25,40.5,0.0,816300
2016-01-19,18.738788604736328,41.75,0.0,41.75,41.0,41.0,0.0,402700
2016-01-20,18.851001739501953,42.0,0.0,42.0,41.5,42.0,0.0,940000
2016-01-21,18.6265811920166,41.5,0.0,42.25,40.5,42.0,0.0,1033500
2016-01-22,18.851001739501953,42.0,0.0,42.25,40.75,41.75,0.0,939000
2016-01-25,18.177751541137695,40.5,0.0,41.75,40.25,41.5,0.0,2734100
2016-01-26,18.065540313720703,40.25,0.0,40.75,40.0,40.5,0.0,1515200
2016-01-27,18.40216636657715,41.0,0.0,41.25,40.25,40.25,0.0,2375300
2016-01-28,18.289960861206055,40.75,0.0,41.25,40.5,41.0,0.0,1534700
2016-01-29,18.963205337524414,42.25,0.0,42.5,40.5,40.5,0.0,1813600
2016-02-01,18.963205337524414,42.25,0.0,42.75,41.75,42.75,0.0,1415100
2016-02-02,18.963205337524414,42.25,0.0,42.5,41.75,42.5,0.0,1434500
2016-02-03,18.738788604736328,41.75,0.0,42.25,41.75,41.75,0.0,850500
2016-02-04,18.851001739501953,42.0,0.0,42.25,41.75,42.0,0.0,426900
2016-02-05,18.851001739501953,42.0,0.0,42.75,42.0,42.5,0.0,832600
2016-02-08,19.187625885009766,42.75,0.0,42.75,42.0,42.0,0.0,102000
2016-02-09,19.187625885009766,42.75,0.0,43.5,42.25,42.75,0.0,552900
2016-02-10,19.187625885009766,42.75,0.0,42.75,42.25,42.5,0.0,103200
2016-02-11,18.851001739501953,42.0,0.0,42.75,41.75,42.5,0.0,237100
2016-02-12,18.963205337524414,42.25,0.0,43.0,41.75,41.75,0.0,1496700
2016-02-15,19.97308349609375,44.5,0.0,45.0,42.75,42.75,0.0,3295200
2016-02-16,20.08529281616211,44.75,0.0,45.25,44.5,45.0,0.0,5872300
2016-02-17,19.86087417602539,44.25,0.0,44.75,44.0,44.75,0.0,1543500
2016-02-18,19.97308349609375,44.5,0.0,45.25,44.5,44.5,0.0,3673000
2016-02-19,20.421918869018555,45.5,0.0,45.5,44.5,44.75,0.0,1411100
2016-02-23,21.09516716003418,47.0,0.0,47.0,45.75,46.25,0.0,4519700
2016-02-24,21.319583892822266,47.5,0.0,47.75,46.5,46.75,0.0,3735400
2016-02-25,21.20737648010254,47.25,0.0,47.5,46.5,47.25,0.0,2582700
2016-02-26,21.09516716003418,47.0,0.0,47.5,47.0,47.0,0.0,1483700
2016-02-29,21.319583892822266,47.5,0.0,47.75,47.0,47.25,0.0,1477400
2016-03-01,21.09516716003418,47.0,0.0,47.75,46.75,47.0,0.0,3436600
2016-03-02,21.20737648010254,47.25,0.0,47.5,47.0,47.5,0.0,2484800
2016-03-03,21.09516716003418,47.0,0.0,47.5,47.0,47.5,0.0,888700
2016-03-04,21.09516716003418,47.0,0.0,47.5,46.75,47.0,0.0,2828500
2016-03-07,20.758546829223633,46.25,0.0,47.5,45.75,47.25,0.0,5566400
2016-03-08,20.309711456298828,45.25,0.0,46.5,45.25,46.25,0.0,3016800
2016-03-09,20.421918869018555,45.5,0.0,46.0,45.25,45.25,0.0,1108200
2016-03-10,20.87074851989746,46.5,0.0,46.75,45.5,46.0,0.0,1484100
2016-03-11,21.319583892822266,47.5,0.0,47.75,46.5,46.5,0.0,1472500
2016-03-14,21.431795120239258,47.75,0.0,48.25,47.0,47.5,0.0,2330700
2016-03-15,21.09516716003418,47.0,0.0,47.75,47.0,47.5,0.0,2364300
2016-03-16,21.20737648010254,47.25,0.0,47.25,46.5,47.0,0.0,1689500
2016-03-17,20.64633560180664,46.0,0.0,47.25,46.0,47.25,0.0,2039800
2016-03-18,20.758546829223633,46.25,0.0,46.25,45.5,46.25,0.0,2144100
2016-03-21,20.758546829223633,46.25,0.0,46.5,46.0,46.25,0.0,143100
2016-03-22,21.319583892822266,47.5,0.0,47.5,46.25,46.25,0.0,1246000
2016-03-23,21.431795120239258,47.75,0.0,48.0,47.5,47.5,0.0,1301800
2016-03-24,21.20737648010254,47.25,0.0,48.0,47.25,47.75,0.0,726500
2016-03-25,21.431795120239258,47.75,0.0,47.75,47.25,47.5,0.0,569700
2016-03-28,21.319583892822266,47.5,0.0,47.75,47.0,47.75,0.0,477900
2016-03-29,21.09516716003418,47.0,0.0,47.5,46.75,47.5,0.0,745800
