Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,156.06719970703125,197.5,0.0,197.5,194.5,195.0,0.0,6110900
2022-07-04,158.042724609375,200.0,0.0,203.0,199.5,201.0,0.0,11295900
2022-07-05,160.41339111328125,203.0,0.0,206.0,200.0,201.0,0.0,12766200
2022-07-06,160.41339111328125,203.0,0.0,204.0,201.0,203.0,0.0,6937600
2022-07-07,161.99378967285156,205.0,0.0,207.0,202.0,203.0,0.0,6658300
2022-07-08,161.20359802246094,204.0,0.0,206.0,203.0,206.0,0.0,5121300
2022-07-11,161.20359802246094,204.0,0.0,205.0,203.0,204.0,0.0,2121000
2022-07-12,160.41339111328125,203.0,0.0,206.0,202.0,204.0,0.0,3132700
2022-07-14,161.20359802246094,204.0,0.0,207.0,202.0,206.0,0.0,6402900
2022-07-15,161.99378967285156,205.0,0.0,205.0,203.0,205.0,0.0,3977200
2022-07-18,161.99378967285156,205.0,0.0,206.0,204.0,205.0,0.0,3059500
2022-07-19,159.62313842773438,202.0,0.0,204.0,200.0,203.0,0.0,5117900
2022-07-20,159.62313842773438,202.0,0.0,204.0,200.0,203.0,0.0,5676200
2022-07-21,159.62313842773438,202.0,0.0,204.0,200.0,202.0,0.0,3591500
2022-07-22,159.62313842773438,202.0,0.0,204.0,200.0,203.0,0.0,4698300
2022-07-25,158.042724609375,200.0,0.0,201.0,198.0,200.0,0.0,5294300
2022-07-26,156.46231079101562,198.0,0.0,200.0,198.0,200.0,0.0,4156300
2022-07-27,158.83294677734375,201.0,0.0,201.0,198.5,200.0,0.0,4889800
2022-08-01,159.62313842773438,202.0,0.0,203.0,200.0,201.0,0.0,6402500
2022-08-02,159.62313842773438,202.0,0.0,205.0,201.0,203.0,0.0,6196500
2022-08-03,159.62313842773438,202.0,0.0,203.0,201.0,203.0,0.0,2975700
2022-08-04,159.62313842773438,202.0,0.0,203.0,201.0,202.0,0.0,2364100
2022-08-05,159.62313842773438,202.0,0.0,203.0,201.0,203.0,0.0,2602200
2022-08-08,160.41339111328125,203.0,0.0,203.0,201.0,203.0,0.0,4579800
2022-08-09,161.99378967285156,205.0,0.0,205.0,202.0,203.0,0.0,4120500
2022-08-10,159.62313842773438,202.0,0.0,205.0,201.0,204.0,0.0,6113700
2022-08-11,157.6476287841797,199.5,0.0,203.0,198.5,202.0,0.0,9791500
2022-08-15,158.83294677734375,201.0,0.0,203.0,200.0,201.0,0.0,4680300
2022-08-16,158.83294677734375,201.0,0.0,202.0,200.0,202.0,0.0,5280900
2022-08-17,158.042724609375,200.0,0.0,201.0,199.0,200.0,0.0,6693100
2022-08-18,158.042724609375,200.0,0.0,201.0,199.5,199.5,0.0,3976300
2022-08-19,157.60049438476562,196.0,3.45,198.5,196.0,197.0,0.0,7738700
2022-08-22,155.9923095703125,194.0,0.0,196.5,193.5,196.0,0.0,7223100
2022-08-23,155.5902862548828,193.5,0.0,195.5,192.5,194.0,0.0,8814600
