Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,108.42955780029297,134.0,0.0,134.5,133.5,133.5,0.0,5848300
2022-07-04,107.62039184570312,133.0,0.0,134.5,133.0,134.0,0.0,5025000
2022-07-05,106.4066162109375,131.5,0.0,134.0,131.5,133.5,0.0,6714900
2022-07-06,106.4066162109375,131.5,0.0,132.5,130.5,132.0,0.0,6489700
2022-07-07,105.19287872314453,130.0,0.0,132.0,128.5,131.5,0.0,12738900
2022-07-08,104.78827667236328,129.5,0.0,132.0,129.5,132.0,0.0,7718500
2022-07-11,105.59745025634766,130.5,0.0,132.0,129.0,129.5,0.0,7410000
2022-07-12,106.0020523071289,131.0,0.0,132.0,130.0,130.5,0.0,6305300
2022-07-14,102.76534271240234,127.0,0.0,130.5,126.5,130.0,0.0,19490600
2022-07-15,102.76534271240234,127.0,0.0,128.0,125.0,127.5,0.0,11545700
2022-07-18,103.97911071777344,128.5,0.0,129.0,127.5,128.0,0.0,5005300
2022-07-19,103.97911071777344,128.5,0.0,129.0,126.5,128.0,0.0,7884700
2022-07-20,102.76534271240234,127.0,0.0,129.5,127.0,129.5,0.0,9660400
2022-07-21,105.59745025634766,130.5,0.0,131.5,127.0,128.0,0.0,12533700
2022-07-22,106.4066162109375,131.5,0.0,132.0,130.0,131.0,0.0,9591700
2022-07-25,107.21581268310547,132.5,0.0,133.0,131.0,131.5,0.0,8051700
2022-07-26,107.21581268310547,132.5,0.0,134.0,132.0,133.0,0.0,7558200
2022-07-27,107.21581268310547,132.5,0.0,133.0,131.5,132.0,0.0,4694200
2022-08-01,106.81123352050781,132.0,0.0,134.0,131.0,133.5,0.0,6687000
2022-08-02,106.81123352050781,132.0,0.0,133.0,131.5,132.0,0.0,2410900
2022-08-03,106.4066162109375,131.5,0.0,133.0,131.0,132.0,0.0,4583600
2022-08-04,106.81123352050781,132.0,0.0,132.5,131.5,132.0,0.0,2669200
2022-08-05,108.42955780029297,134.0,0.0,134.0,132.0,132.5,0.0,6410800
2022-08-08,109.6433334350586,135.5,0.0,135.5,133.5,134.5,0.0,7360000
2022-08-09,110.04793548583984,136.0,0.0,137.0,134.5,135.5,0.0,12405300
2022-08-10,110.04793548583984,136.0,0.0,136.5,135.0,136.0,0.0,7590700
2022-08-11,110.04793548583984,136.0,0.0,137.0,135.0,136.5,0.0,7422500
2022-08-15,110.04793548583984,136.0,0.0,137.0,136.0,136.5,0.0,8186700
2022-08-16,110.45250701904297,136.5,0.0,137.0,135.5,136.0,0.0,5521600
2022-08-17,111.2616958618164,137.5,0.0,138.0,136.5,137.0,0.0,8712700
2022-08-18,110.85710906982422,137.0,0.0,137.5,136.5,137.0,0.0,5481500
2022-08-19,110.45250701904297,136.5,0.0,137.0,136.0,137.0,0.0,4659300
2022-08-22,109.23873138427734,135.0,0.0,136.5,135.0,136.0,0.0,6691700
2022-08-23,110.45250701904297,136.5,0.0,136.5,133.5,134.0,0.0,11059300
2022-08-24,110.45250701904297,136.5,0.0,138.0,136.0,137.0,0.0,7638400
2022-08-25,112.4754638671875,139.0,0.0,139.0,137.0,137.5,0.0,12030600
2022-08-26,111.66627502441406,138.0,0.0,140.5,138.0,139.0,0.0,13296900
2022-08-29,110.85710906982422,137.0,0.0,138.0,136.5,136.5,0.0,4782500
2022-08-30,111.66627502441406,138.0,0.0,138.0,137.0,137.5,0.0,2075300
2022-08-31,110.85710906982422,137.0,0.0,138.0,136.5,137.0,0.0,6594700
2022-09-01,110.04793548583984,136.0,0.0,137.0,136.0,136.5,0.0,5679300
2022-09-02,110.45250701904297,136.5,0.0,137.0,135.5,136.0,0.0,7715000
2022-09-05,111.66627502441406,138.0,0.0,138.0,136.5,136.5,0.0,4379200
2022-09-06,110.85710906982422,137.0,0.0,138.0,136.5,137.5,0.0,6879600
2022-09-07,109.62989044189453,134.0,1.5,135.5,133.5,135.0,0.0,10714900
2022-09-08,108.811767578125,133.0,0.0,135.0,133.0,134.0,0.0,7865600
2022-09-09,110.03897094726562,134.5,0.0,135.0,133.5,133.5,0.0,6192800
2022-09-12,110.85710144042969,135.5,0.0,136.0,135.0,135.0,0.0,2258400
2022-09-13,110.4480209350586,135.0,0.0,136.0,135.0,135.5,0.0,3703300
2022-09-14,110.03897094726562,134.5,0.0,135.5,134.0,134.5,0.0,4016200
2022-09-15,109.62989044189453,134.0,0.0,135.0,134.0,134.5,0.0,4130300
2022-09-16,109.62989044189453,134.0,0.0,135.0,133.5,134.0,0.0,7059600
2022-09-19,111.26617431640625,136.0,0.0,136.5,134.0,134.0,0.0,4560900
2022-09-20,111.67523193359375,136.5,0.0,137.5,136.0,136.5,0.0,5646600
2022-09-21,111.26617431640625,136.0,0.0,137.0,135.0,136.0,0.0,7644700
2022-09-22,112.49336242675781,137.5,0.0,138.0,135.5,135.5,0.0,9523600
2022-09-23,114.9477767944336,140.5,0.0,141.0,138.5,139.5,0.0,21756000
2022-09-26,113.72057342529297,139.0,0.0,140.5,138.5,140.0,0.0,14089900
2022-09-27,111.26617431640625,136.0,0.0,139.0,136.0,139.0,0.0,14113300
2022-09-28,111.26617431640625,136.0,0.0,136.0,135.0,136.0,0.0,8881800
2022-09-29,112.90242767333984,138.0,0.0,139.5,137.5,138.0,0.0,14579900
2022-09-30,111.67523193359375,136.5,0.0,137.5,136.0,137.0,0.0,13038600
2022-10-03,108.4027099609375,132.5,0.0,136.5,132.5,136.0,0.0,20546700
2022-10-04,110.4480209350586,135.0,0.0,136.0,134.5,134.5,0.0,6674800
2022-10-05,111.67523193359375,136.5,0.0,137.0,135.5,136.5,0.0,7397800
2022-10-06,112.90242767333984,138.0,0.0,138.5,137.0,137.0,0.0,8968200
2022-10-07,112.90242767333984,138.0,0.0,138.5,137.0,138.5,0.0,3945000
2022-10-10,112.08430480957031,137.0,0.0,137.5,136.0,137.5,0.0,6827000
2022-10-11,111.26617431640625,136.0,0.0,137.0,135.5,136.5,0.0,6198900
