Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,21.64240837097168,25.0,0.0,25.25,25.0,25.0,0.0,31880100
2022-07-04,21.64240837097168,25.0,0.0,25.25,25.0,25.25,0.0,15347700
2022-07-05,22.29167938232422,25.75,0.0,26.0,25.0,25.25,0.0,97062700
2022-07-06,22.94095230102539,26.5,0.0,26.5,25.75,25.75,0.0,88023300
2022-07-07,23.15737533569336,26.75,0.0,26.75,26.25,26.5,0.0,43890500
2022-07-08,23.15737533569336,26.75,0.0,27.0,26.5,26.75,0.0,44484700
2022-07-11,22.94095230102539,26.5,0.0,26.75,26.0,26.75,0.0,31656900
2022-07-12,23.373802185058594,27.0,0.0,27.25,26.25,26.5,0.0,54881700
2022-07-14,23.373802185058594,27.0,0.0,27.5,26.5,27.0,0.0,77800300
2022-07-15,23.373802185058594,27.0,0.0,27.0,26.25,27.0,0.0,55215600
2022-07-18,22.94095230102539,26.5,0.0,27.25,26.25,27.0,0.0,58594800
2022-07-19,22.94095230102539,26.5,0.0,26.75,26.0,26.5,0.0,34888500
2022-07-20,22.94095230102539,26.5,0.0,27.0,26.25,26.5,0.0,43264800
2022-07-21,23.15737533569336,26.75,0.0,26.75,26.0,26.25,0.0,37198100
2022-07-22,23.373802185058594,27.0,0.0,27.0,26.25,26.75,0.0,20506000
2022-07-25,23.373802185058594,27.0,0.0,27.0,26.5,27.0,0.0,41368400
2022-07-26,22.724529266357422,26.25,0.0,27.0,26.25,27.0,0.0,33895900
2022-07-27,23.15737533569336,26.75,0.0,27.0,26.25,26.5,0.0,23756200
2022-08-01,23.373802185058594,27.0,0.0,27.0,26.5,26.75,0.0,34241300
2022-08-02,23.373802185058594,27.0,0.0,27.5,26.75,27.25,0.0,39417800
2022-08-03,24.023073196411133,27.75,0.0,27.75,27.0,27.25,0.0,44247400
2022-08-04,23.590225219726562,27.25,0.0,27.75,26.75,27.75,0.0,57240200
2022-08-05,23.373802185058594,27.0,0.0,27.25,26.75,27.25,0.0,52557700
2022-08-08,22.94095230102539,26.5,0.0,27.0,26.25,26.75,0.0,74553500
2022-08-09,23.373802185058594,27.0,0.0,27.25,26.5,26.75,0.0,46779200
2022-08-10,23.373802185058594,27.0,0.0,27.0,26.5,26.75,0.0,34371800
2022-08-11,24.455921173095703,28.25,0.0,28.5,27.25,27.5,0.0,106152400
2022-08-15,24.023073196411133,27.75,0.0,28.5,27.5,28.25,0.0,109488900
2022-08-16,24.455921173095703,28.25,0.0,28.5,27.75,28.0,0.0,40208800
2022-08-17,24.023073196411133,27.75,0.0,28.5,27.75,28.25,0.0,63083600
2022-08-18,23.590225219726562,27.25,0.0,28.0,26.5,27.75,0.0,127059500
2022-08-19,23.590225219726562,27.25,0.0,27.75,26.75,27.0,0.0,28570500
2022-08-22,23.590225219726562,27.25,0.0,27.75,27.25,27.25,0.0,25652900
2022-08-23,24.455921173095703,28.25,0.0,28.25,27.25,27.5,0.0,49645000
2022-08-24,24.239498138427734,28.0,0.0,28.25,27.5,28.25,0.0,30978000
2022-08-25,24.672346115112305,28.5,0.0,28.5,27.75,28.0,0.0,28398600
2022-08-26,24.239498138427734,28.0,0.0,28.25,27.5,28.25,0.0,39360500
