Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,33.022891998291016,36.0,0.0,36.25,35.25,35.5,0.0,17039400
2022-07-04,32.79356384277344,35.75,0.0,36.75,35.75,36.5,0.0,8285000
2022-07-05,32.1055908203125,35.0,0.0,36.5,35.0,36.0,0.0,12198200
2022-07-06,33.48154067993164,36.5,0.0,37.5,35.5,35.75,0.0,28206300
2022-07-07,33.71086502075195,36.75,0.0,37.25,36.5,37.0,0.0,14672700
2022-07-08,33.48154067993164,36.5,0.0,37.0,36.25,37.0,0.0,9627600
2022-07-11,34.628173828125,37.75,0.0,38.0,36.75,37.0,0.0,18219600
2022-07-12,34.39884567260742,37.5,0.0,37.75,37.25,37.5,0.0,13705300
2022-07-14,34.39884567260742,37.5,0.0,37.75,37.25,37.5,0.0,12597300
2022-07-15,34.169517517089844,37.25,0.0,37.75,36.75,37.5,0.0,9726400
2022-07-18,34.628173828125,37.75,0.0,38.0,37.25,37.5,0.0,7061300
2022-07-19,33.940189361572266,37.0,0.0,38.0,36.25,38.0,0.0,22524400
2022-07-20,33.940189361572266,37.0,0.0,37.0,36.5,37.0,0.0,11238800
2022-07-21,33.940189361572266,37.0,0.0,37.25,36.5,36.75,0.0,8740900
2022-07-22,34.39884567260742,37.5,0.0,37.75,37.0,37.25,0.0,7314900
2022-07-25,35.086822509765625,38.25,0.0,38.5,37.25,37.5,0.0,16866800
2022-07-26,35.086822509765625,38.25,0.0,38.5,37.75,38.25,0.0,13443000
2022-07-27,34.85749435424805,38.0,0.0,38.0,37.25,38.0,0.0,11695700
2022-08-01,36.004119873046875,39.25,0.0,40.0,38.75,38.75,0.0,33557800
2022-08-02,35.77479553222656,39.0,0.0,39.0,38.25,38.5,0.0,15229200
2022-08-03,36.23345184326172,39.5,0.0,39.5,38.25,39.25,0.0,9943400
2022-08-04,36.23345184326172,39.5,0.0,39.75,39.0,39.5,0.0,10628500
2022-08-05,35.545475006103516,38.75,0.0,40.0,38.25,40.0,0.0,23528900
2022-08-08,36.004119873046875,39.25,0.0,39.25,37.75,38.5,0.0,13119600
2022-08-09,36.23345184326172,39.5,0.0,39.5,39.0,39.0,0.0,5108400
2022-08-10,36.46277618408203,39.75,0.0,40.0,39.0,39.25,0.0,9836300
2022-08-11,36.004119873046875,39.25,0.0,39.25,38.75,39.0,0.0,10090500
2022-08-15,36.004119873046875,39.25,0.0,39.5,38.75,39.5,0.0,7148900
2022-08-16,35.77479553222656,39.0,0.0,39.5,37.75,39.5,0.0,28052700
2022-08-17,36.004119873046875,39.25,0.0,39.5,38.75,39.0,0.0,9791300
2022-08-18,35.77479553222656,39.0,0.0,39.25,38.75,39.25,0.0,11615500
2022-08-19,34.169517517089844,37.25,0.0,39.0,37.0,39.0,0.0,28937500
2022-08-22,33.48154067993164,36.5,0.0,37.5,36.0,37.0,0.0,24131700
2022-08-23,33.48154067993164,36.5,0.0,36.75,36.0,36.0,0.0,6865600
2022-08-24,33.48154067993164,36.5,0.0,37.0,36.25,36.5,0.0,6116100
2022-08-25,33.50908279418945,36.5,0.03,36.75,36.25,36.5,0.0,3718000
2022-08-26,33.27956771850586,36.25,0.0,36.5,35.75,36.25,0.0,8326300
2022-08-29,32.59102249145508,35.5,0.0,35.75,35.0,35.5,0.0,7438700
2022-08-30,32.59102249145508,35.5,0.0,36.25,35.25,35.5,0.0,10106700
2022-08-31,33.968109130859375,37.0,0.0,37.0,35.75,35.75,0.0,23532500
2022-09-01,33.73859405517578,36.75,0.0,37.5,36.5,37.0,0.0,11751900
2022-09-02,33.50908279418945,36.5,0.0,37.25,36.5,37.0,0.0,6555200
2022-09-05,32.82053756713867,35.75,0.0,36.5,35.5,36.5,0.0,11487200
2022-09-06,33.50908279418945,36.5,0.0,36.75,35.75,36.0,0.0,12023700
2022-09-07,33.27956771850586,36.25,0.0,37.0,36.0,36.75,0.0,5333100
2022-09-08,34.65665054321289,37.75,0.0,38.0,37.0,37.25,0.0,20286500
2022-09-09,34.65665054321289,37.75,0.0,38.25,37.5,38.0,0.0,9258000
2022-09-12,34.65665054321289,37.75,0.0,38.0,37.25,38.0,0.0,6995500
2022-09-13,34.65665054321289,37.75,0.0,38.0,37.5,37.75,0.0,6082100
2022-09-14,34.65665054321289,37.75,0.0,37.75,36.75,37.0,0.0,6783200
2022-09-15,33.50908279418945,36.5,0.0,37.75,36.25,37.5,0.0,14472900
2022-09-16,32.82053756713867,35.75,0.0,37.0,35.5,36.75,0.0,17689400
2022-09-19,32.59102249145508,35.5,0.0,36.0,35.0,35.5,0.0,8814900
2022-09-20,32.59102249145508,35.5,0.0,36.25,35.25,36.0,0.0,7290200
2022-09-21,31.21393585205078,34.0,0.0,35.5,34.0,35.25,0.0,21116000
2022-09-22,31.67296600341797,34.5,0.0,35.0,34.0,34.0,0.0,13267600
2022-09-23,31.67296600341797,34.5,0.0,34.75,34.25,34.5,0.0,6466800
2022-09-26,32.13199996948242,35.0,0.0,35.75,34.5,34.5,0.0,16547500
2022-09-27,32.36151123046875,35.25,0.0,36.0,35.0,35.0,0.0,11345500
2022-09-28,32.13199996948242,35.0,0.0,35.5,34.5,35.0,0.0,9905600
2022-09-29,31.21393585205078,34.0,0.0,35.0,33.75,35.0,0.0,15941900
2022-09-30,30.984424591064453,33.75,0.0,34.0,33.25,34.0,0.0,11130900
2022-10-03,30.066368103027344,32.75,0.0,33.5,32.25,33.5,0.0,13650500
2022-10-04,29.836854934692383,32.5,0.0,33.5,32.5,33.0,0.0,13996700
2022-10-05,29.37782859802246,32.0,0.0,32.75,31.75,32.75,0.0,18855500
2022-10-06,28.689281463623047,31.25,0.0,32.25,31.0,32.0,0.0,20833400
2022-10-07,28.91879653930664,31.5,0.0,31.5,30.75,31.25,0.0,9545600
2022-10-10,28.230257034301758,30.75,0.0,31.25,30.25,31.0,0.0,12327800
2022-10-11,28.00074005126953,30.5,0.0,31.0,30.5,30.5,0.0,6005200
2022-10-12,27.771224975585938,30.25,0.0,31.25,30.0,31.0,0.0,10412800
2022-10-17,27.771224975585938,30.25,0.0,30.5,30.0,30.5,0.0,8145900
2022-10-18,28.91879653930664,31.5,0.0,32.0,31.0,31.25,0.0,14685500
2022-10-19,29.836854934692383,32.5,0.0,33.0,32.25,32.5,0.0,20624100
2022-10-20,29.60733985900879,32.25,0.0,32.5,31.75,32.5,0.0,13736700
2022-10-21,29.60733985900879,32.25,0.0,32.75,32.0,32.25,0.0,7238500
2022-10-25,30.066368103027344,32.75,0.0,33.25,32.5,33.0,0.0,9223200
2022-10-26,29.836854934692383,32.5,0.0,33.0,32.5,32.75,0.0,9241700
2022-10-27,30.984424591064453,33.75,0.0,34.5,32.75,32.75,0.0,19751400
2022-10-28,31.21393585205078,34.0,0.0,34.5,33.5,33.75,0.0,11958300
2022-10-31,30.984424591064453,33.75,0.0,34.5,33.5,34.25,0.0,6913200
2022-11-01,31.902477264404297,34.75,0.0,35.25,33.75,33.75,0.0,15943600
2022-11-02,31.67296600341797,34.5,0.0,34.75,33.75,34.5,0.0,12278600
2022-11-03,31.443452835083008,34.25,0.0,34.5,33.5,34.0,0.0,14573300
2022-11-04,31.443452835083008,34.25,0.0,34.75,34.0,34.25,0.0,6898500
2022-11-07,31.443452835083008,34.25,0.0,34.75,34.0,34.25,0.0,6759600
2022-11-08,31.67296600341797,34.5,0.0,35.0,34.25,34.25,0.0,9406500
2022-11-09,32.13199996948242,35.0,0.0,36.25,34.5,35.0,0.0,20030700
2022-11-10,31.902477264404297,34.75,0.0,35.25,34.5,35.0,0.0,9495500
2022-11-11,34.19762420654297,37.25,0.0,37.5,35.25,35.5,0.0,54746000
2022-11-14,33.73859405517578,36.75,0.0,37.5,36.5,37.0,0.0,12575800
2022-11-15,34.19762420654297,37.25,0.0,37.75,37.25,37.25,0.0,8989300
2022-11-16,33.50908279418945,36.5,0.0,37.25,35.5,37.25,0.0,23029700
2022-11-17,33.73859405517578,36.75,0.0,37.0,36.0,36.25,0.0,9430300
2022-11-18,33.73859405517578,36.75,0.0,37.0,36.25,36.75,0.0,6492100
2022-11-21,33.73859405517578,36.75,0.0,37.25,36.5,36.5,0.0,7096400
2022-11-22,33.968109130859375,37.0,0.0,37.75,36.5,37.0,0.0,8693500
2022-11-23,34.19762420654297,37.25,0.0,37.5,36.5,37.25,0.0,12522900
2022-11-24,34.19762420654297,37.25,0.0,38.0,37.25,37.5,0.0,7906600
2022-11-25,33.50908279418945,36.5,0.0,37.5,36.25,37.25,0.0,10636800
2022-11-28,34.42713928222656,37.5,0.0,37.75,36.5,36.75,0.0,13360900
2022-11-29,33.968109130859375,37.0,0.0,37.25,36.75,37.25,0.0,8184900
2022-11-30,34.42713928222656,37.5,0.0,38.0,36.75,37.0,0.0,14434100
2022-12-01,34.42713928222656,37.5,0.0,38.25,37.5,37.5,0.0,13655200
2022-12-02,34.65665054321289,37.75,0.0,38.0,37.5,37.5,0.0,5214000
2022-12-06,34.65665054321289,37.75,0.0,38.25,37.25,37.5,0.0,9186900
2022-12-07,34.886165618896484,38.0,0.0,38.5,37.75,38.0,0.0,4989700
2022-12-08,34.65665054321289,37.75,0.0,38.25,37.5,38.0,0.0,2064400
2022-12-09,34.65665054321289,37.75,0.0,38.25,37.5,37.75,0.0,6265100
2022-12-13,34.886165618896484,38.0,0.0,38.5,37.75,38.0,0.0,5021300
2022-12-14,34.886165618896484,38.0,0.0,38.25,38.0,38.0,0.0,2879600
2022-12-15,36.03374099731445,39.25,0.0,39.75,37.5,38.0,0.0,36050300
2022-12-16,36.49276351928711,39.75,0.0,39.75,39.25,39.5,0.0,17537900
2022-12-19,36.263248443603516,39.5,0.0,39.75,39.0,39.75,0.0,11518700
2022-12-20,36.263248443603516,39.5,0.0,39.5,38.75,39.5,0.0,15985900
2022-12-21,36.722286224365234,40.0,0.0,40.0,39.0,39.75,0.0,11541900
2022-12-22,36.49276351928711,39.75,0.0,40.0,39.5,39.75,0.0,6004600
2022-12-23,36.263248443603516,39.5,0.0,39.75,39.0,39.75,0.0,9885700
2022-12-26,36.263248443603516,39.5,0.0,39.75,39.0,39.25,0.0,6015500
2022-12-27,36.03374099731445,39.25,0.0,39.75,39.0,39.25,0.0,6777300
2022-12-28,36.49276351928711,39.75,0.0,40.0,39.5,39.5,0.0,5718400
2022-12-29,37.410823822021484,40.75,0.0,40.75,39.5,39.5,0.0,11451600
