Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,155.9064178466797,180.0,0.0,181.0,179.0,179.0,0.0,2001300
2022-07-04,156.77256774902344,181.0,0.0,181.5,179.0,180.0,0.0,1585000
2022-07-05,158.9379425048828,183.5,0.0,186.0,181.0,181.0,0.0,5034700
2022-07-06,160.2371826171875,185.0,0.0,186.0,183.5,183.5,0.0,3519500
2022-07-07,162.8356170654297,188.0,0.0,189.0,186.0,186.5,0.0,4934600
2022-07-08,163.26864624023438,188.5,0.0,190.0,187.5,188.0,0.0,3211000
2022-07-11,163.26864624023438,188.5,0.0,188.5,187.5,188.5,0.0,2126300
2022-07-12,162.8356170654297,188.0,0.0,190.5,188.0,188.5,0.0,2300800
2022-07-14,162.8356170654297,188.0,0.0,191.0,187.0,188.0,0.0,4447400
2022-07-15,163.26864624023438,188.5,0.0,188.5,185.0,187.0,0.0,4008100
2022-07-18,154.60720825195312,178.5,0.0,187.0,177.0,187.0,0.0,6222000
2022-07-19,156.33950805664062,180.5,0.0,181.0,178.0,179.0,0.0,3847600
2022-07-20,155.9064178466797,180.0,0.0,181.5,178.0,181.0,0.0,1928400
2022-07-21,155.040283203125,179.0,0.0,180.0,177.5,179.0,0.0,2121500
2022-07-22,154.60720825195312,178.5,0.0,180.0,177.5,180.0,0.0,1195200
2022-07-25,154.60720825195312,178.5,0.0,179.5,175.0,178.5,0.0,2307000
2022-07-26,157.20567321777344,181.5,0.0,182.5,179.5,180.0,0.0,3049100
2022-07-27,157.6387481689453,182.0,0.0,182.5,180.0,182.5,0.0,1306200
2022-08-01,159.8040771484375,184.5,0.0,185.0,183.0,184.0,0.0,3252300
2022-08-02,159.37100219726562,184.0,0.0,185.5,183.0,184.5,0.0,2827500
2022-08-03,160.2371826171875,185.0,0.0,185.0,183.5,184.5,0.0,1627400
2022-08-04,158.9379425048828,183.5,0.0,187.0,182.5,185.5,0.0,1794500
2022-08-05,157.6387481689453,182.0,0.0,184.0,181.0,184.0,0.0,1962100
2022-08-08,155.9064178466797,180.0,0.0,184.0,178.5,184.0,0.0,3822300
2022-08-09,157.20567321777344,181.5,0.0,182.0,179.5,179.5,0.0,2094900
2022-08-10,157.6387481689453,182.0,0.0,182.5,180.0,181.5,0.0,3347500
2022-08-11,164.56788635253906,190.0,0.0,197.0,186.5,187.0,0.0,17035700
2022-08-15,163.26864624023438,188.5,0.0,191.0,188.5,190.0,0.0,7132900
2022-08-16,164.1348114013672,189.5,0.0,196.5,188.0,190.5,0.0,11865700
2022-08-17,167.5994110107422,193.5,0.0,196.0,190.5,190.5,0.0,11138500
2022-08-18,161.53640747070312,186.5,0.0,187.5,180.5,187.0,0.0,38672900
2022-08-19,168.46554565429688,194.5,0.0,195.0,186.5,188.0,0.0,18730500
2022-08-22,168.46554565429688,194.5,0.0,196.0,193.0,196.0,0.0,6038300
2022-08-23,185.3554229736328,214.0,0.0,214.0,196.5,197.0,0.0,18446400
2022-08-24,182.75698852539062,211.0,0.0,214.0,206.0,214.0,0.0,10414300
2022-08-25,190.7256622314453,219.0,1.15,219.0,211.0,212.0,0.0,12635400
2022-08-26,188.11297607421875,216.0,0.0,218.0,214.0,218.0,0.0,8011800
2022-08-29,187.24209594726562,215.0,0.0,216.0,209.0,213.0,0.0,8851600
2022-08-30,187.24209594726562,215.0,0.0,220.0,214.0,215.0,0.0,14303500
2022-08-31,188.11297607421875,216.0,0.0,218.0,213.0,214.0,0.0,19069400
2022-09-01,188.11297607421875,216.0,0.0,219.0,213.0,214.0,0.0,6249800
2022-09-02,188.98387145996094,217.0,0.0,220.0,214.0,214.0,0.0,4185900
2022-09-05,187.24209594726562,215.0,0.0,219.0,214.0,216.0,0.0,4197400
2022-09-06,188.11297607421875,216.0,0.0,217.0,214.0,215.0,0.0,3074200
2022-09-07,189.85476684570312,218.0,0.0,220.0,215.0,216.0,0.0,5205700
2022-09-08,195.95101928710938,225.0,0.0,226.0,216.0,219.0,0.0,8824300
2022-09-09,195.08010864257812,224.0,0.0,227.0,223.0,227.0,0.0,4576300
2022-09-12,197.6928253173828,227.0,0.0,228.0,224.0,226.0,0.0,2398800
2022-09-13,201.17640686035156,231.0,0.0,233.0,225.0,227.0,0.0,6347200
2022-09-14,195.95101928710938,225.0,0.0,230.0,224.0,228.0,0.0,4872900
2022-09-15,197.6928253173828,227.0,0.0,229.0,225.0,227.0,0.0,3989300
2022-09-16,190.7256622314453,219.0,0.0,227.0,216.0,225.0,0.0,14960400
2022-09-19,195.95101928710938,225.0,0.0,225.0,219.0,219.0,0.0,2875500
2022-09-20,196.8219451904297,226.0,0.0,231.0,224.0,227.0,0.0,5344600
2022-09-21,197.6928253173828,227.0,0.0,228.0,224.0,226.0,0.0,2137400
2022-09-22,200.30548095703125,230.0,0.0,230.0,225.0,226.0,0.0,2064500
2022-09-23,195.95101928710938,225.0,0.0,230.0,225.0,228.0,0.0,1816100
2022-09-26,196.8219451904297,226.0,0.0,227.0,222.0,227.0,0.0,2288700
