Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,28.3851375579834,32.25,0.0,32.5,32.0,32.25,0.0,3723000
2022-07-04,28.3851375579834,32.25,0.0,33.25,32.25,33.0,0.0,2599400
2022-07-05,27.72501564025879,31.5,0.0,32.5,31.25,32.25,0.0,5037400
2022-07-06,27.72501564025879,31.5,0.0,32.0,31.25,31.5,0.0,3885600
2022-07-07,28.60517692565918,32.5,0.0,32.5,31.75,31.75,0.0,2487100
2022-07-08,28.60517692565918,32.5,0.0,32.75,31.75,32.5,0.0,1737200
2022-07-11,28.16509437561035,32.0,0.0,32.25,32.0,32.0,0.0,1633000
2022-07-12,28.60517692565918,32.5,0.0,32.5,32.0,32.0,0.0,1838400
2022-07-14,27.064897537231445,30.75,0.0,32.25,30.5,32.25,0.0,9199900
2022-07-15,27.28493309020996,31.0,0.0,31.25,30.5,30.75,0.0,2308400
2022-07-18,27.504976272583008,31.25,0.0,31.5,31.0,31.0,0.0,1956300
2022-07-19,27.504976272583008,31.25,0.0,31.25,30.5,31.25,0.0,1668800
2022-07-20,27.504976272583008,31.25,0.0,31.5,31.0,31.25,0.0,2066700
2022-07-21,27.504976272583008,31.25,0.0,31.25,31.0,31.25,0.0,1236800
2022-07-22,27.504976272583008,31.25,0.0,31.5,31.0,31.25,0.0,1687700
2022-07-25,28.3851375579834,32.25,0.0,32.25,31.5,31.5,0.0,2873000
2022-07-26,28.60517692565918,32.5,0.0,32.5,31.75,32.25,0.0,2369400
2022-07-27,28.60517692565918,32.5,0.0,32.75,32.25,32.5,0.0,1976800
2022-08-01,29.045251846313477,33.0,0.0,33.0,32.25,32.75,0.0,4412200
2022-08-02,29.265295028686523,33.25,0.0,33.25,32.25,33.0,0.0,3179100
2022-08-03,29.045251846313477,33.0,0.0,33.25,32.75,32.75,0.0,1791500
2022-08-04,29.265295028686523,33.25,0.0,33.25,32.75,33.0,0.0,1536000
2022-08-05,29.265295028686523,33.25,0.0,33.25,32.75,33.0,0.0,1154100
2022-08-08,29.70537567138672,33.75,0.0,33.75,32.75,33.25,0.0,1604200
2022-08-09,29.48533821105957,33.5,0.0,33.75,33.0,33.75,0.0,2450700
2022-08-10,29.265295028686523,33.25,0.0,33.5,33.0,33.25,0.0,998600
2022-08-11,29.9254150390625,34.0,0.0,34.0,33.25,33.5,0.0,6402600
2022-08-15,30.14546012878418,34.25,0.0,34.5,33.75,34.0,0.0,1894400
2022-08-16,29.9254150390625,34.0,0.0,34.25,33.75,34.25,0.0,1420100
2022-08-17,30.14546012878418,34.25,0.0,34.5,33.75,34.25,0.0,2859600
2022-08-18,30.36549186706543,34.5,0.0,34.5,34.0,34.25,0.0,731700
2022-08-19,29.70537567138672,33.75,0.0,34.5,33.5,34.5,0.0,2053000
2022-08-22,29.70537567138672,33.75,0.0,34.0,33.5,33.5,0.0,792200
2022-08-23,29.48533821105957,33.5,0.0,34.0,33.0,33.0,0.0,2766100
2022-08-24,29.8389835357666,33.75,0.15,33.75,33.0,33.5,0.0,1272200
2022-08-25,29.8389835357666,33.75,0.0,34.0,33.5,34.0,0.0,733900
2022-08-26,29.8389835357666,33.75,0.0,33.75,33.5,33.5,0.0,1302000
2022-08-29,29.61795425415039,33.5,0.0,33.75,33.0,33.25,0.0,1067100
2022-08-30,29.61795425415039,33.5,0.0,33.75,33.0,33.5,0.0,2672300
2022-08-31,29.61795425415039,33.5,0.0,33.75,33.25,33.5,0.0,2030500
2022-09-01,29.396923065185547,33.25,0.0,33.75,33.0,33.5,0.0,1361100
2022-09-02,29.61795425415039,33.5,0.0,33.5,33.25,33.25,0.0,844100
2022-09-05,29.61795425415039,33.5,0.0,33.75,33.5,33.75,0.0,746500
2022-09-06,30.28104591369629,34.25,0.0,34.25,33.25,33.5,0.0,2625800
2022-09-07,30.94413185119629,35.0,0.0,36.0,35.0,35.0,0.0,12057700
2022-09-08,30.5020694732666,34.5,0.0,35.25,34.25,35.25,0.0,4517100
2022-09-09,30.28104591369629,34.25,0.0,34.75,34.25,34.75,0.0,3359800
2022-09-12,30.5020694732666,34.5,0.0,34.75,34.25,34.5,0.0,3477600
2022-09-13,30.5020694732666,34.5,0.0,34.75,34.25,34.5,0.0,2850800
2022-09-14,30.28104591369629,34.25,0.0,35.0,33.75,33.75,0.0,5317100
2022-09-15,30.06001091003418,34.0,0.0,34.5,34.0,34.25,0.0,668700
2022-09-16,30.06001091003418,34.0,0.0,34.0,33.25,34.0,0.0,4113500
2022-09-19,28.954864501953125,32.75,0.0,34.0,32.75,33.75,0.0,5154300
2022-09-20,28.954864501953125,32.75,0.0,33.25,32.75,33.0,0.0,3620600
2022-09-21,29.17588996887207,33.0,0.0,33.0,32.5,32.75,0.0,2551400
2022-09-22,29.396923065185547,33.25,0.0,33.25,32.5,32.75,0.0,1676000
2022-09-23,29.396923065185547,33.25,0.0,33.75,33.0,33.0,0.0,3145800
2022-09-26,29.396923065185547,33.25,0.0,34.0,33.0,33.25,0.0,4015100
2022-09-27,29.61795425415039,33.5,0.0,34.25,33.5,33.5,0.0,5368300
2022-09-28,29.17588996887207,33.0,0.0,33.5,33.0,33.25,0.0,4077900
2022-09-29,29.17588996887207,33.0,0.0,34.0,33.0,33.5,0.0,3307600
2022-09-30,28.954864501953125,32.75,0.0,33.5,32.5,33.0,0.0,5038700
2022-10-03,27.849716186523438,31.5,0.0,32.5,30.75,32.5,0.0,12580200
2022-10-04,28.733835220336914,32.5,0.0,32.5,31.75,32.0,0.0,3031000
2022-10-05,28.291772842407227,32.0,0.0,33.0,32.0,32.5,0.0,4334600
2022-10-06,28.291772842407227,32.0,0.0,32.5,32.0,32.5,0.0,1618600
2022-10-07,28.291772842407227,32.0,0.0,32.25,31.75,32.0,0.0,800000
2022-10-10,28.07074737548828,31.75,0.0,32.0,31.25,32.0,0.0,2600200
2022-10-11,27.849716186523438,31.5,0.0,31.75,31.5,31.75,0.0,1488900
2022-10-12,27.628686904907227,31.25,0.0,31.75,31.0,31.5,0.0,2725400
2022-10-17,27.628686904907227,31.25,0.0,31.5,30.75,31.0,0.0,2158300
2022-10-18,28.51280403137207,32.25,0.0,32.25,31.25,31.5,0.0,2233900
2022-10-19,28.733835220336914,32.5,0.0,32.5,31.75,32.25,0.0,1802400
2022-10-20,29.396923065185547,33.25,0.0,33.25,32.25,32.5,0.0,3673400
2022-10-21,29.396923065185547,33.25,0.0,33.5,33.0,33.25,0.0,1872900
2022-10-25,30.06001091003418,34.0,0.0,34.0,33.25,33.5,0.0,2428400
2022-10-26,29.396923065185547,33.25,0.0,34.0,33.25,34.0,0.0,1748300
2022-10-27,29.8389835357666,33.75,0.0,34.0,33.25,33.25,0.0,1385900
2022-10-28,29.8389835357666,33.75,0.0,34.0,33.25,34.0,0.0,1532900
2022-10-31,30.28104591369629,34.25,0.0,34.5,34.0,34.25,0.0,4933200
2022-11-01,29.61795425415039,33.5,0.0,34.5,33.25,34.5,0.0,5551500
2022-11-02,29.61795425415039,33.5,0.0,33.75,33.25,33.5,0.0,1238500
2022-11-03,29.61795425415039,33.5,0.0,33.5,33.0,33.5,0.0,1903000
2022-11-04,29.396923065185547,33.25,0.0,34.0,33.0,33.25,0.0,5565300
2022-11-07,29.396923065185547,33.25,0.0,33.75,33.0,33.5,0.0,6549500
2022-11-08,30.94413185119629,35.0,0.0,35.0,33.25,33.5,0.0,8277900
2022-11-09,30.5020694732666,34.5,0.0,35.0,34.0,35.0,0.0,10354400
2022-11-10,28.291772842407227,32.0,0.0,33.75,31.75,33.5,0.0,24159800
2022-11-11,29.396923065185547,33.25,0.0,33.5,31.75,32.5,0.0,29804900
2022-11-14,29.396923065185547,33.25,0.0,33.5,32.5,33.0,0.0,10926400
2022-11-15,29.8389835357666,33.75,0.0,34.0,32.75,33.25,0.0,7298100
2022-11-16,30.06001091003418,34.0,0.0,34.0,33.25,33.5,0.0,9866500
2022-11-17,29.61795425415039,33.5,0.0,34.0,33.5,33.75,0.0,2490600
2022-11-18,30.06001091003418,34.0,0.0,34.0,33.5,33.75,0.0,3696800
2022-11-21,30.06001091003418,34.0,0.0,34.5,33.75,33.75,0.0,4423100
2022-11-22,30.5020694732666,34.5,0.0,34.5,34.0,34.25,0.0,4820000
2022-11-23,29.8389835357666,33.75,0.0,34.25,32.75,34.25,0.0,25503400
2022-11-24,29.61795425415039,33.5,0.0,33.75,33.25,33.75,0.0,3391600
2022-11-25,29.61795425415039,33.5,0.0,33.75,33.25,33.5,0.0,2453600
2022-11-28,29.8389835357666,33.75,0.0,33.75,33.25,33.5,0.0,2826200
2022-11-29,29.61795425415039,33.5,0.0,33.75,33.25,33.75,0.0,4457800
2022-11-30,30.28104591369629,34.25,0.0,34.5,33.75,33.75,0.0,9126800
2022-12-01,30.06001091003418,34.0,0.0,34.5,33.75,34.5,0.0,4571500
2022-12-02,29.8389835357666,33.75,0.0,34.25,33.5,34.25,0.0,4544000
2022-12-06,30.72309684753418,34.75,0.0,34.75,33.75,34.0,0.0,7528500
2022-12-07,30.5020694732666,34.5,0.0,34.75,34.0,34.5,0.0,5001700
2022-12-08,30.5020694732666,34.5,0.0,34.75,34.25,34.5,0.0,2874300
2022-12-09,30.72309684753418,34.75,0.0,35.0,34.5,34.5,0.0,2628000
2022-12-13,30.06001091003418,34.0,0.0,35.0,34.0,34.5,0.0,5670500
2022-12-14,30.94413185119629,35.0,0.0,35.0,34.0,34.25,0.0,3431600
2022-12-15,30.28104591369629,34.25,0.0,35.0,34.0,35.0,0.0,5459800
2022-12-16,30.28104591369629,34.25,0.0,34.75,34.25,34.25,0.0,6697900
2022-12-19,30.72309684753418,34.75,0.0,35.0,34.5,34.5,0.0,3382100
2022-12-20,30.06001091003418,34.0,0.0,35.0,33.5,35.0,0.0,10057800
2022-12-21,29.8389835357666,33.75,0.0,34.0,33.5,33.75,0.0,4535900
2022-12-22,30.94413185119629,35.0,0.0,35.25,33.75,34.0,0.0,16317300
2022-12-23,31.165157318115234,35.25,0.0,35.25,34.75,34.75,0.0,5148900
2022-12-26,30.94413185119629,35.0,0.0,35.25,34.75,35.25,0.0,1970900
2022-12-27,30.94413185119629,35.0,0.0,35.5,34.75,35.25,0.0,4620000
2022-12-28,30.72309684753418,34.75,0.0,35.0,34.75,35.0,0.0,4033800
2022-12-29,30.94413185119629,35.0,0.0,35.25,34.75,35.0,0.0,1842800
2022-12-30,31.165157318115234,35.25,0.0,35.5,35.0,35.25,0.0,5123300
2023-01-03,30.94413185119629,35.0,0.0,35.25,34.75,35.25,0.0,3414300
2023-01-04,31.165157318115234,35.25,0.0,35.25,34.75,35.0,0.0,3288300
2023-01-05,31.828248977661133,36.0,0.0,36.25,35.25,35.5,0.0,10576800
2023-01-06,32.27030563354492,36.5,0.0,36.75,35.75,36.25,0.0,7093500
2023-01-09,32.71236801147461,37.0,0.0,37.0,36.25,37.0,0.0,5062400
2023-01-10,32.27030563354492,36.5,0.0,37.0,36.25,37.0,0.0,5997300
