Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,98.93927001953125,108.5,0.0,109.5,106.0,106.5,0.0,5018700
2022-07-04,100.76304626464844,110.5,0.0,112.0,108.5,109.0,0.0,11280200
2022-07-05,98.93927001953125,108.5,0.0,111.5,107.5,111.0,0.0,10856600
2022-07-06,99.85115814208984,109.5,0.0,110.5,108.5,109.0,0.0,6498900
2022-07-07,103.0427474975586,113.0,0.0,113.5,110.0,110.5,0.0,14099400
2022-07-08,103.0427474975586,113.0,0.0,114.5,112.0,114.0,0.0,7747900
2022-07-11,103.95462799072266,114.0,0.0,115.0,113.5,113.5,0.0,6211800
2022-07-12,103.95462799072266,114.0,0.0,114.5,112.5,114.0,0.0,5296400
2022-07-14,104.41057586669922,114.5,0.0,116.0,113.5,114.0,0.0,5492000
2022-07-15,104.41057586669922,114.5,0.0,115.0,112.0,114.5,0.0,8006700
2022-07-18,101.21898651123047,111.0,0.0,115.5,110.5,115.0,0.0,14215700
2022-07-19,98.93927001953125,108.5,0.0,109.0,105.5,109.0,0.0,14827000
2022-07-20,99.39522552490234,109.0,0.0,110.0,107.5,109.5,0.0,8247500
2022-07-21,101.21898651123047,111.0,0.0,112.0,109.5,109.5,0.0,6670300
2022-07-22,101.21898651123047,111.0,0.0,112.0,110.0,112.0,0.0,3538400
2022-07-25,101.6749267578125,111.5,0.0,112.5,110.0,110.5,0.0,3030300
2022-07-26,101.21898651123047,111.0,0.0,112.0,110.5,111.5,0.0,4331500
2022-07-27,102.5868148803711,112.5,0.0,113.5,109.5,110.5,0.0,6263100
2022-08-01,103.95462799072266,114.0,0.0,115.0,113.0,113.5,0.0,6390300
2022-08-02,103.49868774414062,113.5,0.0,115.0,113.0,113.0,0.0,2578500
2022-08-03,103.49868774414062,113.5,0.0,114.0,112.5,114.0,0.0,1380400
2022-08-04,103.49868774414062,113.5,0.0,115.0,112.5,114.0,0.0,3819400
2022-08-05,103.49868774414062,113.5,0.0,114.5,113.0,113.5,0.0,1640200
2022-08-08,103.0427474975586,113.0,0.0,113.0,111.5,112.5,0.0,2347200
2022-08-09,103.0427474975586,113.0,0.0,113.0,112.0,113.0,0.0,2340900
2022-08-10,102.5868148803711,112.5,0.0,113.0,111.0,113.0,0.0,3764600
2022-08-11,103.0427474975586,113.0,0.0,114.0,113.0,113.0,0.0,3462900
2022-08-15,101.6749267578125,111.5,0.0,112.5,108.0,112.5,0.0,12757100
2022-08-16,101.6749267578125,111.5,0.0,113.0,111.0,112.0,0.0,4202700
2022-08-17,101.6749267578125,111.5,0.0,112.5,111.0,111.5,0.0,5986600
2022-08-18,99.39522552490234,109.0,0.0,111.5,108.5,111.0,0.0,7068600
2022-08-19,98.02739715576172,107.5,0.0,109.5,107.0,109.0,0.0,4363200
2022-08-22,97.11550903320312,106.5,0.0,108.5,106.0,108.0,0.0,6215900
2022-08-23,97.57144927978516,107.0,0.0,107.5,105.5,106.0,0.0,7771300
2022-08-24,96.20361328125,105.5,0.0,107.0,105.0,107.0,0.0,6845400
2022-08-25,96.65957641601562,106.0,0.0,107.0,105.5,106.0,0.0,6011900
2022-08-26,94.59320831298828,103.0,0.75,107.5,102.0,106.5,0.0,20356200
2022-08-29,92.75646209716797,101.0,0.0,101.5,100.0,101.0,0.0,8446400
2022-08-30,93.21564483642578,101.5,0.0,102.5,100.5,101.5,0.0,7708300
2022-08-31,92.75646209716797,101.0,0.0,102.0,100.5,101.0,0.0,5791400
2022-09-01,92.2972640991211,100.5,0.0,102.0,99.5,101.0,0.0,7067400
