Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,41.37488555908203,43.75,0.0,44.25,43.5,44.0,0.0,2256500
2022-07-04,40.90203094482422,43.25,0.0,44.0,43.0,43.75,0.0,2525300
2022-07-05,39.24703598022461,41.5,0.0,43.5,41.0,43.25,0.0,7134600
2022-07-06,39.483463287353516,41.75,0.0,42.75,41.25,41.5,0.0,3896400
2022-07-07,39.71989059448242,42.0,0.0,42.5,41.75,41.75,0.0,2547500
2022-07-08,39.483463287353516,41.75,0.0,42.25,41.25,42.25,0.0,2229300
2022-07-11,38.06489944458008,40.25,0.0,41.0,39.5,41.0,0.0,7693300
2022-07-12,37.828468322753906,40.0,0.0,40.75,39.75,39.75,0.0,2045500
2022-07-14,37.592041015625,39.75,0.0,40.75,39.75,40.0,0.0,2670000
2022-07-15,37.592041015625,39.75,0.0,40.5,38.75,40.25,0.0,6224800
2022-07-18,38.30132293701172,40.5,0.0,41.25,39.5,40.0,0.0,3957600
2022-07-19,37.828468322753906,40.0,0.0,40.5,39.75,40.0,0.0,3130500
2022-07-20,38.7741813659668,41.0,0.0,41.5,40.5,40.5,0.0,5712700
2022-07-21,39.01060485839844,41.25,0.0,41.5,40.5,41.0,0.0,4260200
2022-07-22,38.537750244140625,40.75,0.0,41.5,40.5,41.25,0.0,2678800
2022-07-25,38.7741813659668,41.0,0.0,41.25,40.5,41.0,0.0,2847500
2022-07-26,39.01060485839844,41.25,0.0,41.25,40.75,41.0,0.0,1873000
2022-07-27,39.71989059448242,42.0,0.0,42.0,40.75,41.0,0.0,3092800
2022-08-01,39.71989059448242,42.0,0.0,42.5,41.5,42.0,0.0,2505100
2022-08-02,39.483463287353516,41.75,0.0,42.25,41.25,41.75,0.0,2618400
2022-08-03,39.95631790161133,42.25,0.0,42.5,41.5,41.75,0.0,1398700
2022-08-04,39.71989059448242,42.0,0.0,42.5,41.5,42.5,0.0,1669700
2022-08-05,39.24703598022461,41.5,0.0,41.75,41.0,41.5,0.0,2038900
2022-08-08,38.7741813659668,41.0,0.0,41.5,40.5,41.25,0.0,2554700
2022-08-09,39.483463287353516,41.75,0.0,42.25,40.75,41.0,0.0,2247000
2022-08-10,39.483463287353516,41.75,0.0,42.0,41.0,41.75,0.0,1709300
2022-08-11,40.192745208740234,42.5,0.0,43.5,41.5,42.0,0.0,6532900
2022-08-15,40.66560745239258,43.0,0.0,43.5,42.5,42.5,0.0,5222800
2022-08-16,41.13846206665039,43.5,0.0,44.25,43.5,43.5,0.0,4801000
2022-08-17,41.37488555908203,43.75,0.0,44.25,43.25,44.0,0.0,1829500
2022-08-18,40.90203094482422,43.25,0.0,43.75,43.0,43.5,0.0,2452100
2022-08-19,41.37488555908203,43.75,0.0,44.0,43.0,43.25,0.0,2488300
2022-08-22,41.13846206665039,43.5,0.0,44.0,43.0,44.0,0.0,2736800
2022-08-23,41.37488555908203,43.75,0.0,44.25,43.0,43.0,0.0,3934400
2022-08-24,41.61131286621094,44.0,0.0,44.25,43.25,43.75,0.0,2024200
2022-08-25,41.61131286621094,44.0,0.0,44.75,44.0,44.5,0.0,1564800
2022-08-26,40.429176330566406,42.75,0.0,44.25,42.75,44.0,0.0,4669500
2022-08-29,40.192745208740234,42.5,0.0,42.75,42.0,42.0,0.0,2345400
2022-08-30,40.66560745239258,43.0,0.0,43.25,42.0,42.5,0.0,5842800
2022-08-31,40.429176330566406,42.75,0.0,43.0,42.25,42.75,0.0,3385800
2022-09-01,41.13846206665039,43.5,0.0,43.75,42.75,42.75,0.0,3723000
2022-09-02,42.08416748046875,44.5,0.0,44.75,43.5,43.5,0.0,4822900
2022-09-05,43.26631164550781,45.75,0.0,46.0,44.25,44.75,0.0,5665500
2022-09-06,43.029884338378906,45.5,0.0,46.25,45.25,46.0,0.0,2467300
2022-09-07,42.79345703125,45.25,0.0,46.25,45.25,45.5,0.0,2431700
2022-09-08,43.739166259765625,46.25,0.0,46.25,45.5,45.5,0.0,3419600
2022-09-09,44.68487548828125,47.25,0.0,47.5,46.25,46.75,0.0,5274000
2022-09-12,44.68487548828125,47.25,0.0,48.0,46.75,48.0,0.0,3537200
2022-09-13,44.448448181152344,47.0,0.0,48.0,46.75,47.75,0.0,1868000
2022-09-14,43.97559356689453,46.5,0.0,46.75,46.0,46.25,0.0,1871200
2022-09-15,45.3941650390625,48.0,0.0,48.0,46.5,46.5,0.0,6648700
2022-09-16,42.79345703125,45.25,0.0,47.75,45.25,47.5,0.0,8482900
2022-09-19,43.739166259765625,46.25,0.0,46.5,45.0,45.0,0.0,2911900
2022-09-20,45.15773391723633,47.75,0.0,47.75,46.5,46.75,0.0,5825700
2022-09-21,44.21202087402344,46.75,0.0,48.25,46.25,48.25,0.0,5247400
2022-09-22,44.21202087402344,46.75,0.0,47.75,46.25,46.75,0.0,4446700
2022-09-23,45.86701965332031,48.5,0.0,50.75,48.25,49.0,0.0,20194000
2022-09-26,45.15773391723633,47.75,0.0,49.0,47.5,48.25,0.0,4563300
2022-09-27,46.10344696044922,48.75,0.0,49.25,47.5,47.75,0.0,4595500
2022-09-28,45.86701965332031,48.5,0.0,49.25,48.25,48.75,0.0,4943900
2022-09-29,45.63058853149414,48.25,0.0,50.0,48.25,49.0,0.0,7835800
2022-09-30,46.339874267578125,49.0,0.0,49.25,47.75,48.5,0.0,4678900
2022-10-03,44.21202087402344,46.75,0.0,49.0,46.5,48.75,0.0,9155700
2022-10-04,46.57630157470703,49.25,0.0,49.5,47.5,47.5,0.0,5210100
2022-10-05,47.28558349609375,50.0,0.0,50.25,49.25,49.25,0.0,2927300
2022-10-06,46.81272506713867,49.5,0.0,50.0,49.0,49.75,0.0,1473900
2022-10-07,47.75844192504883,50.5,0.0,50.5,49.0,49.25,0.0,2228800
2022-10-10,46.57630157470703,49.25,0.0,50.0,49.0,49.75,0.0,1846600
2022-10-11,46.339874267578125,49.0,0.0,49.5,48.0,49.0,0.0,4003000
2022-10-12,46.57630157470703,49.25,0.0,49.5,48.25,49.25,0.0,2889800
2022-10-17,45.63058853149414,48.25,0.0,49.0,47.75,49.0,0.0,3374300
2022-10-18,46.81272506713867,49.5,0.0,49.75,48.5,48.5,0.0,4679900
2022-10-19,47.28558349609375,50.0,0.0,50.0,49.0,49.25,0.0,1670000
2022-10-20,46.81272506713867,49.5,0.0,50.25,49.5,49.5,0.0,2009800
2022-10-21,47.28558349609375,50.0,0.0,50.25,49.5,49.5,0.0,1485100
2022-10-25,46.57630157470703,49.25,0.0,50.0,49.0,50.0,0.0,2460700
2022-10-26,48.70415115356445,51.5,0.0,51.5,50.0,50.0,0.0,5798800
2022-10-27,48.70415115356445,51.5,0.0,52.0,50.75,52.0,0.0,2944600
2022-10-28,48.940582275390625,51.75,0.0,52.0,50.75,51.5,0.0,4723300
2022-10-31,47.994869232177734,50.75,0.0,51.75,50.75,51.75,0.0,2257500
2022-11-01,48.46772766113281,51.25,0.0,51.75,50.75,50.75,0.0,2312800
2022-11-02,47.049156188964844,49.75,0.0,51.5,49.75,51.5,0.0,6465700
2022-11-03,45.15773391723633,47.75,0.0,50.5,47.5,49.5,0.0,15611700
2022-11-04,45.15773391723633,47.75,0.0,48.25,46.75,47.5,0.0,10960200
2022-11-07,45.86701965332031,48.5,0.0,48.5,47.25,48.0,0.0,5206500
2022-11-08,46.339874267578125,49.0,0.0,49.25,48.25,49.0,0.0,3951400
2022-11-09,45.63058853149414,48.25,0.0,49.25,48.25,49.0,0.0,3858200
2022-11-10,47.28558349609375,50.0,0.0,50.25,47.5,47.75,0.0,5655800
2022-11-11,47.52201461791992,50.25,0.0,51.0,49.75,50.25,0.0,6319600
2022-11-14,44.68487548828125,47.25,0.0,48.75,46.5,48.75,0.0,13115900
2022-11-15,46.57630157470703,49.25,0.0,49.75,47.0,47.25,0.0,10135500
2022-11-16,44.92130661010742,47.5,0.0,49.5,47.5,48.75,0.0,7254400
2022-11-17,44.68487548828125,47.25,0.0,47.5,46.75,47.5,0.0,8446700
2022-11-18,43.26631164550781,45.75,0.0,47.0,45.25,47.0,0.0,10592900
2022-11-21,43.97559356689453,46.5,0.0,47.0,45.75,45.75,0.0,4709100
2022-11-22,44.448448181152344,47.0,0.0,47.5,45.75,46.5,0.0,8167500
2022-11-23,44.448448181152344,47.0,0.0,47.25,46.75,47.25,0.0,5504400
2022-11-24,45.63058853149414,48.25,0.0,48.75,47.0,47.25,0.0,6431100
2022-11-25,46.10344696044922,48.75,0.0,48.75,47.75,48.25,0.0,3969700
2022-11-28,45.86701965332031,48.5,0.0,48.75,48.25,48.5,0.0,790300
2022-11-29,45.63058853149414,48.25,0.0,48.5,47.75,48.25,0.0,4052100
2022-11-30,46.81272506713867,49.5,0.0,49.75,48.0,48.0,0.0,8699300
2022-12-01,45.63058853149414,48.25,0.0,49.5,48.0,49.25,0.0,6692400
2022-12-02,45.86701965332031,48.5,0.0,49.0,48.0,48.25,0.0,3150700
2022-12-06,45.86701965332031,48.5,0.0,49.5,48.5,48.5,0.0,2464600
2022-12-07,45.3941650390625,48.0,0.0,49.0,48.0,48.5,0.0,2257100
2022-12-08,45.3941650390625,48.0,0.0,48.5,47.75,48.5,0.0,2857800
2022-12-09,45.3941650390625,48.0,0.0,48.25,47.75,47.75,0.0,1218000
2022-12-13,45.3941650390625,48.0,0.0,48.5,47.5,48.5,0.0,1820700
