Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,22.441856384277344,26.0,0.0,26.25,26.0,26.0,0.0,3010200
2022-07-04,22.657644271850586,26.25,0.0,26.5,26.0,26.0,0.0,21999800
2022-07-05,22.657644271850586,26.25,0.0,26.5,26.0,26.25,0.0,25927900
2022-07-06,22.873430252075195,26.5,0.0,26.5,26.0,26.25,0.0,30667200
2022-07-07,23.30500602722168,27.0,0.0,27.0,26.25,26.5,0.0,39134100
2022-07-08,23.089216232299805,26.75,0.0,27.0,26.75,27.0,0.0,34896100
2022-07-11,22.873430252075195,26.5,0.0,27.0,26.25,26.75,0.0,18337700
2022-07-12,22.441856384277344,26.0,0.0,26.5,25.75,26.5,0.0,24616900
2022-07-14,22.441856384277344,26.0,0.0,26.0,25.5,25.75,0.0,39257300
2022-07-15,22.657644271850586,26.25,0.0,26.75,25.75,25.75,0.0,54145800
2022-07-18,22.441856384277344,26.0,0.0,26.5,26.0,26.0,0.0,24833100
2022-07-19,21.578706741333008,25.0,0.0,26.25,25.0,26.0,0.0,60213200
2022-07-20,21.794496536254883,25.25,0.0,25.25,25.0,25.25,0.0,20576800
2022-07-21,21.578706741333008,25.0,0.0,25.5,25.0,25.0,0.0,23871600
2022-07-22,21.794496536254883,25.25,0.0,25.5,25.0,25.5,0.0,12638500
2022-07-25,21.794496536254883,25.25,0.0,25.75,25.25,25.5,0.0,8018000
2022-07-26,21.578706741333008,25.0,0.0,25.5,25.0,25.5,0.0,14303700
2022-07-27,21.794496536254883,25.25,0.0,25.5,25.0,25.0,0.0,9798600
2022-08-01,21.794496536254883,25.25,0.0,25.5,25.0,25.25,0.0,9960600
2022-08-02,21.794496536254883,25.25,0.0,25.25,25.0,25.0,0.0,9420900
2022-08-03,21.578706741333008,25.0,0.0,25.25,25.0,25.25,0.0,7279500
2022-08-04,21.578706741333008,25.0,0.0,25.25,24.899999618530273,25.0,0.0,23108900
2022-08-05,21.406078338623047,24.799999237060547,0.0,25.25,24.799999237060547,25.0,0.0,19225300
2022-08-08,21.578706741333008,25.0,0.0,25.0,24.600000381469727,24.899999618530273,0.0,19936200
2022-08-09,22.010284423828125,25.5,0.0,25.5,25.0,25.25,0.0,13839200
2022-08-10,22.657644271850586,26.25,0.0,26.25,25.25,25.25,0.0,34201200
2022-08-11,22.873430252075195,26.5,0.0,26.5,26.0,26.25,0.0,28975500
2022-08-15,22.657644271850586,26.25,0.0,26.25,26.0,26.0,0.0,14337500
2022-08-16,22.657644271850586,26.25,0.0,26.25,25.75,26.0,0.0,46315900
2022-08-17,22.657644271850586,26.25,0.0,26.5,26.0,26.25,0.0,12551700
2022-08-18,22.441856384277344,26.0,0.0,26.25,26.0,26.25,0.0,7743400
2022-08-19,22.441856384277344,26.0,0.0,26.25,25.75,26.0,0.0,14958300
2022-08-22,22.441856384277344,26.0,0.0,26.25,25.75,26.0,0.0,15404400
2022-08-23,22.441856384277344,26.0,0.0,26.25,25.75,26.0,0.0,15060400
2022-08-24,22.441856384277344,26.0,0.0,26.25,25.75,26.0,0.0,22768400
2022-08-25,22.657644271850586,26.25,0.0,26.25,25.75,26.0,0.0,13079900
2022-08-26,22.441856384277344,26.0,0.0,26.25,25.75,26.25,0.0,12639100
2022-08-29,22.2260684967041,25.75,0.0,26.0,25.5,25.75,0.0,24361800
2022-08-30,22.79596710205078,26.0,0.4,26.0,25.5,25.75,0.0,18955900
2022-08-31,22.79596710205078,26.0,0.0,26.25,25.75,26.0,0.0,16181600
2022-09-01,22.57677459716797,25.75,0.0,26.0,25.5,25.75,0.0,14333600
2022-09-02,22.357585906982422,25.5,0.0,26.0,25.5,25.75,0.0,5229900
