Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,30.637720108032227,35.5,0.0,35.75,34.75,35.25,0.0,12818400
2022-07-04,30.20620346069336,35.0,0.0,35.5,34.75,35.5,0.0,13825700
2022-07-05,29.558931350708008,34.25,0.0,35.25,33.5,35.0,0.0,33137900
2022-07-06,29.558931350708008,34.25,0.0,34.75,33.75,34.25,0.0,17906700
2022-07-07,30.42196273803711,35.25,0.0,35.5,34.5,34.5,0.0,25726400
2022-07-08,30.42196273803711,35.25,0.0,36.0,35.0,36.0,0.0,10769900
2022-07-11,30.20620346069336,35.0,0.0,35.25,34.5,35.25,0.0,8800900
2022-07-12,30.20620346069336,35.0,0.0,35.25,34.25,34.75,0.0,7594400
2022-07-14,30.20620346069336,35.0,0.0,35.5,34.75,35.25,0.0,9424100
2022-07-15,30.20620346069336,35.0,0.0,35.25,34.25,35.25,0.0,8446500
2022-07-18,30.42196273803711,35.25,0.0,35.5,35.0,35.0,0.0,3853600
2022-07-19,30.20620346069336,35.0,0.0,35.25,34.5,35.0,0.0,10163900
2022-07-20,30.42196273803711,35.25,0.0,35.75,35.0,35.25,0.0,14932600
2022-07-21,30.637720108032227,35.5,0.0,35.75,35.0,35.25,0.0,14238500
2022-07-22,30.853479385375977,35.75,0.0,36.0,35.5,35.75,0.0,11206700
2022-07-25,31.500755310058594,36.5,0.0,36.75,35.5,35.75,0.0,18515300
2022-07-26,31.500755310058594,36.5,0.0,36.5,36.0,36.5,0.0,8287400
2022-07-27,31.500755310058594,36.5,0.0,36.75,36.5,36.75,0.0,7725200
2022-08-01,32.57954788208008,37.75,0.0,38.75,37.75,38.25,0.0,34884600
2022-08-02,32.363792419433594,37.5,0.0,37.75,37.0,37.0,0.0,12097900
2022-08-03,32.363792419433594,37.5,0.0,37.75,37.25,37.25,0.0,6567800
2022-08-04,32.363792419433594,37.5,0.0,38.25,37.5,38.0,0.0,11049600
2022-08-05,32.79530715942383,38.0,0.0,38.25,37.5,37.5,0.0,13405600
2022-08-08,33.22682189941406,38.5,0.0,38.5,37.5,38.0,0.0,7089300
2022-08-09,33.22682189941406,38.5,0.0,38.5,38.0,38.5,0.0,6875700
2022-08-10,33.44258117675781,38.75,0.0,38.75,38.0,38.5,0.0,10250300
2022-08-11,33.22682189941406,38.5,0.0,39.25,38.5,38.75,0.0,13666200
2022-08-15,33.65834045410156,39.0,0.0,39.0,38.25,38.5,0.0,9201800
2022-08-16,33.87409973144531,39.25,0.0,40.25,39.25,39.25,0.0,20720800
2022-08-17,34.08985900878906,39.5,0.0,39.75,39.25,39.5,0.0,11679200
2022-08-18,34.30561828613281,39.75,0.0,39.75,39.0,39.25,0.0,5602000
2022-08-19,34.30561828613281,39.75,0.0,39.75,39.25,39.75,0.0,7199700
2022-08-22,33.87409973144531,39.25,0.0,39.75,38.75,39.5,0.0,10741000
2022-08-23,34.30561828613281,39.75,0.0,40.0,38.75,39.25,0.0,13266100
2022-08-24,34.73713302612305,40.25,0.0,40.5,39.5,39.5,0.0,12089400
2022-08-25,34.95289611816406,40.5,0.0,40.75,40.5,40.75,0.0,4006900
2022-08-26,34.52137756347656,40.0,0.0,40.75,39.75,40.75,0.0,11612900
2022-08-29,34.08985900878906,39.5,0.0,40.0,39.0,39.25,0.0,11790900
2022-08-30,35.16865539550781,40.75,0.0,41.0,39.5,39.5,0.0,15793000
2022-08-31,34.95289611816406,40.5,0.0,40.75,39.75,40.5,0.0,12854300
2022-09-01,34.73713302612305,40.25,0.0,40.5,39.75,40.0,0.0,12101000
2022-09-02,35.16865539550781,40.75,0.0,41.25,40.25,40.25,0.0,13712700
2022-09-05,34.30561828613281,39.75,0.0,41.0,39.5,40.75,0.0,10606000
