Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,139.88949584960938,176.5,0.0,177.0,175.5,176.0,0.0,437300
2022-07-04,139.4932098388672,176.0,0.0,177.5,175.5,176.5,0.0,502800
2022-07-05,137.9080810546875,174.0,0.0,176.5,173.0,176.0,0.0,1060200
2022-07-06,139.88949584960938,176.5,0.0,177.0,174.5,174.5,0.0,1737500
2022-07-07,139.88949584960938,176.5,0.0,177.5,175.0,177.5,0.0,1021500
2022-07-08,141.47462463378906,178.5,0.0,179.5,175.5,177.0,0.0,1625300
2022-07-11,142.2672119140625,179.5,0.0,179.5,177.5,178.5,0.0,796600
2022-07-12,145.43751525878906,183.5,0.0,183.5,178.0,179.0,0.0,4608300
2022-07-14,145.04124450683594,183.0,0.0,184.0,182.0,183.0,0.0,2389200
2022-07-15,147.4189910888672,186.0,0.0,186.0,182.0,183.0,0.0,3625100
2022-07-18,147.81527709960938,186.5,0.0,187.0,185.0,186.0,0.0,2228800
2022-07-19,147.02268981933594,185.5,0.0,187.0,184.0,186.5,0.0,1755300
2022-07-20,149.00411987304688,188.0,0.0,188.0,185.5,186.0,0.0,2204900
2022-07-21,146.6263885498047,185.0,0.0,187.5,184.5,187.5,0.0,1609800
2022-07-22,146.6263885498047,185.0,0.0,186.5,184.5,185.5,0.0,688200
2022-07-25,147.02268981933594,185.5,0.0,186.5,185.0,185.0,0.0,720400
2022-07-26,145.8338165283203,184.0,0.0,185.5,183.0,185.0,0.0,1141000
2022-07-27,146.6263885498047,185.0,0.0,185.5,183.0,183.5,0.0,1110600
2022-08-01,147.81527709960938,186.5,0.0,188.0,185.5,188.0,0.0,1523700
2022-08-02,148.21153259277344,187.0,0.0,187.0,184.0,185.5,0.0,1438300
2022-08-03,147.81527709960938,186.5,0.0,187.0,185.0,186.5,0.0,667600
2022-08-04,147.4189910888672,186.0,0.0,187.0,184.5,187.0,0.0,1101600
2022-08-05,146.23011779785156,184.5,0.0,186.5,183.0,186.5,0.0,1333400
2022-08-08,147.81527709960938,186.5,0.0,186.5,184.0,185.0,0.0,1291800
2022-08-09,149.00411987304688,188.0,0.0,188.0,186.0,186.0,0.0,1137100
2022-08-10,149.79669189453125,189.0,0.0,189.0,186.5,187.5,0.0,1530100
2022-08-11,149.79669189453125,189.0,0.0,190.0,187.5,189.5,0.0,979400
2022-08-15,146.23011779785156,184.5,0.0,185.0,181.0,183.0,0.0,4120100
2022-08-16,145.43751525878906,183.5,0.0,184.5,182.0,184.0,0.0,1850600
2022-08-17,145.43751525878906,183.5,0.0,184.5,182.5,183.5,0.0,1574000
2022-08-18,145.8338165283203,184.0,0.0,185.0,183.0,183.0,0.0,917400
2022-08-19,146.23011779785156,184.5,0.0,184.5,182.5,184.5,0.0,1333400
2022-08-22,144.2486572265625,182.0,0.0,183.5,182.0,183.5,0.0,948800
2022-08-23,144.6449737548828,182.5,0.0,183.0,181.0,182.0,0.0,1842600
2022-08-24,143.059814453125,180.5,0.0,183.0,180.0,183.0,0.0,1900100
2022-08-25,143.059814453125,180.5,0.0,181.5,180.5,181.5,0.0,1001700
2022-08-26,143.4561004638672,181.0,0.0,181.5,180.0,180.5,0.0,1362400
2022-08-29,143.4561004638672,181.0,0.0,181.5,179.5,180.0,0.0,1205800
2022-08-30,145.43751525878906,183.5,0.0,183.5,180.5,181.0,0.0,1849900
2022-08-31,145.04124450683594,183.0,0.0,183.5,181.5,183.0,0.0,1416500
2022-09-01,143.4561004638672,181.0,0.0,183.0,181.0,182.5,0.0,1555000
2022-09-02,144.6449737548828,182.5,0.0,183.0,181.5,181.5,0.0,956700
2022-09-05,143.85238647460938,181.5,0.0,183.0,181.5,183.0,0.0,811100
2022-09-06,145.04124450683594,183.0,0.0,183.0,181.5,182.0,0.0,1113000
2022-09-07,143.4561004638672,181.0,0.0,183.0,180.5,183.0,0.0,1666000
2022-09-08,144.2486572265625,182.0,0.0,183.0,181.0,181.5,0.0,1542400
2022-09-09,144.45042419433594,179.0,3.25,179.5,178.5,179.0,0.0,1068500
2022-09-12,144.45042419433594,179.0,0.0,179.5,177.5,178.5,0.0,1168700
2022-09-13,145.25738525390625,180.0,0.0,181.0,179.5,179.5,0.0,1142700
2022-09-14,142.83644104003906,177.0,0.0,179.5,177.0,179.0,0.0,1769900
2022-09-15,141.22247314453125,175.0,0.0,178.0,175.0,177.0,0.0,1543600
2022-09-16,138.801513671875,172.0,0.0,175.5,172.0,175.0,0.0,2416000
2022-09-19,139.60848999023438,173.0,0.0,173.5,172.0,172.0,0.0,997500
2022-09-20,139.20501708984375,172.5,0.0,174.5,172.5,173.5,0.0,1152600
2022-09-21,137.59104919433594,170.5,0.0,172.5,170.5,172.5,0.0,899300
2022-09-22,139.60848999023438,173.0,0.0,174.0,170.0,170.0,0.0,1594100
2022-09-23,139.20501708984375,172.5,0.0,173.5,172.0,172.5,0.0,555400
2022-09-26,137.18756103515625,170.0,0.0,173.0,170.0,173.0,0.0,1237900
2022-09-27,136.7840576171875,169.5,0.0,171.0,169.0,171.0,0.0,1289000
2022-09-28,135.97706604003906,168.5,0.0,169.5,168.0,169.0,0.0,1374000
2022-09-29,132.74913024902344,164.5,0.0,169.0,164.5,168.5,0.0,2171400
2022-09-30,133.15261840820312,165.0,0.0,166.0,164.0,164.5,0.0,1128300
2022-10-03,131.5386505126953,163.0,0.0,165.5,162.0,164.5,0.0,1551000
2022-10-04,129.92465209960938,161.0,0.0,165.0,161.0,163.0,0.0,2101500
2022-10-05,133.15261840820312,165.0,0.0,165.5,161.5,162.0,0.0,2133300
2022-10-06,131.5386505126953,163.0,0.0,164.5,163.0,164.5,0.0,2218800
2022-10-07,130.7316436767578,162.0,0.0,163.5,162.0,163.0,0.0,1688300
2022-10-10,131.13516235351562,162.5,0.0,163.5,161.5,162.0,0.0,1163600
2022-10-11,130.7316436767578,162.0,0.0,163.5,160.5,162.0,0.0,1981700
2022-10-12,131.13516235351562,162.5,0.0,164.0,162.0,163.0,0.0,917100
2022-10-17,130.32815551757812,161.5,0.0,163.0,159.5,162.5,0.0,1778600
2022-10-18,131.942138671875,163.5,0.0,164.0,161.5,161.5,0.0,1119300
2022-10-19,131.942138671875,163.5,0.0,165.5,163.0,163.5,0.0,1052000
2022-10-20,131.5386505126953,163.0,0.0,164.0,162.5,162.5,0.0,1262600
2022-10-21,131.5386505126953,163.0,0.0,164.0,162.5,163.0,0.0,1101700
2022-10-25,133.15261840820312,165.0,0.0,165.5,163.5,163.5,0.0,1023400
2022-10-26,136.7840576171875,169.5,0.0,170.0,166.0,166.0,0.0,1712500
2022-10-27,138.3980255126953,171.5,0.0,172.0,170.0,170.0,0.0,1228600
2022-10-28,136.3805694580078,169.0,0.0,171.0,168.5,171.0,0.0,1025100
2022-10-31,137.59104919433594,170.5,0.0,171.5,169.5,170.5,0.0,1202900
