Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,60.413978576660156,66.25,0.0,66.5,65.0,65.0,0.0,7821500
2022-07-04,59.95802688598633,65.75,0.0,67.0,65.5,66.75,0.0,2980700
2022-07-05,58.818138122558594,64.5,0.0,66.25,64.0,66.0,0.0,4241100
2022-07-06,59.95802688598633,65.75,0.0,67.0,65.25,65.5,0.0,12101200
2022-07-07,59.73004150390625,65.5,0.0,66.25,65.0,66.25,0.0,7754500
2022-07-08,59.95802688598633,65.75,0.0,66.0,65.0,65.5,0.0,3393100
2022-07-11,61.781837463378906,67.75,0.0,67.75,65.25,65.5,0.0,14627200
2022-07-12,61.09790802001953,67.0,0.0,68.25,67.0,67.5,0.0,9728900
2022-07-14,61.09790802001953,67.0,0.0,68.25,66.5,67.5,0.0,11513700
2022-07-15,60.86992263793945,66.75,0.0,67.25,66.0,67.0,0.0,6749200
2022-07-18,61.553863525390625,67.5,0.0,67.75,66.75,67.25,0.0,4288200
2022-07-19,59.73004150390625,65.5,0.0,67.0,64.75,67.0,0.0,9446000
2022-07-20,59.95802688598633,65.75,0.0,66.0,65.0,66.0,0.0,6921700
2022-07-21,59.95802688598633,65.75,0.0,66.0,64.75,65.25,0.0,5916400
2022-07-22,60.185997009277344,66.0,0.0,66.5,65.5,66.25,0.0,4958300
2022-07-25,61.09790802001953,67.0,0.0,67.25,65.5,66.0,0.0,5616700
2022-07-26,62.00981521606445,68.0,0.0,68.0,66.75,67.25,0.0,11538200
2022-07-27,61.781837463378906,67.75,0.0,68.25,67.0,67.75,0.0,8153000
2022-08-01,63.14970397949219,69.25,0.0,70.25,69.0,69.0,0.0,19676100
2022-08-02,62.92173767089844,69.0,0.0,69.0,68.5,68.75,0.0,6540900
2022-08-03,63.14970397949219,69.25,0.0,69.25,68.25,68.75,0.0,4471100
2022-08-04,64.28958892822266,70.5,0.0,70.75,69.5,69.75,0.0,14368900
2022-08-05,64.28958892822266,70.5,0.0,71.0,69.5,71.0,0.0,10314500
2022-08-08,64.97352600097656,71.25,0.0,71.25,69.75,70.75,0.0,7587200
2022-08-09,64.74554443359375,71.0,0.0,71.5,70.25,70.5,0.0,7068400
2022-08-10,64.97352600097656,71.25,0.0,71.25,70.5,71.25,0.0,5880100
2022-08-11,64.97352600097656,71.25,0.0,71.25,70.5,71.25,0.0,4186700
2022-08-15,65.20149230957031,71.5,0.0,71.5,70.75,71.0,0.0,6420200
2022-08-16,64.97352600097656,71.25,0.0,71.75,71.0,71.75,0.0,4437100
2022-08-17,65.42947387695312,71.75,0.0,71.75,71.0,71.0,0.0,5621700
2022-08-18,65.42947387695312,71.75,0.0,71.75,71.0,71.25,0.0,3099300
2022-08-19,62.69375991821289,68.75,0.0,71.5,68.5,71.5,0.0,13827900
2022-08-22,61.553863525390625,67.5,0.0,69.25,67.25,68.25,0.0,11430000
2022-08-23,61.781837463378906,67.75,0.0,68.25,66.75,66.75,0.0,6638200
2022-08-24,61.09790802001953,67.0,0.0,67.75,66.75,67.5,0.0,7032800
2022-08-25,61.09790802001953,67.0,0.0,67.5,66.75,67.0,0.0,4090700
