Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,39.7445068359375,46.0,0.0,47.0,45.75,47.0,0.0,15707400
2022-07-04,39.3125,45.5,0.0,46.0,44.5,45.75,0.0,20992700
2022-07-05,38.8804931640625,45.0,0.0,46.0,44.75,46.0,0.0,17361200
2022-07-06,38.66448974609375,44.75,0.0,45.25,44.0,44.5,0.0,14461500
2022-07-07,38.8804931640625,45.0,0.0,45.25,44.0,44.75,0.0,15374000
2022-07-08,39.960514068603516,46.25,0.0,46.75,45.75,46.25,0.0,21618100
2022-07-11,39.7445068359375,46.0,0.0,46.5,45.75,46.5,0.0,8679000
2022-07-12,39.096500396728516,45.25,0.0,46.0,44.75,45.75,0.0,16306700
2022-07-14,37.800479888916016,43.75,0.0,44.75,43.25,44.25,0.0,32049600
2022-07-15,37.800479888916016,43.75,0.0,44.25,42.75,43.5,0.0,26103300
2022-07-18,38.448490142822266,44.5,0.0,45.0,44.0,44.25,0.0,11157100
2022-07-19,38.448490142822266,44.5,0.0,45.0,44.0,45.0,0.0,14509500
2022-07-20,38.8804931640625,45.0,0.0,45.75,44.25,45.5,0.0,17202700
2022-07-21,38.66448974609375,44.75,0.0,45.25,44.5,45.0,0.0,14441500
2022-07-22,39.52851104736328,45.75,0.0,46.25,44.75,45.0,0.0,19953800
2022-07-25,39.7445068359375,46.0,0.0,46.25,45.75,46.0,0.0,9937800
2022-07-26,38.0164794921875,44.0,0.0,45.75,43.5,45.75,0.0,43832100
2022-07-27,37.800479888916016,43.75,0.0,44.0,43.0,43.5,0.0,26397500
2022-08-01,38.448490142822266,44.5,0.0,44.75,44.0,44.25,0.0,27165800
2022-08-02,38.448490142822266,44.5,0.0,45.0,44.25,44.5,0.0,12544100
2022-08-03,38.448490142822266,44.5,0.0,45.5,44.25,44.75,0.0,19792900
2022-08-04,38.0164794921875,44.0,0.0,45.0,43.5,44.75,0.0,35329100
2022-08-05,37.1524772644043,43.0,0.0,44.0,42.75,44.0,0.0,27382300
2022-08-08,36.93647003173828,42.75,0.0,43.0,41.75,43.0,0.0,37033600
2022-08-09,37.1524772644043,43.0,0.0,43.25,42.25,42.75,0.0,25011700
2022-08-10,38.0164794921875,44.0,0.0,44.5,43.0,43.0,0.0,55158100
2022-08-11,36.93647003173828,42.75,0.0,44.75,42.25,44.75,0.0,76568500
2022-08-15,37.36848449707031,43.25,0.0,43.75,42.75,42.75,0.0,27265800
2022-08-16,38.0164794921875,44.0,0.0,44.5,43.5,43.5,0.0,29045600
2022-08-17,38.0164794921875,44.0,0.0,44.5,43.75,44.0,0.0,22637100
2022-08-18,38.448490142822266,44.5,0.0,44.75,43.75,44.0,0.0,21039000
2022-08-19,37.800479888916016,43.75,0.0,44.5,43.5,44.5,0.0,20822600
2022-08-22,37.800479888916016,43.75,0.0,44.0,43.25,43.5,0.0,15308900
2022-08-23,38.0164794921875,44.0,0.0,44.5,43.25,43.25,0.0,17422300
2022-08-24,39.52851104736328,45.75,0.0,46.0,44.25,44.25,0.0,44581900
2022-08-25,39.7445068359375,46.0,0.0,46.25,45.5,46.25,0.0,26931900
2022-08-26,39.3125,45.5,0.0,46.25,45.0,46.0,0.0,14465300
2022-08-29,38.448490142822266,44.5,0.0,44.75,44.0,44.5,0.0,27639200
2022-08-30,38.14334487915039,43.75,0.4,44.25,43.25,44.0,0.0,24740900
2022-08-31,37.707420349121094,43.25,0.0,43.5,42.5,43.5,0.0,44607100
2022-09-01,36.3996467590332,41.75,0.0,43.0,41.75,43.0,0.0,37558900
2022-09-02,35.52779769897461,40.75,0.0,42.25,40.5,42.0,0.0,55497500
2022-09-05,35.745765686035156,41.0,0.0,41.25,40.75,41.0,0.0,14644800
2022-09-06,35.96372985839844,41.25,0.0,41.75,41.0,41.0,0.0,23654200
2022-09-07,36.18168258666992,41.5,0.0,41.75,40.5,41.0,0.0,19998100
2022-09-08,36.3996467590332,41.75,0.0,42.0,41.25,41.75,0.0,18051800
2022-09-09,36.3996467590332,41.75,0.0,42.0,41.25,41.75,0.0,19063300
2022-09-12,36.835575103759766,42.25,0.0,42.5,42.0,42.25,0.0,10881500
2022-09-13,36.61761474609375,42.0,0.0,42.5,41.75,42.5,0.0,11921000
2022-09-14,36.61761474609375,42.0,0.0,42.0,41.0,41.25,0.0,12421300
2022-09-15,36.18168258666992,41.5,0.0,42.0,41.0,42.0,0.0,21240300
2022-09-16,35.30983352661133,40.5,0.0,41.5,40.5,41.25,0.0,25005700
2022-09-19,35.09187316894531,40.25,0.0,40.75,40.0,40.5,0.0,12299100
2022-09-20,35.52779769897461,40.75,0.0,41.25,40.5,40.5,0.0,10746100
2022-09-21,35.30983352661133,40.5,0.0,41.0,40.25,40.75,0.0,11244600
2022-09-22,35.52779769897461,40.75,0.0,41.25,40.0,40.25,0.0,31513200
2022-09-23,35.52779769897461,40.75,0.0,41.0,40.5,40.75,0.0,12084100
