Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,46.195579528808594,51.75,0.0,52.25,49.25,51.0,0.0,18257500
2022-07-04,45.52607345581055,51.0,0.0,51.75,50.0,51.75,0.0,17223500
2022-07-05,41.732234954833984,46.75,0.0,51.25,46.75,51.0,0.0,24123500
2022-07-06,40.170066833496094,45.0,0.0,46.75,44.5,46.25,0.0,21091800
2022-07-07,41.732234954833984,46.75,0.0,46.75,45.0,45.25,0.0,10820600
2022-07-08,40.83956527709961,45.75,0.0,47.5,45.75,47.25,0.0,6112500
2022-07-11,40.616397857666016,45.5,0.0,45.75,44.75,45.75,0.0,6838500
2022-07-12,39.27739715576172,44.0,0.0,45.5,43.5,45.0,0.0,9838300
2022-07-14,39.27739715576172,44.0,0.0,45.25,43.75,44.0,0.0,9369700
2022-07-15,39.946895599365234,44.75,0.0,45.25,43.75,44.5,0.0,8847300
2022-07-18,39.72372817993164,44.5,0.0,45.25,44.25,45.0,0.0,6296800
2022-07-19,39.05423355102539,43.75,0.0,44.75,42.75,44.5,0.0,12712500
2022-07-20,40.39323043823242,45.25,0.0,45.75,44.25,44.25,0.0,11136600
2022-07-21,41.95539855957031,47.0,0.0,47.25,45.25,45.5,0.0,12245200
2022-07-22,42.62489700317383,47.75,0.0,48.0,46.75,47.25,0.0,10366200
2022-07-25,42.84807205200195,48.0,0.0,48.25,47.0,47.5,0.0,4060700
2022-07-26,42.4017333984375,47.5,0.0,48.25,47.25,47.75,0.0,3610200
2022-07-27,42.62489700317383,47.75,0.0,48.0,46.75,47.5,0.0,4660000
2022-08-01,44.187076568603516,49.5,0.0,49.75,48.0,48.0,0.0,10095800
2022-08-02,44.41024398803711,49.75,0.0,50.25,48.75,48.75,0.0,9991100
2022-08-03,43.963905334472656,49.25,0.0,49.75,48.5,49.5,0.0,8539300
2022-08-04,43.963905334472656,49.25,0.0,50.0,49.0,49.5,0.0,8410500
2022-08-05,44.187076568603516,49.5,0.0,50.25,49.25,49.5,0.0,5709700
2022-08-08,44.41024398803711,49.75,0.0,50.25,49.0,49.5,0.0,5660600
2022-08-09,44.85657501220703,50.25,0.0,50.75,49.25,49.5,0.0,5835800
2022-08-10,45.52607345581055,51.0,0.0,51.25,50.0,50.25,0.0,6074000
2022-08-11,45.079742431640625,50.5,0.0,53.25,50.0,51.5,0.0,20171800
2022-08-15,45.30290603637695,50.75,0.0,51.25,50.25,50.75,0.0,5636500
2022-08-16,44.187076568603516,49.5,0.0,51.25,49.25,51.0,0.0,6598700
2022-08-17,44.41024398803711,49.75,0.0,50.25,48.75,49.75,0.0,5457900
2022-08-18,45.079742431640625,50.5,0.0,51.0,49.5,49.5,0.0,3925400
2022-08-19,43.963905334472656,49.25,0.0,50.75,49.0,50.75,0.0,5528700
2022-08-22,43.74073791503906,49.0,0.0,49.5,48.75,49.0,0.0,4123400
2022-08-23,44.85657501220703,50.25,0.0,50.25,49.0,49.0,0.0,6231100
2022-08-24,45.036720275878906,50.0,0.45,50.25,49.25,49.75,0.0,3375400
2022-08-25,46.61301040649414,51.75,0.0,51.75,50.25,50.5,0.0,10853500
2022-08-26,47.06337356567383,52.25,0.0,52.25,51.25,51.75,0.0,8682100
2022-08-29,45.93745422363281,51.0,0.0,51.5,50.5,51.0,0.0,10012600
2022-08-30,46.38782501220703,51.5,0.0,52.0,51.25,51.25,0.0,6984500
2022-08-31,46.83818817138672,52.0,0.0,52.5,50.75,51.5,0.0,7702000
2022-09-01,47.51374053955078,52.75,0.0,53.25,52.25,52.5,0.0,11104700
2022-09-02,47.06337356567383,52.25,0.0,53.0,52.0,53.0,0.0,5975300
2022-09-05,46.38782501220703,51.5,0.0,52.5,50.75,52.0,0.0,5386700
2022-09-06,47.28855514526367,52.5,0.0,53.0,51.0,51.75,0.0,6790000
2022-09-07,47.06337356567383,52.25,0.0,52.75,51.75,52.5,0.0,4700500
2022-09-08,47.51374053955078,52.75,0.0,53.5,52.5,52.75,0.0,7435600
2022-09-09,48.18929672241211,53.5,0.0,53.5,52.75,53.25,0.0,5498300
2022-09-12,48.6396598815918,54.0,0.0,54.75,54.0,54.25,0.0,7272400
2022-09-13,48.6396598815918,54.0,0.0,54.5,53.75,54.25,0.0,4135800
2022-09-14,48.41447448730469,53.75,0.0,53.75,53.0,53.0,0.0,4810300
2022-09-15,48.6396598815918,54.0,0.0,54.5,53.5,54.25,0.0,6232400
2022-09-16,47.51374053955078,52.75,0.0,53.75,52.5,53.5,0.0,5693700
2022-09-19,46.162635803222656,51.25,0.0,52.5,51.25,52.5,0.0,8945900
2022-09-20,46.38782501220703,51.5,0.0,52.0,51.5,51.5,0.0,3630600
2022-09-21,45.261905670166016,50.25,0.0,51.75,50.0,51.5,0.0,5555900
2022-09-22,46.38782501220703,51.5,0.0,51.75,50.0,50.25,0.0,7044200
2022-09-23,45.261905670166016,50.25,0.0,51.5,50.25,51.5,0.0,5041100
2022-09-26,44.36117172241211,49.25,0.0,50.0,49.0,49.75,0.0,5953800
2022-09-27,43.46043395996094,48.25,0.0,49.75,48.0,49.5,0.0,8352900
2022-09-28,42.784881591796875,47.5,0.0,48.25,46.5,47.5,0.0,9748100
2022-09-29,41.658966064453125,46.25,0.0,48.25,46.25,48.0,0.0,8844800
2022-09-30,41.88414764404297,46.5,0.0,47.25,45.75,45.75,0.0,6640300
2022-10-03,39.63231658935547,44.0,0.0,46.75,43.75,46.5,0.0,10619100
2022-10-04,41.88414764404297,46.5,0.0,47.0,45.25,46.25,0.0,9124100
2022-10-05,42.559696197509766,47.25,0.0,48.25,46.75,47.25,0.0,6627900
2022-10-06,42.10933303833008,46.75,0.0,47.75,46.25,47.25,0.0,4073400
2022-10-07,40.98341369628906,45.5,0.0,47.25,45.0,47.0,0.0,4780400
2022-10-10,39.40713119506836,43.75,0.0,45.0,43.75,44.75,0.0,7733900
2022-10-11,40.082679748535156,44.5,0.0,45.0,42.75,43.75,0.0,7054600
2022-10-12,41.43378448486328,46.0,0.0,46.5,44.5,44.75,0.0,4519300
2022-10-17,41.43378448486328,46.0,0.0,46.5,45.5,46.25,0.0,3793000
2022-10-18,42.559696197509766,47.25,0.0,47.5,46.25,46.25,0.0,5328300
2022-10-19,41.88414764404297,46.5,0.0,47.5,46.25,47.5,0.0,3910600
2022-10-20,42.559696197509766,47.25,0.0,47.25,46.0,46.0,0.0,3524000
2022-10-21,41.88414764404297,46.5,0.0,47.5,46.5,47.25,0.0,2115900
2022-10-25,42.33451461791992,47.0,0.0,47.5,46.75,47.25,0.0,2489300
2022-10-26,42.10933303833008,46.75,0.0,48.0,46.75,47.25,0.0,3175800
2022-10-27,42.33451461791992,47.0,0.0,47.5,46.75,47.0,0.0,1599400
2022-10-28,41.658966064453125,46.25,0.0,47.25,46.25,47.0,0.0,2570600
