Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,51.224708557128906,60.75,0.0,61.25,59.75,61.0,0.0,4969500
2022-07-04,47.641090393066406,56.5,0.0,60.75,56.25,60.75,0.0,24139200
2022-07-05,47.43029022216797,56.25,0.0,57.5,55.75,57.0,0.0,12385600
2022-07-06,46.16548538208008,54.75,0.0,56.5,54.0,56.25,0.0,17667100
2022-07-07,46.58708572387695,55.25,0.0,55.5,54.0,55.25,0.0,10654400
2022-07-08,46.37628173828125,55.0,0.0,56.5,54.75,55.75,0.0,7910200
2022-07-11,46.37628173828125,55.0,0.0,55.25,54.25,55.0,0.0,3873700
2022-07-12,46.16548538208008,54.75,0.0,56.25,54.5,54.75,0.0,9540200
2022-07-14,46.37628173828125,55.0,0.0,55.75,54.75,54.75,0.0,4603700
2022-07-15,45.533077239990234,54.0,0.0,55.25,52.25,55.25,0.0,16358500
2022-07-18,45.74388122558594,54.25,0.0,54.75,53.75,54.25,0.0,4343700
2022-07-19,45.95468521118164,54.5,0.0,55.0,53.5,53.75,0.0,5592100
2022-07-20,47.43029022216797,56.25,0.0,57.5,55.5,55.5,0.0,17475500
2022-07-21,48.273494720458984,57.25,0.0,57.75,56.25,56.5,0.0,8155800
2022-07-22,48.695098876953125,57.75,0.0,58.25,57.25,57.75,0.0,6330500
2022-07-25,49.538307189941406,58.75,0.0,59.0,57.5,57.5,0.0,7946800
2022-07-26,49.3275032043457,58.5,0.0,59.0,58.25,58.75,0.0,3747600
2022-07-27,52.9111213684082,62.75,0.0,63.25,59.5,59.5,0.0,31322000
2022-08-01,55.22993850708008,65.5,0.0,65.5,63.0,64.0,0.0,26524600
2022-08-02,54.38673782348633,64.5,0.0,65.5,64.0,64.5,0.0,10258300
2022-08-03,54.5975341796875,64.75,0.0,65.25,64.25,65.0,0.0,6489600
2022-08-04,55.22993850708008,65.5,0.0,66.75,65.25,65.25,0.0,16427800
2022-08-05,55.019142150878906,65.25,0.0,65.75,65.0,65.75,0.0,6052000
2022-08-08,53.96512985229492,64.0,0.0,65.5,63.5,65.25,0.0,13492300
2022-08-09,52.70032501220703,62.5,0.0,64.0,61.5,63.75,0.0,20044800
2022-08-10,48.48429489135742,57.5,0.0,58.5,57.0,58.25,0.0,47214400
2022-08-11,48.06269454956055,57.0,0.0,58.25,56.25,58.0,0.0,24297200
2022-08-15,48.48429489135742,57.5,0.0,58.25,56.5,56.75,0.0,10054300
2022-08-16,48.90590286254883,58.0,0.0,58.5,57.75,58.0,0.0,10806600
2022-08-17,49.11669921875,58.25,0.0,59.5,57.75,58.25,0.0,11447700
2022-08-18,48.90590286254883,58.0,0.0,58.25,57.25,58.0,0.0,6469900
