Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,47.166587829589844,63.25,0.0,63.5,62.25,62.75,0.0,5672000
2022-07-04,46.79372787475586,62.75,0.0,63.5,62.75,63.25,0.0,4239300
2022-07-05,46.420867919921875,62.25,0.0,63.0,62.0,63.0,0.0,3210400
2022-07-06,46.23443603515625,62.0,0.0,62.5,61.25,62.0,0.0,4892800
2022-07-07,46.048011779785156,61.75,0.0,62.5,61.25,62.5,0.0,4423300
2022-07-08,46.23443603515625,62.0,0.0,62.5,61.5,62.25,0.0,3424000
2022-07-11,46.23443603515625,62.0,0.0,63.5,61.75,62.0,0.0,5336900
2022-07-12,46.048011779785156,61.75,0.0,62.5,61.5,61.75,0.0,3402800
2022-07-14,45.67515182495117,61.25,0.0,62.25,61.0,61.75,0.0,3719200
2022-07-15,45.30229568481445,60.75,0.0,61.5,59.5,61.25,0.0,8066500
2022-07-18,46.048011779785156,61.75,0.0,61.75,60.5,60.75,0.0,3686500
2022-07-19,45.48872756958008,61.0,0.0,61.75,60.5,61.75,0.0,3915800
2022-07-20,45.11586380004883,60.5,0.0,61.75,60.5,61.5,0.0,5032700
2022-07-21,46.98015594482422,63.0,0.0,63.75,62.0,62.0,0.0,16712600
2022-07-22,46.98015594482422,63.0,0.0,63.75,62.75,63.5,0.0,5257000
2022-07-25,48.28516387939453,64.75,0.0,65.25,63.25,63.5,0.0,9075700
2022-07-26,49.030887603759766,65.75,0.0,66.0,64.5,64.75,0.0,7257800
2022-07-27,49.030887603759766,65.75,0.0,66.0,64.75,66.0,0.0,7698900
2022-08-01,48.65802764892578,65.25,0.0,66.25,64.75,66.0,0.0,6128600
2022-08-02,48.471595764160156,65.0,0.0,65.75,64.75,64.75,0.0,5721200
2022-08-03,48.471595764160156,65.0,0.0,65.5,65.0,65.0,0.0,2871000
2022-08-04,47.91231155395508,64.25,0.0,65.25,64.25,65.25,0.0,5722600
2022-08-05,49.9630241394043,67.0,0.0,67.25,64.75,65.0,0.0,10524100
2022-08-08,50.522315979003906,67.75,0.0,68.0,66.0,66.75,0.0,8006000
2022-08-09,50.522315979003906,67.75,0.0,68.5,67.5,68.0,0.0,4148900
2022-08-10,50.522315979003906,67.75,0.0,68.0,67.0,67.5,0.0,3743200
2022-08-11,50.14945602416992,67.25,0.0,68.0,66.75,68.0,0.0,6402800
2022-08-15,50.708744049072266,68.0,0.0,68.25,66.75,67.5,0.0,5184700
2022-08-16,50.895172119140625,68.25,0.0,68.5,67.5,68.0,0.0,4431100
2022-08-17,51.268028259277344,68.75,0.0,69.25,68.25,68.75,0.0,6560800
2022-08-18,51.08160400390625,68.5,0.0,69.0,68.25,68.75,0.0,3036600
2022-08-19,51.08160400390625,68.5,0.0,69.0,68.25,68.75,0.0,2773900
2022-08-22,51.08160400390625,68.5,0.0,69.0,68.0,68.5,0.0,2927800
2022-08-23,51.640892028808594,69.25,0.0,69.75,68.0,68.25,0.0,5475700
2022-08-24,52.573036193847656,70.5,0.0,71.0,69.0,69.5,0.0,10332100
2022-08-25,52.945892333984375,71.0,0.0,71.5,70.75,71.0,0.0,5769600
2022-08-26,52.945892333984375,71.0,0.0,72.25,71.0,71.25,0.0,5989500
2022-08-29,53.31875228881836,71.5,0.0,71.5,69.75,70.0,0.0,4342100
2022-08-30,53.69160842895508,72.0,0.0,72.25,71.25,71.25,0.0,6850800
2022-08-31,54.0644645690918,72.5,0.0,72.5,71.5,72.0,0.0,4354200
2022-09-01,53.13232421875,71.25,0.0,72.5,71.0,72.25,0.0,4859000
2022-09-02,52.75947189331055,70.75,0.0,71.5,70.5,71.5,0.0,4587400
2022-09-05,53.31875228881836,71.5,0.0,71.5,70.5,71.0,0.0,3356300
2022-09-06,53.13232421875,71.25,0.0,71.75,71.25,71.5,0.0,3717000
2022-09-07,52.941200256347656,69.25,1.75,69.75,68.75,69.25,0.0,4673700
2022-09-08,53.32344436645508,69.75,0.0,70.0,69.0,69.5,0.0,3951500
2022-09-09,53.51457595825195,70.0,0.0,70.5,69.75,69.75,0.0,1643600
2022-09-12,54.08794403076172,70.75,0.0,71.25,70.0,70.5,0.0,3860600
2022-09-13,54.2790641784668,71.0,0.0,71.5,70.5,71.0,0.0,2535900
2022-09-14,54.08794403076172,70.75,0.0,71.25,69.75,70.0,0.0,2799400
2022-09-15,53.32344436645508,69.75,0.0,70.75,69.5,70.75,0.0,3027000
2022-09-16,53.13232421875,69.5,0.0,70.0,69.25,69.5,0.0,4900600
2022-09-19,53.89681625366211,70.5,0.0,71.0,70.0,70.0,0.0,2635400
2022-09-20,54.2790641784668,71.0,0.0,72.25,70.5,71.0,0.0,5419900
2022-09-21,54.2790641784668,71.0,0.0,71.75,70.75,71.25,0.0,3468700
2022-09-22,54.470191955566406,71.25,0.0,71.5,70.25,71.25,0.0,3080800
2022-09-23,54.2790641784668,71.0,0.0,72.0,70.75,71.5,0.0,3306900
2022-09-26,53.7056884765625,70.25,0.0,71.25,70.25,70.75,0.0,4100100
2022-09-27,53.13232421875,69.5,0.0,71.0,69.5,70.5,0.0,4846400
2022-09-28,52.941200256347656,69.25,0.0,70.5,69.0,69.5,0.0,4729100
2022-09-29,53.32344436645508,69.75,0.0,70.75,69.5,70.25,0.0,2818100
2022-09-30,52.55895233154297,68.75,0.0,69.75,67.75,69.75,0.0,5650600
2022-10-03,51.02996826171875,66.75,0.0,68.75,66.5,68.5,0.0,10334700
2022-10-04,52.75008010864258,69.0,0.0,69.5,67.75,67.75,0.0,4954000
2022-10-05,52.55895233154297,68.75,0.0,69.25,68.5,69.25,0.0,2786400
2022-10-06,52.941200256347656,69.25,0.0,70.0,68.75,68.75,0.0,2865000
2022-10-07,52.55895233154297,68.75,0.0,69.25,68.25,69.0,0.0,2903700
2022-10-10,51.98558807373047,68.0,0.0,68.5,67.5,68.5,0.0,2648000
2022-10-11,52.36783218383789,68.5,0.0,69.0,68.0,68.5,0.0,2384600
2022-10-12,52.36783218383789,68.5,0.0,69.0,68.25,68.5,0.0,3681200
2022-10-17,52.941200256347656,69.25,0.0,69.5,67.75,68.25,0.0,4094500
2022-10-18,53.89681625366211,70.5,0.0,70.5,69.0,69.5,0.0,4828600
2022-10-19,54.66130828857422,71.5,0.0,72.25,71.25,71.75,0.0,7673400
2022-10-20,54.08794403076172,70.75,0.0,72.0,70.75,71.5,0.0,8070700
2022-10-21,54.8524284362793,71.75,0.0,72.0,71.0,71.25,0.0,3203600
2022-10-25,55.42580032348633,72.5,0.0,73.0,71.5,72.0,0.0,9681800
2022-10-26,55.61693572998047,72.75,0.0,73.0,72.25,73.0,0.0,3476700
2022-10-27,55.61693572998047,72.75,0.0,73.25,72.25,72.5,0.0,3605700
2022-10-28,55.043556213378906,72.0,0.0,72.75,72.0,72.5,0.0,2621500
2022-10-31,55.808048248291016,73.0,0.0,73.0,72.25,72.5,0.0,5653900
2022-11-01,55.42580032348633,72.5,0.0,73.5,72.5,73.25,0.0,3096600
2022-11-02,56.19029998779297,73.5,0.0,73.5,72.25,72.5,0.0,5083400
2022-11-03,56.57254409790039,74.0,0.0,74.0,72.75,73.0,0.0,5068200
2022-11-04,55.808048248291016,73.0,0.0,74.0,73.0,74.0,0.0,3166100
2022-11-07,55.42580032348633,72.5,0.0,73.25,72.5,73.25,0.0,1575000
