Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,49.429264068603516,56.75,0.0,57.5,56.25,57.0,0.0,3978500
2022-07-04,49.21151351928711,56.5,0.0,57.0,56.0,56.75,0.0,4491600
2022-07-05,46.816261291503906,53.75,0.0,56.5,53.25,56.25,0.0,10228300
2022-07-06,47.469512939453125,54.5,0.0,55.25,53.0,53.0,0.0,6756600
2022-07-07,48.34051513671875,55.5,0.0,55.75,54.25,54.5,0.0,4026800
2022-07-08,48.558265686035156,55.75,0.0,56.0,55.0,55.75,0.0,3489700
2022-07-11,48.34051513671875,55.5,0.0,55.5,54.5,55.5,0.0,1641700
2022-07-12,47.251766204833984,54.25,0.0,55.25,53.75,55.25,0.0,8560000
2022-07-14,47.03401565551758,54.0,0.0,54.5,53.5,54.0,0.0,3855400
2022-07-15,47.251766204833984,54.25,0.0,54.5,53.5,54.0,0.0,4155500
2022-07-18,47.251766204833984,54.25,0.0,55.25,53.75,54.5,0.0,7069300
2022-07-19,46.816261291503906,53.75,0.0,54.0,52.0,53.5,0.0,9598200
2022-07-20,46.816261291503906,53.75,0.0,54.5,53.25,54.0,0.0,3497100
2022-07-21,47.469512939453125,54.5,0.0,55.0,53.75,53.75,0.0,8785400
2022-07-22,48.77601623535156,56.0,0.0,56.75,54.75,54.75,0.0,11217200
2022-07-25,49.429264068603516,56.75,0.0,57.0,55.5,56.0,0.0,4477200
2022-07-26,49.429264068603516,56.75,0.0,57.25,56.25,56.75,0.0,2536900
2022-07-27,49.86476516723633,57.25,0.0,57.5,56.5,56.75,0.0,4067800
2022-08-01,50.30026626586914,57.75,0.0,58.25,57.25,58.0,0.0,4351000
2022-08-02,50.30026626586914,57.75,0.0,58.25,57.25,57.25,0.0,2046100
2022-08-03,50.30026626586914,57.75,0.0,58.0,57.0,57.5,0.0,2817700
2022-08-04,50.95351791381836,58.5,0.0,58.75,57.75,58.0,0.0,3909700
2022-08-05,50.95351791381836,58.5,0.0,59.0,58.25,58.75,0.0,2876100
2022-08-08,51.171268463134766,58.75,0.0,59.0,57.5,58.75,0.0,4786400
2022-08-09,51.82451629638672,59.5,0.0,59.5,58.5,58.5,0.0,4272300
2022-08-10,51.389015197753906,59.0,0.0,59.25,58.25,59.25,0.0,3144400
2022-08-11,51.389015197753906,59.0,0.0,59.25,58.5,59.0,0.0,3587600
2022-08-15,51.389015197753906,59.0,0.0,59.75,58.75,59.0,0.0,5452800
2022-08-16,52.2600212097168,60.0,0.0,60.0,59.0,59.25,0.0,5705500
2022-08-17,52.2600212097168,60.0,0.0,60.25,59.75,60.0,0.0,6192200
2022-08-18,52.042266845703125,59.75,0.0,60.0,59.5,60.0,0.0,1967000
2022-08-19,51.82451629638672,59.5,0.0,59.75,58.75,59.5,0.0,4145800
2022-08-22,50.73576736450195,58.25,0.0,59.5,57.75,58.75,0.0,5064500
2022-08-23,51.171268463134766,58.75,0.0,59.0,57.5,57.75,0.0,3893600
2022-08-24,51.389015197753906,59.0,0.0,59.5,58.0,58.0,0.0,3297700
2022-08-25,52.2600212097168,60.0,0.0,60.25,59.25,59.5,0.0,5574900
2022-08-26,51.82451629638672,59.5,0.0,60.5,59.5,60.0,0.0,3934800
2022-08-29,51.171268463134766,58.75,0.0,59.25,58.0,58.25,0.0,6376100
2022-08-30,51.60676956176758,59.25,0.0,59.5,58.5,58.5,0.0,3349600
2022-08-31,52.47776794433594,60.25,0.0,60.5,58.75,59.0,0.0,8294400
2022-09-01,51.171268463134766,58.75,0.0,60.5,58.5,59.75,0.0,4303500
2022-09-02,51.389015197753906,59.0,0.0,59.0,57.75,58.75,0.0,3382800
2022-09-05,51.171268463134766,58.75,0.0,59.25,58.25,58.75,0.0,1847500
2022-09-06,52.042266845703125,59.75,0.0,60.0,58.5,58.5,0.0,2188000
2022-09-07,52.2600212097168,60.0,0.0,60.25,59.0,59.25,0.0,3251500
2022-09-08,52.47776794433594,60.25,0.0,60.75,60.0,60.25,0.0,5278700
2022-09-09,52.69551467895508,60.5,0.0,60.5,60.0,60.5,0.0,2874200
2022-09-12,53.3487663269043,61.25,0.0,61.25,60.0,60.5,0.0,7900500
2022-09-13,52.913272857666016,60.75,0.0,61.5,60.75,61.5,0.0,3152300
2022-09-14,52.69551467895508,60.5,0.0,61.0,59.5,59.75,0.0,2181700
2022-09-15,52.69551467895508,60.5,0.0,60.75,59.75,60.5,0.0,5750300
2022-09-16,52.47776794433594,60.25,0.0,60.75,58.75,59.0,0.0,9314300
2022-09-19,52.042266845703125,59.75,0.0,60.75,59.75,59.75,0.0,2233900
2022-09-20,52.2600212097168,60.0,0.0,60.5,60.0,60.25,0.0,4481600
2022-09-21,52.2600212097168,60.0,0.0,60.25,59.5,59.5,0.0,3322600
2022-09-22,52.69551467895508,60.5,0.0,60.75,59.5,59.75,0.0,2639700
2022-09-23,51.171268463134766,58.75,0.0,60.5,58.75,60.5,0.0,4715200
2022-09-26,50.73576736450195,58.25,0.0,59.0,58.0,58.5,0.0,4323700
2022-09-27,51.171268463134766,58.75,0.0,59.25,58.0,58.0,0.0,3351000
2022-09-28,50.73576736450195,58.25,0.0,59.0,56.5,58.0,0.0,6527400
2022-09-29,50.082515716552734,57.5,0.0,59.0,57.5,57.5,0.0,4885800
2022-09-30,50.082515716552734,57.5,0.0,58.5,57.25,58.5,0.0,2887500
2022-10-03,49.64701843261719,57.0,0.0,58.0,56.0,56.0,0.0,4368200
2022-10-04,49.429264068603516,56.75,0.0,57.75,56.5,57.25,0.0,3830000
2022-10-05,49.86476516723633,57.25,0.0,57.75,56.5,56.75,0.0,3144500
2022-10-06,49.86476516723633,57.25,0.0,58.0,57.0,57.0,0.0,5203200
2022-10-07,49.429264068603516,56.75,0.0,57.75,56.5,57.75,0.0,2928100
2022-10-10,47.9050178527832,55.0,0.0,56.5,55.0,56.25,0.0,4207700
2022-10-11,48.122764587402344,55.25,0.0,55.75,54.0,54.0,0.0,6223900
2022-10-12,48.122764587402344,55.25,0.0,55.75,55.0,55.5,0.0,1460600
2022-10-17,49.21151351928711,56.5,0.0,56.5,55.25,56.0,0.0,5156300
2022-10-18,49.429264068603516,56.75,0.0,57.25,56.5,56.75,0.0,5393800
2022-10-19,49.429264068603516,56.75,0.0,57.5,56.75,57.0,0.0,2502200
2022-10-20,49.64701843261719,57.0,0.0,57.25,56.5,56.75,0.0,3749500
2022-10-21,49.21151351928711,56.5,0.0,57.5,56.25,57.5,0.0,5345700
2022-10-25,49.429264068603516,56.75,0.0,57.0,56.25,56.25,0.0,3007600
2022-10-26,49.21151351928711,56.5,0.0,57.25,56.5,56.5,0.0,1805200
2022-10-27,49.86476516723633,57.25,0.0,57.25,56.5,57.0,0.0,3977800
2022-10-28,49.86476516723633,57.25,0.0,58.0,57.0,57.25,0.0,1796300
2022-10-31,49.64701843261719,57.0,0.0,57.75,56.75,57.25,0.0,3393700
2022-11-01,50.30026626586914,57.75,0.0,58.0,57.0,57.25,0.0,2717100
2022-11-02,50.30026626586914,57.75,0.0,58.0,57.0,57.75,0.0,2611200
2022-11-03,50.30026626586914,57.75,0.0,58.0,57.25,57.75,0.0,2938000
2022-11-04,50.95351791381836,58.5,0.0,59.5,57.5,57.75,0.0,5873600
2022-11-07,50.95351791381836,58.5,0.0,59.25,58.5,58.5,0.0,2984800
2022-11-08,50.95351791381836,58.5,0.0,59.25,58.0,58.5,0.0,2239200
2022-11-09,50.95351791381836,58.5,0.0,58.75,57.75,58.5,0.0,3590000
2022-11-10,50.95351791381836,58.5,0.0,58.75,57.75,58.25,0.0,1979700
2022-11-11,51.60676956176758,59.25,0.0,59.75,59.0,59.5,0.0,6419000
2022-11-14,51.171268463134766,58.75,0.0,59.25,58.0,59.0,0.0,4172500
2022-11-15,51.171268463134766,58.75,0.0,59.5,58.5,58.75,0.0,3348600
2022-11-16,51.389015197753906,59.0,0.0,59.25,58.5,59.0,0.0,3168200
2022-11-17,51.171268463134766,58.75,0.0,59.0,58.0,58.75,0.0,3451600
2022-11-18,50.95351791381836,58.5,0.0,59.0,58.0,59.0,0.0,2686500
2022-11-21,50.95351791381836,58.5,0.0,58.75,58.0,58.0,0.0,3944100
2022-11-22,50.73576736450195,58.25,0.0,59.0,58.25,58.75,0.0,1898300
2022-11-23,50.95351791381836,58.5,0.0,59.0,58.0,58.5,0.0,3375100
2022-11-24,51.171268463134766,58.75,0.0,59.0,58.5,58.75,0.0,2300000
2022-11-25,51.389015197753906,59.0,0.0,59.25,58.5,58.75,0.0,3161300
2022-11-28,51.171268463134766,58.75,0.0,59.0,58.25,58.75,0.0,4773900
2022-11-29,51.171268463134766,58.75,0.0,58.75,58.0,58.75,0.0,4112500
2022-11-30,51.171268463134766,58.75,0.0,59.25,58.25,58.75,0.0,8971500
2022-12-01,51.82451629638672,59.5,0.0,59.5,58.5,59.0,0.0,9595400
2022-12-02,51.389015197753906,59.0,0.0,59.5,58.5,59.5,0.0,5250300
2022-12-06,51.389015197753906,59.0,0.0,59.5,58.5,58.75,0.0,5503200
2022-12-07,51.171268463134766,58.75,0.0,59.0,58.5,59.0,0.0,3087800
2022-12-08,51.82451629638672,59.5,0.0,59.75,58.5,58.75,0.0,3975600
