Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,30.94837188720703,34.0,0.0,34.5,33.5,34.5,0.0,6698000
2022-07-04,30.038124084472656,33.0,0.0,34.0,32.75,33.75,0.0,9636500
2022-07-05,29.582998275756836,32.5,0.0,33.5,32.25,33.25,0.0,17104100
2022-07-06,30.493244171142578,33.5,0.0,33.75,32.5,32.5,0.0,25316600
2022-07-07,30.94837188720703,34.0,0.0,34.0,33.25,33.75,0.0,9283800
2022-07-08,30.493244171142578,33.5,0.0,34.0,33.0,34.0,0.0,7818800
2022-07-11,29.582998275756836,32.5,0.0,33.75,32.5,33.5,0.0,14060300
2022-07-12,29.810562133789062,32.75,0.0,33.0,32.5,32.5,0.0,9175000
2022-07-14,29.582998275756836,32.5,0.0,33.0,32.25,32.75,0.0,7836100
2022-07-15,29.355440139770508,32.25,0.0,32.75,31.75,32.5,0.0,17498000
2022-07-18,30.038124084472656,33.0,0.0,33.5,32.25,32.5,0.0,14839500
2022-07-19,30.26568603515625,33.25,0.0,33.25,32.75,33.0,0.0,12075900
2022-07-20,30.26568603515625,33.25,0.0,34.0,33.0,33.5,0.0,13505500
2022-07-21,30.26568603515625,33.25,0.0,33.75,33.0,33.25,0.0,13420600
2022-07-22,30.26568603515625,33.25,0.0,33.75,33.25,33.25,0.0,6280100
2022-07-25,30.493244171142578,33.5,0.0,33.75,33.25,33.25,0.0,4816900
2022-07-26,29.582998275756836,32.5,0.0,33.5,32.5,33.25,0.0,16343100
2022-07-27,30.493244171142578,33.5,0.0,33.5,32.5,32.5,0.0,13568800
2022-08-01,30.720808029174805,33.75,0.0,34.5,33.75,34.25,0.0,16858800
2022-08-02,30.720808029174805,33.75,0.0,34.0,33.25,33.75,0.0,5747200
2022-08-03,30.94837188720703,34.0,0.0,34.0,33.5,33.5,0.0,3306100
2022-08-04,30.720808029174805,33.75,0.0,34.25,33.25,34.25,0.0,16382200
2022-08-05,30.493244171142578,33.5,0.0,34.0,33.0,34.0,0.0,11301400
2022-08-08,30.94837188720703,34.0,0.0,34.0,33.0,33.5,0.0,12809100
2022-08-09,30.94837188720703,34.0,0.0,34.5,33.75,34.0,0.0,15533700
2022-08-10,30.94837188720703,34.0,0.0,34.0,33.5,34.0,0.0,13404100
2022-08-11,30.94837188720703,34.0,0.0,34.5,33.5,34.25,0.0,23802800
2022-08-15,30.94837188720703,34.0,0.0,34.25,33.75,33.75,0.0,15085000
2022-08-16,30.720808029174805,33.75,0.0,34.25,33.5,34.0,0.0,11045000
2022-08-17,30.94837188720703,34.0,0.0,34.25,33.75,34.0,0.0,19289900
2022-08-18,30.493244171142578,33.5,0.0,34.0,33.25,33.75,0.0,10788000
2022-08-19,30.493244171142578,33.5,0.0,33.75,33.0,33.5,0.0,16998300
2022-08-22,30.038124084472656,33.0,0.0,33.5,32.75,33.25,0.0,18063600
2022-08-23,30.26568603515625,33.25,0.0,33.5,32.5,32.75,0.0,17941500
2022-08-24,30.26568603515625,33.25,0.0,33.25,32.75,33.25,0.0,12122900
2022-08-25,30.038124084472656,33.0,0.0,33.5,33.0,33.25,0.0,8198100
2022-08-26,30.038124084472656,33.0,0.0,33.5,32.75,33.0,0.0,13849900
2022-08-29,29.127878189086914,32.0,0.0,32.5,31.5,32.25,0.0,43141900
2022-08-30,29.582998275756836,32.5,0.0,32.75,32.0,32.0,0.0,26052100
2022-08-31,29.810562133789062,32.75,0.0,32.75,32.25,32.5,0.0,17225200
2022-09-01,29.355440139770508,32.25,0.0,32.75,31.75,32.75,0.0,30447800
2022-09-02,29.355440139770508,32.25,0.0,32.25,31.75,32.25,0.0,15895100
2022-09-05,28.217628479003906,31.0,0.0,32.0,30.5,32.0,0.0,43704700
2022-09-06,27.76250648498535,30.5,0.0,31.25,30.5,31.0,0.0,20915600
2022-09-07,28.217628479003906,31.0,0.0,31.0,30.5,30.5,0.0,22032100
2022-09-08,27.307384490966797,30.0,0.0,31.0,30.0,31.0,0.0,26723900
2022-09-09,27.53494644165039,30.25,0.0,30.5,30.0,30.25,0.0,19365700
2022-09-12,27.76250648498535,30.5,0.0,31.0,30.25,30.25,0.0,25829100
2022-09-13,27.53494644165039,30.25,0.0,30.75,30.25,30.5,0.0,24271000
2022-09-14,27.07982063293457,29.75,0.0,30.0,29.5,30.0,0.0,39173100
2022-09-15,25.714454650878906,28.25,0.0,28.25,27.25,27.5,0.0,100613500
2022-09-16,25.031768798828125,27.5,0.0,28.5,27.25,28.0,0.0,102933700
2022-09-19,25.031768798828125,27.5,0.0,28.0,27.25,27.5,0.0,26933900
2022-09-20,25.714454650878906,28.25,0.0,28.75,27.75,27.75,0.0,46190000
2022-09-21,25.48689079284668,28.0,0.0,28.75,28.0,28.25,0.0,27739500
2022-09-22,25.48689079284668,28.0,0.0,28.5,27.75,28.0,0.0,28069900
2022-09-23,25.714454650878906,28.25,0.0,28.5,27.75,28.25,0.0,19541300
2022-09-26,25.25933074951172,27.75,0.0,28.0,27.25,27.75,0.0,30592700
2022-09-27,25.25933074951172,27.75,0.0,28.0,27.5,27.75,0.0,16673800
