Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,40.99551773071289,43.0,0.0,43.25,42.0,42.75,0.0,5652500
2022-07-04,40.518829345703125,42.5,0.0,43.0,42.0,43.0,0.0,3736800
2022-07-05,38.85041046142578,40.75,0.0,43.0,40.5,43.0,0.0,8994400
2022-07-06,40.04214096069336,42.0,0.0,42.5,40.5,40.75,0.0,8898300
2022-07-07,40.757179260253906,42.75,0.0,43.0,41.75,42.0,0.0,5581400
2022-07-08,40.518829345703125,42.5,0.0,43.0,42.5,43.0,0.0,4141400
2022-07-11,40.99551773071289,43.0,0.0,43.25,41.75,42.5,0.0,4060600
2022-07-12,40.04214096069336,42.0,0.0,43.0,41.25,42.75,0.0,7544700
2022-07-14,40.04214096069336,42.0,0.0,42.25,41.5,41.75,0.0,5132600
2022-07-15,40.280487060546875,42.25,0.0,42.75,41.5,42.25,0.0,6036200
2022-07-18,41.23386764526367,43.25,0.0,44.0,42.5,42.75,0.0,7624400
2022-07-19,42.187252044677734,44.25,0.0,44.5,42.75,43.0,0.0,10997000
2022-07-20,42.90229034423828,45.0,0.0,45.75,44.5,45.5,0.0,12369400
2022-07-21,43.37898254394531,45.5,0.0,45.75,44.75,45.0,0.0,6106800
2022-07-22,44.09402084350586,46.25,0.0,46.25,45.0,45.75,0.0,8226700
2022-07-25,45.28574752807617,47.5,0.0,48.0,46.0,46.25,0.0,11927500
2022-07-26,46.000789642333984,48.25,0.0,48.5,47.25,47.75,0.0,10000200
2022-07-27,46.000789642333984,48.25,0.0,48.25,46.5,48.0,0.0,12208800
2022-08-01,46.715824127197266,49.0,0.0,49.5,48.25,49.0,0.0,13967800
2022-08-02,46.477481842041016,48.75,0.0,48.75,47.75,48.25,0.0,7182200
2022-08-03,46.477481842041016,48.75,0.0,49.0,48.0,48.5,0.0,6293200
2022-08-04,48.384254455566406,50.75,0.0,51.0,49.0,49.25,0.0,22921100
2022-08-05,48.14590072631836,50.5,0.0,51.25,50.25,51.0,0.0,7803200
2022-08-08,48.622596740722656,51.0,0.0,51.0,49.75,50.75,0.0,6475200
2022-08-09,48.622596740722656,51.0,0.0,51.0,50.25,51.0,0.0,3384600
2022-08-10,45.28574752807617,47.5,0.0,48.5,46.75,47.5,0.0,24186900
2022-08-11,43.61732864379883,45.75,0.0,47.75,45.5,47.75,0.0,20845700
2022-08-15,43.855674743652344,46.0,0.0,46.5,45.75,46.25,0.0,8010900
2022-08-16,43.37898254394531,45.5,0.0,47.25,45.0,46.25,0.0,12390500
2022-08-17,43.37898254394531,45.5,0.0,46.25,45.25,45.5,0.0,11736600
2022-08-18,43.1406364440918,45.25,0.0,45.75,45.0,45.5,0.0,5034400
2022-08-19,41.94890594482422,44.0,0.0,45.25,43.75,45.25,0.0,12384700
2022-08-22,41.47221374511719,43.5,0.0,43.75,42.5,43.5,0.0,15034100
2022-08-23,41.47221374511719,43.5,0.0,44.0,42.5,43.0,0.0,16856200
2022-08-24,41.23386764526367,43.25,0.0,43.75,43.0,43.25,0.0,12519200
2022-08-25,41.7105598449707,43.75,0.0,44.5,43.5,43.5,0.0,10815400
2022-08-26,41.94890594482422,44.0,0.0,44.25,43.5,44.0,0.0,7655500
2022-08-29,41.23386764526367,43.25,0.0,43.25,42.25,42.5,0.0,15250800
2022-08-30,40.518829345703125,42.5,0.0,43.25,42.0,43.0,0.0,14225000
2022-08-31,40.518829345703125,42.5,0.0,43.25,42.25,42.25,0.0,14125900
2022-09-01,40.280487060546875,42.25,0.0,42.75,41.75,42.5,0.0,8710100
2022-09-02,41.23386764526367,43.25,0.0,43.5,42.25,42.5,0.0,15150800
2022-09-05,41.23386764526367,43.25,0.0,43.5,42.75,43.25,0.0,7354800
2022-09-06,40.757179260253906,42.75,0.0,43.5,42.5,43.25,0.0,8278900
2022-09-07,40.518829345703125,42.5,0.0,42.75,42.0,42.5,0.0,10948000
2022-09-08,40.280487060546875,42.25,0.0,43.5,42.25,42.75,0.0,20414700
