Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,30.020540237426758,37.5,0.0,38.0,37.25,37.75,0.0,9735900
2022-07-04,30.020540237426758,37.5,0.0,38.0,37.5,37.5,0.0,6506500
2022-07-05,29.820409774780273,37.25,0.0,38.0,37.25,37.75,0.0,2836200
2022-07-06,30.220678329467773,37.75,0.0,37.75,37.0,37.25,0.0,6981700
2022-07-07,30.62095832824707,38.25,0.0,38.5,37.75,38.0,0.0,10315200
2022-07-08,30.821088790893555,38.5,0.0,38.5,37.75,38.25,0.0,5949500
2022-07-11,31.221359252929688,39.0,0.0,39.0,38.25,38.75,0.0,7606900
2022-07-12,31.221359252929688,39.0,0.0,39.5,38.5,39.0,0.0,8452600
2022-07-14,31.021224975585938,38.75,0.0,39.25,38.5,39.0,0.0,7699400
2022-07-15,31.021224975585938,38.75,0.0,39.0,38.25,38.75,0.0,4051800
2022-07-18,31.021224975585938,38.75,0.0,39.0,38.5,38.75,0.0,2802900
2022-07-19,30.821088790893555,38.5,0.0,38.75,38.25,38.75,0.0,4593000
2022-07-20,31.021224975585938,38.75,0.0,38.75,38.25,38.5,0.0,3735900
2022-07-21,30.821088790893555,38.5,0.0,38.75,38.25,38.5,0.0,2806100
2022-07-22,30.62095832824707,38.25,0.0,38.75,37.75,38.5,0.0,5984200
2022-07-25,30.62095832824707,38.25,0.0,38.5,38.0,38.25,0.0,2373900
2022-07-26,30.420820236206055,38.0,0.0,38.5,37.75,38.25,0.0,6993100
2022-07-27,30.62095832824707,38.25,0.0,38.25,37.75,38.0,0.0,3679000
2022-08-01,31.221359252929688,39.0,0.0,39.25,38.25,38.5,0.0,7407700
2022-08-02,31.021224975585938,38.75,0.0,38.75,38.25,38.75,0.0,5884800
2022-08-03,31.021224975585938,38.75,0.0,39.0,38.5,38.75,0.0,2860800
2022-08-04,30.821088790893555,38.5,0.0,39.0,38.25,39.0,0.0,5297000
2022-08-05,30.821088790893555,38.5,0.0,39.0,38.25,38.5,0.0,5418500
2022-08-08,31.221359252929688,39.0,0.0,39.0,38.25,38.5,0.0,5559600
2022-08-09,31.42150115966797,39.25,0.0,39.25,38.5,39.0,0.0,4915600
2022-08-10,32.22205352783203,40.25,0.0,40.25,39.0,39.25,0.0,13304700
2022-08-11,32.42219161987305,40.5,0.0,40.5,39.75,40.5,0.0,5496200
2022-08-15,32.22205352783203,40.25,0.0,40.75,40.0,40.5,0.0,4487500
2022-08-16,33.0225944519043,41.25,0.0,41.25,40.25,40.5,0.0,6482600
2022-08-17,33.823143005371094,42.25,0.0,42.5,40.75,41.0,0.0,16758700
2022-08-18,34.02328872680664,42.5,0.0,43.25,42.25,42.5,0.0,20869100
2022-08-19,33.823143005371094,42.25,0.0,42.75,41.75,42.5,0.0,10765800
2022-08-22,34.02328872680664,42.5,0.0,42.75,42.25,42.25,0.0,6625200
2022-08-23,34.22342300415039,42.75,0.0,43.0,42.0,42.25,0.0,9255300
2022-08-24,34.22342300415039,42.75,0.0,42.75,42.25,42.75,0.0,4928400
2022-08-25,34.623695373535156,43.25,0.0,43.5,42.5,42.75,0.0,13071100
2022-08-26,35.02397155761719,43.75,0.0,44.0,43.0,43.5,0.0,10039300
2022-08-29,35.02397155761719,43.75,0.0,44.0,43.0,43.25,0.0,7723400
2022-08-30,34.82383346557617,43.5,0.0,43.75,43.25,43.75,0.0,7407600
2022-08-31,35.22410583496094,44.0,0.0,44.25,43.5,43.5,0.0,11427900
2022-09-01,35.02397155761719,43.75,0.0,44.5,43.25,44.25,0.0,15279100
2022-09-02,34.623695373535156,43.25,0.0,43.75,43.0,43.75,0.0,11185100
2022-09-05,34.82383346557617,43.5,0.0,43.75,43.0,43.25,0.0,7644300
2022-09-06,35.22410583496094,44.0,0.0,44.25,43.5,43.5,0.0,11491800
2022-09-07,35.22410583496094,44.0,0.0,44.25,43.5,44.0,0.0,6175200
2022-09-08,35.02397155761719,43.75,0.0,44.25,43.5,44.0,0.0,12608300
2022-09-09,35.06473922729492,43.0,0.8,43.25,42.5,43.0,0.0,7144600
2022-09-12,34.86087417602539,42.75,0.0,43.25,42.5,42.75,0.0,7126800
2022-09-13,34.86087417602539,42.75,0.0,43.0,42.5,42.75,0.0,6906700
2022-09-14,35.06473922729492,43.0,0.0,43.0,42.25,42.5,0.0,7870900
2022-09-15,34.86087417602539,42.75,0.0,43.0,42.25,43.0,0.0,7398200
2022-09-16,34.045413970947266,41.75,0.0,42.75,41.75,42.5,0.0,12896700
2022-09-19,34.24928283691406,42.0,0.0,42.5,41.75,41.75,0.0,4418600
2022-09-20,34.65700912475586,42.5,0.0,43.0,42.25,42.25,0.0,6605800
2022-09-21,34.24928283691406,42.0,0.0,42.5,42.0,42.5,0.0,4913000
2022-09-22,34.453147888183594,42.25,0.0,42.75,42.0,42.0,0.0,3626500
2022-09-23,34.453147888183594,42.25,0.0,42.5,42.0,42.25,0.0,2480400
2022-09-26,34.045413970947266,41.75,0.0,42.5,41.75,42.0,0.0,4742600
2022-09-27,33.63768768310547,41.25,0.0,42.0,41.25,42.0,0.0,5847700
2022-09-28,34.045413970947266,41.75,0.0,41.75,40.75,41.0,0.0,8301900
2022-09-29,33.63768768310547,41.25,0.0,42.0,41.0,41.75,0.0,5654400
2022-09-30,33.43382263183594,41.0,0.0,41.25,40.5,40.75,0.0,4007400
2022-10-03,32.61836624145508,40.0,0.0,41.5,39.5,40.75,0.0,10309500
2022-10-04,32.61836624145508,40.0,0.0,40.5,39.5,40.25,0.0,9022700
2022-10-05,32.61836624145508,40.0,0.0,40.5,39.75,40.5,0.0,3301800
2022-10-06,32.41450119018555,39.75,0.0,40.25,39.75,40.0,0.0,4139700
2022-10-07,32.61836624145508,40.0,0.0,40.25,39.75,39.75,0.0,3539400
