Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-07-01,338.19573974609375,378.0,0.0,380.0,375.0,375.0,0.0,1990900
2022-07-04,335.5115966796875,375.0,0.0,377.0,374.0,376.0,0.0,1308600
2022-07-05,332.82757568359375,372.0,0.0,377.0,372.0,377.0,0.0,1403700
2022-07-06,336.4063415527344,376.0,0.0,377.0,375.0,376.0,0.0,2102000
2022-07-07,338.19573974609375,378.0,0.0,378.0,376.0,378.0,0.0,1425300
2022-07-08,339.0904235839844,379.0,0.0,379.0,375.0,378.0,0.0,1734100
2022-07-11,339.0904235839844,379.0,0.0,379.0,376.0,379.0,0.0,1290600
2022-07-12,335.5115966796875,375.0,0.0,379.0,374.0,379.0,0.0,2611800
2022-07-14,334.616943359375,374.0,0.0,375.0,371.0,375.0,0.0,2485300
2022-07-15,331.9327697753906,371.0,0.0,373.0,367.0,372.0,0.0,2460700
2022-07-18,332.82757568359375,372.0,0.0,372.0,369.0,370.0,0.0,1478600
2022-07-19,331.9327697753906,371.0,0.0,371.0,368.0,370.0,0.0,2044300
2022-07-20,329.248779296875,368.0,0.0,372.0,367.0,371.0,0.0,2005400
2022-07-21,331.03814697265625,370.0,0.0,371.0,366.0,368.0,0.0,1709500
2022-07-22,333.72216796875,373.0,0.0,373.0,369.0,370.0,0.0,2571100
2022-07-25,331.9327697753906,371.0,0.0,375.0,370.0,373.0,0.0,2620800
2022-07-26,331.03814697265625,370.0,0.0,372.0,367.0,371.0,0.0,3528400
2022-07-27,333.72216796875,373.0,0.0,375.0,368.0,369.0,0.0,3637800
2022-08-01,327.45928955078125,366.0,0.0,372.0,363.0,372.0,0.0,7113300
2022-08-02,325.6699523925781,364.0,0.0,366.0,364.0,365.0,0.0,3182300
2022-08-03,324.7752685546875,363.0,0.0,366.0,362.0,364.0,0.0,3795200
2022-08-04,326.5646667480469,365.0,0.0,366.0,364.0,365.0,0.0,2141400
2022-08-05,328.3540344238281,367.0,0.0,368.0,366.0,367.0,0.0,1896800
2022-08-08,331.9327697753906,371.0,0.0,371.0,365.0,367.0,0.0,2665100
2022-08-09,330.1434020996094,369.0,0.0,370.0,366.0,369.0,0.0,2318400
2022-08-10,331.96246337890625,365.0,6.0,365.0,362.0,364.0,0.0,2528800
2022-08-11,332.8718566894531,366.0,0.0,366.0,363.0,365.0,0.0,1583900
2022-08-15,331.05291748046875,364.0,0.0,366.0,363.0,365.0,0.0,2071800
2022-08-16,331.96246337890625,365.0,0.0,366.0,364.0,365.0,0.0,1842000
2022-08-17,332.8718566894531,366.0,0.0,366.0,364.0,365.0,0.0,1313700
2022-08-18,331.96246337890625,365.0,0.0,366.0,364.0,366.0,0.0,1157900
2022-08-19,330.1434020996094,363.0,0.0,365.0,363.0,365.0,0.0,1031300
2022-08-22,329.23394775390625,362.0,0.0,364.0,360.0,362.0,0.0,1758000
2022-08-23,328.324462890625,361.0,0.0,363.0,359.0,362.0,0.0,3106200
2022-08-24,326.5054931640625,359.0,0.0,361.0,358.0,361.0,0.0,2997400
2022-08-25,327.41497802734375,360.0,0.0,361.0,359.0,360.0,0.0,2372800
2022-08-26,328.324462890625,361.0,0.0,362.0,360.0,360.0,0.0,1291900
2022-08-29,325.595947265625,358.0,0.0,359.0,357.0,358.0,0.0,1563300
2022-08-30,326.5054931640625,359.0,0.0,360.0,358.0,358.0,0.0,1418600
2022-08-31,325.595947265625,358.0,0.0,360.0,358.0,359.0,0.0,3568300
2022-09-01,324.6865234375,357.0,0.0,361.0,357.0,358.0,0.0,2491400
2022-09-02,324.6865234375,357.0,0.0,359.0,356.0,357.0,0.0,1814900
2022-09-05,323.7770080566406,356.0,0.0,358.0,355.0,357.0,0.0,2012900
2022-09-06,323.7770080566406,356.0,0.0,358.0,355.0,356.0,0.0,1727700
2022-09-07,322.8675231933594,355.0,0.0,358.0,355.0,357.0,0.0,2096400
2022-09-08,322.8675231933594,355.0,0.0,356.0,355.0,356.0,0.0,1616200
2022-09-09,321.95806884765625,354.0,0.0,356.0,354.0,355.0,0.0,1790400
2022-09-12,325.595947265625,358.0,0.0,358.0,355.0,355.0,0.0,917900
2022-09-13,321.95806884765625,354.0,0.0,358.0,353.0,357.0,0.0,3693100
2022-09-14,314.68212890625,346.0,0.0,352.0,346.0,352.0,0.0,9541000
2022-09-15,310.13470458984375,341.0,0.0,346.0,340.0,346.0,0.0,6503900
2022-09-16,310.13470458984375,341.0,0.0,344.0,340.0,340.0,0.0,10258800
2022-09-19,306.496826171875,337.0,0.0,341.0,336.0,341.0,0.0,4943000
2022-09-20,306.496826171875,337.0,0.0,340.0,336.0,339.0,0.0,2751000
2022-09-21,298.31146240234375,328.0,0.0,337.0,327.0,336.0,0.0,9186000
2022-09-22,302.8588562011719,333.0,0.0,335.0,324.0,327.0,0.0,5828900
2022-09-23,298.31146240234375,328.0,0.0,331.0,328.0,330.0,0.0,2681800
2022-09-26,298.31146240234375,328.0,0.0,329.0,325.0,328.0,0.0,3059600
2022-09-27,300.13037109375,330.0,0.0,332.0,328.0,329.0,0.0,3188400
2022-09-28,297.4018859863281,327.0,0.0,330.0,326.0,329.0,0.0,3459900
2022-09-29,296.49249267578125,326.0,0.0,330.0,325.0,329.0,0.0,2449300
2022-09-30,296.49249267578125,326.0,0.0,327.0,324.0,326.0,0.0,2571300
2022-10-03,291.0355529785156,320.0,0.0,325.0,320.0,325.0,0.0,5609200
2022-10-04,291.0355529785156,320.0,0.0,324.0,318.0,323.0,0.0,3251600
2022-10-05,291.945068359375,321.0,0.0,324.0,320.0,321.0,0.0,2096000
2022-10-06,291.945068359375,321.0,0.0,327.0,321.0,323.0,0.0,4736800
2022-10-07,289.216552734375,318.0,0.0,323.0,318.0,321.0,0.0,2470000
2022-10-10,284.6691589355469,313.0,0.0,317.0,312.0,317.0,0.0,2417000
2022-10-11,283.7596435546875,312.0,0.0,314.0,309.0,313.0,0.0,3103500
2022-10-12,280.1217041015625,308.0,0.0,312.0,308.0,312.0,0.0,2396100
2022-10-17,282.85015869140625,311.0,0.0,312.0,307.0,308.0,0.0,3523600
2022-10-18,289.216552734375,318.0,0.0,320.0,312.0,312.0,0.0,3773600
2022-10-19,291.0355529785156,320.0,0.0,323.0,318.0,319.0,0.0,3027800
2022-10-20,290.1259765625,319.0,0.0,320.0,315.0,319.0,0.0,1900700
2022-10-21,291.945068359375,321.0,0.0,321.0,318.0,320.0,0.0,2487100
2022-10-25,297.4018859863281,327.0,0.0,327.0,322.0,324.0,0.0,4329000
2022-10-26,296.49249267578125,326.0,0.0,328.0,324.0,328.0,0.0,1909200
2022-10-27,293.76397705078125,323.0,0.0,325.0,321.0,325.0,0.0,2305500
2022-10-28,293.76397705078125,323.0,0.0,324.0,321.0,323.0,0.0,1402300
2022-10-31,294.6734619140625,324.0,0.0,326.0,323.0,323.0,0.0,1486600
2022-11-01,306.496826171875,337.0,0.0,340.0,325.0,325.0,0.0,7049500
2022-11-02,306.496826171875,337.0,0.0,340.0,336.0,337.0,0.0,2158600
2022-11-03,306.496826171875,337.0,0.0,338.0,335.0,336.0,0.0,1714300
2022-11-04,304.6778564453125,335.0,0.0,338.0,334.0,337.0,0.0,2604500
2022-11-07,311.0442199707031,342.0,0.0,344.0,336.0,336.0,0.0,4248500
2022-11-08,313.7726745605469,345.0,0.0,346.0,341.0,342.0,0.0,2559100
2022-11-09,308.3157653808594,339.0,0.0,346.0,338.0,346.0,0.0,2743200
2022-11-10,308.3157653808594,339.0,0.0,340.0,338.0,338.0,0.0,1547300
2022-11-11,312.8631896972656,344.0,0.0,346.0,341.0,344.0,0.0,3122800
2022-11-14,316.501220703125,348.0,0.0,348.0,344.0,344.0,0.0,2175200
2022-11-15,316.501220703125,348.0,0.0,348.0,345.0,348.0,0.0,2572100
2022-11-16,312.8631896972656,344.0,0.0,346.0,341.0,346.0,0.0,1906200
2022-11-17,313.7726745605469,345.0,0.0,346.0,343.0,343.0,0.0,1829100
2022-11-18,312.8631896972656,344.0,0.0,346.0,343.0,345.0,0.0,1788900
2022-11-21,313.7726745605469,345.0,0.0,346.0,343.0,343.0,0.0,1191400
2022-11-22,308.3157653808594,339.0,0.0,345.0,339.0,344.0,0.0,2562100
2022-11-23,308.3157653808594,339.0,0.0,341.0,337.0,339.0,0.0,2431300
2022-11-24,311.0442199707031,342.0,0.0,343.0,339.0,340.0,0.0,1074600
2022-11-25,306.496826171875,337.0,0.0,342.0,336.0,342.0,0.0,1789200
2022-11-28,307.4062805175781,338.0,0.0,339.0,337.0,337.0,0.0,1439600
2022-11-29,309.2252502441406,340.0,0.0,340.0,337.0,337.0,0.0,2126300
2022-11-30,305.5872497558594,336.0,0.0,341.0,335.0,340.0,0.0,4764400
2022-12-01,308.3157653808594,339.0,0.0,340.0,337.0,337.0,0.0,1551900
2022-12-02,303.768310546875,334.0,0.0,339.0,332.0,338.0,0.0,3013200
2022-12-06,300.13037109375,330.0,0.0,334.0,330.0,334.0,0.0,2188800
2022-12-07,300.13037109375,330.0,0.0,333.0,330.0,330.0,0.0,991600
2022-12-08,301.03985595703125,331.0,0.0,332.0,329.0,330.0,0.0,610000
2022-12-09,303.768310546875,334.0,0.0,334.0,328.0,330.0,0.0,991800
2022-12-13,301.03985595703125,331.0,0.0,335.0,331.0,333.0,0.0,1237300
2022-12-14,305.5872497558594,336.0,0.0,336.0,331.0,331.0,0.0,1723800
2022-12-15,301.9493713378906,332.0,0.0,336.0,332.0,335.0,0.0,1091400
2022-12-16,302.8588562011719,333.0,0.0,334.0,332.0,333.0,0.0,2024300
2022-12-19,301.03985595703125,331.0,0.0,335.0,331.0,335.0,0.0,899300
2022-12-20,301.9493713378906,332.0,0.0,332.0,328.0,331.0,0.0,2419800
2022-12-21,301.03985595703125,331.0,0.0,332.0,329.0,332.0,0.0,868300
2022-12-22,301.9493713378906,332.0,0.0,332.0,329.0,332.0,0.0,803600
2022-12-23,303.768310546875,334.0,0.0,334.0,330.0,331.0,0.0,933400
2022-12-26,304.6778564453125,335.0,0.0,335.0,333.0,335.0,0.0,506600
2022-12-27,309.2252502441406,340.0,0.0,340.0,334.0,336.0,0.0,1774600
2022-12-28,310.13470458984375,341.0,0.0,342.0,338.0,340.0,0.0,1699600
2022-12-29,312.8631896972656,344.0,0.0,344.0,339.0,342.0,0.0,1373700
2022-12-30,311.0442199707031,342.0,0.0,344.0,341.0,342.0,0.0,2036300
2023-01-03,311.0442199707031,342.0,0.0,344.0,340.0,341.0,0.0,1666500
2023-01-04,313.7726745605469,345.0,0.0,345.0,340.0,342.0,0.0,1559500
2023-01-05,317.41058349609375,349.0,0.0,350.0,344.0,345.0,0.0,2734900
2023-01-06,318.32012939453125,350.0,0.0,351.0,347.0,349.0,0.0,1471800
2023-01-09,320.13909912109375,352.0,0.0,354.0,351.0,353.0,0.0,1639200
2023-01-10,325.595947265625,358.0,0.0,358.0,351.0,351.0,0.0,3856500
2023-01-11,326.5054931640625,359.0,0.0,360.0,355.0,359.0,0.0,3511700
2023-01-12,323.7770080566406,356.0,0.0,358.0,355.0,357.0,0.0,2258500
2023-01-13,322.8675231933594,355.0,0.0,358.0,353.0,356.0,0.0,3919400
2023-01-16,321.95806884765625,354.0,0.0,357.0,354.0,355.0,0.0,1300600
2023-01-17,326.5054931640625,359.0,0.0,359.0,354.0,354.0,0.0,1929600
2023-01-18,323.7770080566406,356.0,0.0,359.0,355.0,359.0,0.0,1897300
2023-01-19,323.7770080566406,356.0,0.0,358.0,355.0,356.0,0.0,1334500
2023-01-20,322.8675231933594,355.0,0.0,357.0,354.0,356.0,0.0,1107500
2023-01-23,321.048583984375,353.0,0.0,355.0,352.0,353.0,0.0,1133600
2023-01-24,316.501220703125,348.0,0.0,355.0,348.0,354.0,0.0,2148000
2023-01-25,313.7726745605469,345.0,0.0,347.0,343.0,345.0,0.0,2303000
2023-01-26,303.768310546875,334.0,0.0,337.0,332.0,335.0,0.0,6043400
2023-01-27,309.2252502441406,340.0,0.0,341.0,334.0,335.0,0.0,2437100
2023-01-30,312.8631896972656,344.0,0.0,344.0,339.0,340.0,0.0,1367600
2023-01-31,305.5872497558594,336.0,0.0,343.0,336.0,341.0,0.0,3277800
2023-02-01,311.0442199707031,342.0,0.0,343.0,337.0,337.0,0.0,1695300
2023-02-02,307.4062805175781,338.0,0.0,343.0,338.0,343.0,0.0,1383100
2023-02-03,307.4062805175781,338.0,0.0,340.0,337.0,337.0,0.0,2641100
2023-02-06,305.5872497558594,336.0,0.0,339.0,336.0,337.0,0.0,941500
2023-02-07,307.4062805175781,338.0,0.0,339.0,336.0,337.0,0.0,2303800
2023-02-08,307.4062805175781,338.0,0.0,340.0,337.0,338.0,0.0,2114200
2023-02-09,307.4062805175781,338.0,0.0,339.0,335.0,338.0,0.0,2142700
2023-02-10,307.4062805175781,338.0,0.0,340.0,337.0,337.0,0.0,1912400
2023-02-13,304.6778564453125,335.0,0.0,339.0,335.0,338.0,0.0,1794900
2023-02-14,310.13470458984375,341.0,0.0,341.0,336.0,336.0,0.0,3325000
2023-02-15,307.4062805175781,338.0,0.0,340.0,338.0,338.0,0.0,887600
2023-02-16,309.2252502441406,340.0,0.0,340.0,337.0,338.0,0.0,1275700
2023-02-17,309.2252502441406,340.0,0.0,340.0,337.0,339.0,0.0,904600
2023-02-20,308.3157653808594,339.0,0.0,341.0,338.0,341.0,0.0,519300
2023-02-21,309.2252502441406,340.0,0.0,342.0,338.0,339.0,0.0,1151800
2023-02-22,305.5872497558594,336.0,0.0,340.0,335.0,340.0,0.0,1862900
2023-02-23,307.4062805175781,338.0,0.0,339.0,336.0,336.0,0.0,1092700
2023-02-24,301.03985595703125,331.0,0.0,338.0,330.0,337.0,0.0,1907700
2023-02-27,298.31146240234375,328.0,0.0,332.0,328.0,330.0,0.0,1845400
2023-02-28,297.4018859863281,327.0,0.0,331.0,326.0,329.0,0.0,2477100
2023-03-01,291.945068359375,321.0,0.0,329.0,321.0,329.0,0.0,3172100
2023-03-02,300.13037109375,330.0,0.0,332.0,322.0,322.0,0.0,4012700
2023-03-03,298.31146240234375,328.0,0.0,333.0,328.0,332.0,0.0,1475000
2023-03-07,303.768310546875,334.0,0.0,337.0,332.0,332.0,0.0,3773600
2023-03-08,301.03985595703125,331.0,0.0,333.0,327.0,330.0,0.0,3887600
2023-03-09,301.03985595703125,331.0,0.0,332.0,330.0,331.0,0.0,1545200
2023-03-10,301.03985595703125,331.0,0.0,331.0,328.0,330.0,0.0,1103100
2023-03-13,299.22088623046875,329.0,0.0,332.0,328.0,330.0,0.0,2020400
2023-03-14,287.3976135253906,316.0,0.0,329.0,316.0,328.0,0.0,4168200
2023-03-15,293.76397705078125,323.0,0.0,326.0,321.0,322.0,0.0,2301100
2023-03-16,289.216552734375,318.0,0.0,321.0,315.0,320.0,0.0,2705900
2023-03-17,286.4881286621094,315.0,0.0,320.0,313.0,320.0,0.0,4155700
2023-03-20,286.4881286621094,315.0,0.0,316.0,311.0,313.0,0.0,2308200
2023-03-21,291.0355529785156,320.0,0.0,320.0,315.0,315.0,0.0,1178500
2023-03-22,291.945068359375,321.0,0.0,322.0,318.0,321.0,0.0,850400
2023-03-23,292.8544921875,322.0,0.0,323.0,318.0,318.0,0.0,1076200
2023-03-24,290.1259765625,319.0,0.0,322.0,318.0,322.0,0.0,1400300
2023-03-27,290.1259765625,319.0,0.0,321.0,319.0,321.0,0.0,483100
2023-03-28,291.0355529785156,320.0,0.0,321.0,318.0,320.0,0.0,1308800
2023-03-29,291.945068359375,321.0,0.0,321.0,319.0,321.0,0.0,739300
2023-03-30,286.4881286621094,315.0,0.0,321.0,315.0,321.0,0.0,1901300
2023-03-31,286.4881286621094,315.0,0.0,317.0,315.0,315.0,0.0,943600
2023-04-03,288.30706787109375,317.0,0.0,318.0,314.0,316.0,0.0,1432200
2023-04-04,286.4881286621094,315.0,0.0,319.0,314.0,319.0,0.0,1496500
2023-04-05,286.4881286621094,315.0,0.0,316.0,313.0,314.0,0.0,942800
2023-04-07,285.5728454589844,312.0,2.0,315.0,312.0,314.0,0.0,832800
2023-04-10,287.40338134765625,314.0,0.0,316.0,313.0,313.0,0.0,758700
2023-04-11,285.5728454589844,312.0,0.0,316.0,311.0,315.0,0.0,1297500
2023-04-12,289.2339782714844,316.0,0.0,316.0,311.0,312.0,0.0,1224500
2023-04-17,288.3186950683594,315.0,0.0,317.0,312.0,317.0,0.0,1280800
2023-04-18,285.5728454589844,312.0,0.0,315.0,312.0,315.0,0.0,1004400
2023-04-19,282.826904296875,309.0,0.0,312.0,308.0,311.0,0.0,2447900
2023-04-20,279.16571044921875,305.0,0.0,312.0,305.0,311.0,0.0,1836500
2023-04-21,278.2503967285156,304.0,0.0,307.0,301.0,305.0,0.0,2432900
2023-04-24,279.16571044921875,305.0,0.0,306.0,302.0,305.0,0.0,1015900
2023-04-25,277.3351135253906,303.0,0.0,305.0,300.0,304.0,0.0,1940400
2023-04-26,275.50457763671875,301.0,0.0,304.0,301.0,304.0,0.0,1245200
2023-04-27,284.6575012207031,311.0,0.0,313.0,306.0,306.0,0.0,4836800
2023-04-28,287.40338134765625,314.0,0.0,314.0,308.0,312.0,0.0,2213600
2023-05-02,289.2339782714844,316.0,0.0,316.0,312.0,315.0,0.0,1157200
2023-05-03,297.4716491699219,325.0,0.0,327.0,314.0,318.0,0.0,5023600
2023-05-08,306.6246337890625,335.0,0.0,335.0,329.0,332.0,0.0,3357400
2023-05-09,305.7093200683594,334.0,0.0,335.0,331.0,334.0,0.0,1871700
2023-05-10,305.7093200683594,334.0,0.0,335.0,330.0,330.0,0.0,1675900
2023-05-11,305.7093200683594,334.0,0.0,334.0,331.0,334.0,0.0,657800
2023-05-12,307.5399169921875,336.0,0.0,337.0,332.0,334.0,0.0,2109800
2023-05-15,304.7940673828125,333.0,0.0,338.0,333.0,338.0,0.0,1426300
2023-05-16,308.4552307128906,337.0,0.0,339.0,334.0,335.0,0.0,1522500
2023-05-17,310.28582763671875,339.0,0.0,340.0,335.0,337.0,0.0,3341800
2023-05-18,310.28582763671875,339.0,0.0,340.0,336.0,340.0,0.0,1377800
2023-05-19,310.28582763671875,339.0,0.0,339.0,336.0,339.0,0.0,1167900
2023-05-22,307.5399169921875,336.0,0.0,336.0,331.0,335.0,0.0,2054000
2023-05-23,308.4552307128906,337.0,0.0,339.0,333.0,335.0,0.0,1167200
2023-05-24,307.5399169921875,336.0,0.0,337.0,334.0,335.0,0.0,772700
2023-05-25,302.04815673828125,330.0,0.0,336.0,330.0,335.0,0.0,1839600
2023-05-26,303.8787841796875,332.0,0.0,332.0,328.0,330.0,0.0,1414700
2023-05-29,303.8787841796875,332.0,0.0,332.0,330.0,332.0,0.0,917500
2023-05-30,297.4716491699219,325.0,0.0,332.0,323.0,330.0,0.0,2735300
2023-05-31,291.9798583984375,319.0,0.0,325.0,320.0,323.0,0.0,2010800
2023-06-01,295.6410827636719,323.0,0.0,324.0,320.0,321.0,0.0,838000
2023-06-02,297.4716491699219,325.0,0.0,327.0,321.0,323.0,0.0,1092400
2023-06-06,300.2175598144531,328.0,0.0,329.0,325.0,327.0,0.0,1008100
2023-06-07,303.8787841796875,332.0,0.0,334.0,329.0,329.0,0.0,2137800
2023-06-08,309.37054443359375,338.0,0.0,336.0,332.0,333.0,0.0,1742700
2023-06-09,304.7940673828125,333.0,0.0,337.0,333.0,337.0,0.0,1642400
2023-06-12,303.8787841796875,332.0,0.0,334.0,331.0,333.0,0.0,497300
2023-06-13,305.7093200683594,334.0,0.0,335.0,332.0,332.0,0.0,1131900
2023-06-14,306.6246337890625,335.0,0.0,337.0,335.0,336.0,0.0,1768200
2023-06-15,302.9634094238281,331.0,0.0,336.0,330.0,335.0,0.0,1279100
2023-06-16,302.9634094238281,331.0,0.0,333.0,330.0,331.0,0.0,948100
2023-06-19,301.1328430175781,329.0,0.0,330.0,325.0,330.0,0.0,1886900
2023-06-20,302.9634094238281,331.0,0.0,334.0,330.0,331.0,0.0,1562600
2023-06-21,297.4716491699219,325.0,0.0,330.0,325.0,330.0,0.0,1109300
2023-06-22,298.386962890625,326.0,0.0,328.0,321.0,326.0,0.0,1119100
2023-06-23,298.386962890625,326.0,0.0,328.0,325.0,326.0,0.0,506100
2023-06-26,296.556396484375,324.0,0.0,328.0,324.0,326.0,0.0,879900
2023-06-27,294.72576904296875,322.0,0.0,328.0,321.0,326.0,0.0,1140700
2023-06-28,294.72576904296875,322.0,0.0,326.0,321.0,323.0,0.0,1302600
2023-06-29,292.89520263671875,320.0,0.0,324.0,320.0,322.0,0.0,1106600
2023-06-30,294.72576904296875,322.0,0.0,324.0,320.0,321.0,0.0,1239700
2023-07-03,297.4716491699219,325.0,0.0,325.0,320.0,323.0,0.0,1474000
2023-07-04,298.386962890625,326.0,0.0,329.0,325.0,325.0,0.0,1711200
2023-07-05,299.3022766113281,327.0,0.0,327.0,322.0,325.0,0.0,2456900
2023-07-06,295.6410827636719,323.0,0.0,326.0,320.0,325.0,0.0,1931700
2023-07-07,294.72576904296875,322.0,0.0,323.0,320.0,322.0,0.0,1183500
2023-07-10,296.556396484375,324.0,0.0,325.0,321.0,324.0,0.0,1015900
2023-07-11,295.6410827636719,323.0,0.0,325.0,322.0,324.0,0.0,940000
2023-07-12,298.386962890625,326.0,0.0,326.0,323.0,324.0,0.0,1597500
2023-07-13,295.6410827636719,323.0,0.0,327.0,323.0,326.0,0.0,1161500
2023-07-14,300.2175598144531,328.0,0.0,328.0,323.0,324.0,0.0,1566400
2023-07-17,299.3022766113281,327.0,0.0,330.0,326.0,329.0,0.0,1290600
2023-07-18,300.2175598144531,328.0,0.0,329.0,326.0,327.0,0.0,896000
2023-07-19,296.556396484375,324.0,0.0,330.0,324.0,328.0,0.0,1994700
2023-07-20,291.9798583984375,319.0,0.0,327.0,318.0,326.0,0.0,3613900
2023-07-21,293.8105163574219,321.0,0.0,323.0,316.0,319.0,0.0,1514300
2023-07-24,291.9798583984375,319.0,0.0,324.0,318.0,321.0,0.0,911000
2023-07-25,292.89520263671875,320.0,0.0,321.0,317.0,321.0,0.0,1452500
2023-07-26,291.0645751953125,318.0,0.0,319.0,316.0,318.0,0.0,1314100
