period,effective_from,effective_to,symbol,company_name,source_url,provenance_source_url,revision_status,mapping_status
2023_H1,2023-01-01,2023-06-30,ADVANC,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,AOT,AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,AWC,ASSET WORLD CORP PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,BANPU,BANPU PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,BBL,BANGKOK BANK PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,BDMS,BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,BEM,BANGKOK EXPRESSWAY AND METRO PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,BGRIM,B.GRIMM POWER PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,BH,BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,BTS,BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,CBG,CARABAO GROUP PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,CENTEL,CENTRAL PLAZA HOTEL PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,COM7,COM7 PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,CPALL,CP ALL PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,CPF,CHAROEN POKPHAND FOODS PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,CPN,CENTRAL PATTANA PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,CRC,CENTRAL RETAIL CORPORATION PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,DELTA,DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,EA,ENERGY ABSOLUTE PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,EGCO,ELECTRICITY GENERATING PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,GLOBAL,CHEMICAL PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,GPSC,GLOBAL POWER SYNERGY PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,GULF,GULF ENERGY DEVELOPMENT PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,HMPRO,HOME PRODUCT CENTER PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,INTUCH,INTOUCH HOLDINGS PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,IVL,INDORAMA VENTURES PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,JMART,"JAY MART PUBLIC COMPANY LIMITED Information & Communication Technology SET50 Inclusion: SAWAD, TRUE 28 JMT JMT NETWORK SERVICES PUBLIC COMPANY LIMITED Finance and Securities SET50 Exclusion: DTAC, TRUEE 29 KBANK KASIKORNBANK PUBLIC COMPANY LIMITED",https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,JMT,"JMT NETWORK SERVICES PUBLIC COMPANY LIMITED Finance and Securities SET50 Exclusion: DTAC, TRUEE 29 KBANK KASIKORNBANK PUBLIC COMPANY LIMITED",https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,KBANK,KASIKORNBANK PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,KTB,KRUNG THAI BANK PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,KTC,KRUNGTHAI CARD PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,LH,LAND AND HOUSES PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,MINT,MINOR INTERNATIONAL PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,MTC,MUANGTHAI CAPITAL PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,OR,PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
2023_H1,2023-01-01,2023-06-30,OSP,OSOTSPA PUBLIC COMPANY LIMITED,https://media.set.or.th/set/Documents/2023/Mar/SET50SET100_H1_2023_revise.pdf,,OFFICIAL,AS_PUBLISHED_BY_SET
