symbol,effective_start,effective_end,source,status,in_prior_approved_20
ADVANC,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
AOT,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
AWC,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
BANPU,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
BBL,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
BCP,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
BDMS,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,true
BEM,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
BH,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
BJC,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
CCET,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
COM7,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,true
CPALL,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
CPF,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
CPN,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
CRC,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
DELTA,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
EGCO,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
GPSC,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
GULF,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,true
HMPRO,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,true
IVL,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,true
KBANK,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
KKP,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,true
KTB,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,true
KTC,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
LH,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,true
MINT,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
MRDIYT,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,true
MTC,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,true
OR,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
OSP,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,true
PTT,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
PTTEP,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
PTTGC,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,true
RATCH,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,true
SCB,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
SCC,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
SCGP,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,true
TCAP,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
TFG,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
THAI,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,true
TIDLOR,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,true
TISCO,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
TLI,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
TOP,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,true
TRUE,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
TTB,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
TU,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
WHA,2026-07-01,2026-12-31,SET_H2_2026_REVIEW,VERIFIED_OFFICIAL,false
