symbol,side,status,reason,signal_date,execution_date,quantity,requested_price,executed_price,commission,vat,total_fees,slippage,cash_before,cash_after,position_before,position_after
LH,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
TOP,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
LH,BUY,FILLED,ENTRY_CONFIRMED,2023-02-02 00:00:00,2023-02-03 00:00:00,100333,9.949999618530272,9.949999618530272,1567.35189940981651550432,109.7146329586871560853024,1677.0665323685036715896224,5016.650000000000000,10000000,9000009.621741633715752410378,0,100333
TOP,BUY,FILLED,ENTRY_CONFIRMED,2023-02-02 00:00:00,2023-02-03 00:00:00,17212,58.00,58.00,1567.3247200,109.712730400,1677.037450400,4303.00,9000009.621741633715752410378,8000036.584291233715752410378,0,17212
CENTEL,BUY,FILLED,ENTRY_CONFIRMED,2023-02-03 00:00:00,2023-02-06 00:00:00,18836,53.00,53.00,1567.3435600,109.714049200,1677.057609200,4709.00,8000036.584291233715752410378,7000051.526682033715752410378,0,18836
TOP,SELL,FILLED,EXIT_CONFIRMED,2023-02-06 00:00:00,2023-02-07 00:00:00,17212,57.25,57.25,1547.0575900,108.294031300,1655.351621300,4303.00,7000051.526682033715752410378,7983783.175060733715752410378,17212,0
LH,SELL,FILLED,EXIT_CONFIRMED,2023-02-09 00:00:00,2023-02-10 00:00:00,100333,9.70,9.70,1527.9712570,106.957987990,1634.929244990,5016.65,7983783.175060733715752410378,8955378.345815743715752410378,100333,0
PTTGC,BUY,FILLED,ENTRY_CONFIRMED,2023-02-10 00:00:00,2023-02-13 00:00:00,19867,50.25,50.25,1567.3572975,109.715010825,1677.072308325,4966.75,8955378.345815743715752410378,7955384.523507418715752410378,0,19867
PTTGC,SELL,FILLED,EXIT_CONFIRMED,2023-02-15 00:00:00,2023-02-16 00:00:00,19867,49.25,49.25,1536.1661075,107.531627525,1643.697735025,4966.75,7955384.523507418715752410378,8932190.575772393715752410378,19867,0
OSP,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
OSP,BUY,FILLED,ENTRY_CONFIRMED,2023-02-20 00:00:00,2023-02-21 00:00:00,32203,31.00,31.00,1567.3200100,109.712400700,1677.032410700,8050.75,8932190.575772393715752410378,7932220.543361693715752410378,0,32203
HMPRO,BUY,FILLED,ENTRY_CONFIRMED,2023-02-21 00:00:00,2023-02-22 00:00:00,66114,15.10,15.10,1567.3645980,109.715521860,1677.080119860,6611.40,7932220.543361693715752410378,6932222.063241833715752410378,0,66114
BDMS,BUY,FILLED,ENTRY_CONFIRMED,2023-02-22 00:00:00,2023-02-23 00:00:00,33277,30.00,30.00,1567.3467000,109.714269000,1677.060969000,8319.25,6932222.063241833715752410378,5932235.002272833715752410378,0,33277
BDMS,SELL,FILLED,EXIT_CONFIRMED,2023-02-24 00:00:00,2023-02-27 00:00:00,33277,29.25,29.25,1528.1630325,106.971412275,1635.134444775,8319.25,5932235.002272833715752410378,6903952.117828058715752410378,33277,0
HMPRO,SELL,FILLED,EXIT_CONFIRMED,2023-02-27 00:00:00,2023-02-28 00:00:00,66114,14.200000190734863,14.200000190734863,1473.94553579808422983974,103.1761875058658960887818,1577.1217233039501259285218,6611.400000000000000,6903952.117828058715752410378,7841193.808714999498008481856,66114,0
CENTEL,SELL,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
KTB,BUY,FILLED,ENTRY_CONFIRMED,2023-03-09 00:00:00,2023-03-10 00:00:00,58042,17.200000381469727,17.200000381469727,1567.36620276178745441838,109.7156341933251218092866,1677.0818369551125762276666,5804.200000000000000,7841193.808714999498008481856,6841194.304736778490898254189,0,58042
COM7,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
KTB,SELL,FILLED,EXIT_CONFIRMED,2023-03-13 00:00:00,2023-03-14 00:00:00,58042,16.40,16.40,1494.4654160,104.612579120,1599.077995120,5804.20,6841194.304736778490898254189,7791484.026741658490898254189,58042,0
CENTEL,SELL,FILLED,EXIT_CONFIRMED,2023-03-14 00:00:00,2023-03-15 00:00:00,18836,53.25,53.25,1574.7366900,110.231568300,1684.968258300,4709.00,7791484.026741658490898254189,8792816.058483358490898254189,18836,0
GLOBAL,BUY,FILLED,ENTRY_CONFIRMED,2023-03-15 00:00:00,2023-03-16 00:00:00,57304,17.421428298950195,17.421428298950195,1567.35851777157589961960,109.7150962440103129733720,1677.0736140155862125929720,5730.400000000000000,8792816.058483358490898254189,7792821.457626300930405661217,0,57304
OSP,SELL,FILLED,EXIT_CONFIRMED,2023-03-15 00:00:00,2023-03-16 00:00:00,32203,31.00,31.00,1567.3200100,109.712400700,1677.032410700,8050.75,7792821.457626300930405661217,8789437.425215600930405661217,32203,0
GLOBAL,SELL,FILLED,EXIT_CONFIRMED,2023-03-21 00:00:00,2023-03-22 00:00:00,57304,16.596428298950195,16.596428298950195,1493.13551177157589961960,104.5194858240103129733720,1597.6549975955862125929720,5730.400000000000000,8789437.425215600930405661217,9738881.497461047318473068245,57304,0
COM7,BUY,FILLED,ENTRY_CONFIRMED,2023-03-23 00:00:00,2023-03-24 00:00:00,31692,31.50,31.50,1567.3278600,109.712950200,1677.040810200,7923.00,9738881.497461047318473068245,8738906.456650847318473068245,0,31692
OSP,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
BGRIM,BUY,FILLED,ENTRY_CONFIRMED,2023-03-24 00:00:00,2023-03-27 00:00:00,24498,40.75,40.75,1567.3207950,109.712455650,1677.033250650,6124.50,8738906.456650847318473068245,7738935.923400197318473068245,0,24498
CENTEL,BUY,FILLED,ENTRY_CONFIRMED,2023-03-24 00:00:00,2023-03-27 00:00:00,17362,57.50,57.50,1567.3545500,109.714818500,1677.069368500,4340.50,7738935.923400197318473068245,6738943.854031697318473068245,0,17362
GLOBAL,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
BDMS,BUY,FILLED,ENTRY_CONFIRMED,2023-03-29 00:00:00,2023-03-30 00:00:00,33557,29.75,29.75,1567.3635775,109.715450425,1677.079027925,8389.25,6738943.854031697318473068245,5738946.025003772318473068245,0,33557
HMPRO,BUY,FILLED,ENTRY_CONFIRMED,2023-03-29 00:00:00,2023-03-30 00:00:00,68849,14.499999618530272,14.499999618530272,1567.34744376581939417696,109.7143210636073575923872,1677.0617648294267517693472,6884.900000000000000,5738946.025003772318473068245,4738958.489502752194793298898,0,68849
TOP,BUY,FILLED,ENTRY_CONFIRMED,2023-03-29 00:00:00,2023-03-30 00:00:00,18747,53.25,53.25,1567.2960675,109.710724725,1677.006792225,4686.75,4738958.489502752194793298898,3739003.732710527194793298898,0,18747
COM7,SELL,FILLED,EXIT_CONFIRMED,2023-03-31 00:00:00,2023-04-03 00:00:00,31692,30.25,30.25,1505.1323100,105.359261700,1610.491571700,7923.00,3739003.732710527194793298898,4696076.241138827194793298898,31692,0
LH,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
