date,equity,positions,cash
2023-01-03,10000000,0,10000000
2023-01-04,10000000,0,10000000
2023-01-05,10000000,0,10000000
2023-01-06,10000000,0,10000000
2023-01-09,10000000,0,10000000
2023-01-10,10000000,0,10000000
2023-01-11,10000000,0,10000000
2023-01-12,10000000,0,10000000
2023-01-13,10000000,0,10000000
2023-01-16,10000000,0,10000000
2023-01-17,10000000,0,10000000
2023-01-18,10000000,0,10000000
2023-01-19,10000000,0,10000000
2023-01-20,10000000,0,10000000
2023-01-23,10000000,0,10000000
2023-01-24,10000000,0,10000000
2023-01-25,10000000,0,10000000
2023-01-26,10000000,0,10000000
2023-01-27,10000000,0,10000000
2023-01-30,10000000,0,10000000
2023-01-31,10000000,0,10000000
2023-02-01,10000000,0,10000000
2023-02-02,10000000,0,10000000
2023-02-03,9983736.915154232706373410378,2,8000036.584291233715752410378
2023-02-06,9990862.614956035935176410378,3,7000051.526682033715752410378
2023-02-07,9994223.836786731496328410378,2,7983783.175060733715752410378
2023-02-08,10002718.92506073371575241038,2,7983783.175060733715752410378
2023-02-09,9998009.925060733715752410378,2,7983783.175060733715752410378
2023-02-10,10010194.34581574371575241038,1,8955378.345815743715752410378
2023-02-13,10004066.02350741871575241038,2,7955384.523507418715752410378
2023-02-14,9985230.023507418715752410378,2,7955384.523507418715752410378
2023-02-15,9979490.023507418715752410378,2,7955384.523507418715752410378
2023-02-16,9958752.575772393715752410378,1,8932190.575772393715752410378
2023-02-17,9968170.575772393715752410378,1,8932190.575772393715752410378
2023-02-20,9954043.575772393715752410378,1,8932190.575772393715752410378
2023-02-21,9985936.793361693715752410378,2,7932220.543361693715752410378
2023-02-22,10004535.06324183371575241038,3,6932222.063241833715752410378
2023-02-23,10000346.50227283371575241038,4,5932235.002272833715752410378
2023-02-24,9936792.502272833715752410378,4,5932235.002272833715752410378
2023-02-27,9929985.330438303448134410378,3,6903952.117828058715752410378
2023-02-28,9943974.558714999498008481856,2,7841193.808714999498008481856
2023-03-01,9900986.308714999498008481856,2,7841193.808714999498008481856
2023-03-02,9899619.058714999498008481856,2,7841193.808714999498008481856
2023-03-03,9891568.308714999498008481856,2,7841193.808714999498008481856
2023-03-07,9909037.058714999498008481856,2,7841193.808714999498008481856
2023-03-08,9925138.558714999498008481856,2,7841193.808714999498008481856
