signal_date,execution_date,selected_symbols
2023-01-06 00:00:00,2023-01-09 00:00:00,
2023-01-11 00:00:00,2023-01-12 00:00:00,
2023-01-16 00:00:00,2023-01-17 00:00:00,
2023-01-19 00:00:00,2023-01-20 00:00:00,
2023-01-24 00:00:00,2023-01-25 00:00:00,
2023-01-27 00:00:00,2023-01-30 00:00:00,
2023-02-01 00:00:00,2023-02-02 00:00:00,TOP|PTTGC|IVL|BDMS|LH
2023-02-06 00:00:00,2023-02-07 00:00:00,CENTEL|LH
2023-02-09 00:00:00,2023-02-10 00:00:00,CENTEL|PTTGC|GLOBAL
2023-02-14 00:00:00,2023-02-15 00:00:00,CENTEL|HMPRO
2023-02-17 00:00:00,2023-02-20 00:00:00,CENTEL|OSP
2023-02-22 00:00:00,2023-02-23 00:00:00,OSP|CENTEL|HMPRO|BDMS|SCGP
2023-02-27 00:00:00,2023-02-28 00:00:00,OSP|CENTEL|COM7
2023-03-02 00:00:00,2023-03-03 00:00:00,OSP
2023-03-08 00:00:00,2023-03-09 00:00:00,OSP|CENTEL|KTB
2023-03-13 00:00:00,2023-03-14 00:00:00,OSP|COM7
2023-03-16 00:00:00,2023-03-17 00:00:00,GLOBAL
2023-03-21 00:00:00,2023-03-22 00:00:00,
2023-03-24 00:00:00,2023-03-27 00:00:00,BGRIM|CENTEL
2023-03-29 00:00:00,2023-03-30 00:00:00,BDMS|TOP|BGRIM|HMPRO|COM7
2023-04-03 00:00:00,2023-04-04 00:00:00,BGRIM|BDMS|HMPRO|CENTEL|MTC|LH|TOP
2023-04-07 00:00:00,2023-04-10 00:00:00,BDMS|MTC|HMPRO|LH
2023-04-12 00:00:00,2023-04-17 00:00:00,MTC|BGRIM|BDMS|KTB|LH|RATCH|TOP
2023-04-19 00:00:00,2023-04-20 00:00:00,MTC|LH|RATCH
2023-04-24 00:00:00,2023-04-25 00:00:00,MTC|KTB|LH
2023-04-27 00:00:00,2023-04-28 00:00:00,KTB
2023-05-03 00:00:00,2023-05-08 00:00:00,KTB|MTC
2023-05-10 00:00:00,2023-05-11 00:00:00,MTC|KTB|BGRIM|IVL|HMPRO|RATCH
2023-05-15 00:00:00,2023-05-16 00:00:00,KTB|MTC|GLOBAL|OSP|COM7|HMPRO
2023-05-18 00:00:00,2023-05-19 00:00:00,KTB|GLOBAL|OSP|MTC
2023-05-23 00:00:00,2023-05-24 00:00:00,GLOBAL|MTC|KTB|OSP|HMPRO|IVL
2023-05-26 00:00:00,2023-05-29 00:00:00,MTC|GLOBAL|KTB|COM7
2023-05-31 00:00:00,2023-06-01 00:00:00,MTC|COM7|GLOBAL|KTB
2023-06-06 00:00:00,2023-06-07 00:00:00,MTC|COM7|KTB
2023-06-09 00:00:00,2023-06-12 00:00:00,MTC|KTB|COM7
2023-06-14 00:00:00,2023-06-15 00:00:00,MTC|KTB|IVL|COM7|PTTGC|BGRIM
2023-06-19 00:00:00,2023-06-20 00:00:00,PTTGC|IVL|KTB|RATCH|BDMS|TOP
2023-06-22 00:00:00,2023-06-23 00:00:00,IVL|KTB|OSP
2023-06-27 00:00:00,2023-06-28 00:00:00,
2023-06-30 00:00:00,2023-07-03 00:00:00,IVL|KTB|HMPRO
2023-07-05 00:00:00,2023-07-06 00:00:00,PTTGC|IVL|HMPRO|TOP|KTB
2023-07-10 00:00:00,2023-07-11 00:00:00,PTTGC
2023-07-13 00:00:00,2023-07-14 00:00:00,PTTGC|TOP|KTB
2023-07-18 00:00:00,2023-07-19 00:00:00,KTB|TOP|COM7|BDMS|PTTGC
2023-07-21 00:00:00,2023-07-24 00:00:00,TOP|COM7|BGRIM|KTB|RATCH|SCGP|LH|BDMS|HMPRO
2023-07-26 00:00:00,2023-07-27 00:00:00,TOP|COM7|SCGP|PTTGC|KTB|BGRIM|GLOBAL|LH|IVL|BDMS|HMPRO
2023-08-02 00:00:00,2023-08-03 00:00:00,TOP|BGRIM|SCGP|KTB|PTTGC|GLOBAL|BDMS|RATCH|IVL|HMPRO
2023-08-07 00:00:00,2023-08-08 00:00:00,TOP|SCGP|BGRIM|GLOBAL|KTB|BDMS|PTTGC
