artifact,first_date,last_date,rows,status,issues
data\pilot\historical_acquisition\ADVANC_ADVANC_BK_2010_2022.csv,2010-01-04,2022-12-30,3167,UNAPPROVED,
data\pilot\historical_acquisition\BANPU_BANPU_BK_2010_2022.csv,2016-10-28,2022-12-30,1500,UNAPPROVED,
data\pilot\historical_acquisition\PTT_PTT_BK_2010_2022.csv,2010-01-04,2022-12-30,3167,UNAPPROVED,
data\pilot\historical_acquisition\TRUE_TRUE_BK_2010_2022.csv,2010-01-04,2022-12-30,3167,UNAPPROVED,
data\pilot\historical_daily\ADVANC_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\AOT_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\AWC_2010_2026.csv,2019-10-10,2026-09-04,1677,UNAPPROVED,
data\pilot\historical_daily\BANPU_2010_2026.csv,2016-10-28,2026-08-11,2380,UNAPPROVED,
data\pilot\historical_daily\BANPUU_2010_2026.csv,,,0,UNAPPROVED,missing Date column
data\pilot\historical_daily\BBL_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\BCP_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\BDMS_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\BEM_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\BGRIM_2010_2026.csv,2017-07-20,2026-09-04,2222,UNAPPROVED,
data\pilot\historical_daily\BH_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\BJC_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\BTS_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\CBG_2010_2026.csv,2014-11-21,2026-09-04,2868,UNAPPROVED,
data\pilot\historical_daily\CCET_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\CENTEL_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\COM7_2010_2026.csv,2015-08-10,2026-09-04,2697,UNAPPROVED,
data\pilot\historical_daily\CPALL_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\CPF_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\CPN_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\CRC_2010_2026.csv,2020-02-20,2026-09-04,1589,UNAPPROVED,
data\pilot\historical_daily\DELTA_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\DTAC_2010_2026.csv,,,0,UNAPPROVED,missing Date column
data\pilot\historical_daily\EA_2010_2026.csv,2013-01-30,2026-09-04,3312,UNAPPROVED,
data\pilot\historical_daily\EGCO_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\GLOBAL_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\GPSC_2010_2026.csv,2015-05-18,2026-09-04,2754,UNAPPROVED,
data\pilot\historical_daily\GULF_2010_2026.csv,2025-04-03,2026-09-04,348,UNAPPROVED,
data\pilot\historical_daily\GULFI_2010_2026.csv,,,0,UNAPPROVED,missing Date column
data\pilot\historical_daily\HMPRO_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\INTUCH_2010_2026.csv,,,0,UNAPPROVED,missing Date column
data\pilot\historical_daily\ITC_2010_2026.csv,2022-12-09,2026-09-04,913,UNAPPROVED,
data\pilot\historical_daily\IVL_2010_2026.csv,2010-02-05,2026-09-04,4041,UNAPPROVED,
data\pilot\historical_daily\JMART_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\JMT_2010_2026.csv,2012-11-27,2026-09-04,3354,UNAPPROVED,
data\pilot\historical_daily\KBANK_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\KCE_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\KKP_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\KTB_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\KTC_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\LH_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\MINT_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\MRDIYT_2010_2026.csv,2025-11-05,2026-09-04,208,UNAPPROVED,
data\pilot\historical_daily\MTC_2010_2026.csv,2014-11-26,2026-09-04,2865,UNAPPROVED,
data\pilot\historical_daily\OR_2010_2026.csv,2021-02-11,2026-09-04,1352,UNAPPROVED,
data\pilot\historical_daily\OSP_2010_2026.csv,2018-10-17,2026-09-04,1917,UNAPPROVED,
data\pilot\historical_daily\PTT_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\PTTEP_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\PTTGC_2010_2026.csv,2011-10-21,2026-09-04,3625,UNAPPROVED,
data\pilot\historical_daily\RATCH_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\SAWAD_2010_2026.csv,2014-05-08,2026-09-04,3003,UNAPPROVED,
data\pilot\historical_daily\SCB_2010_2026.csv,2022-04-20,2026-09-04,1064,UNAPPROVED,
data\pilot\historical_daily\SCC_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\SCGP_2010_2026.csv,2020-10-22,2026-09-04,1426,UNAPPROVED,
data\pilot\historical_daily\TCAP_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\TFG_2010_2026.csv,2015-10-08,2026-09-04,2655,UNAPPROVED,
data\pilot\historical_daily\THAI_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\TIDLOR_2010_2026.csv,2025-05-16,2026-09-04,323,UNAPPROVED,
data\pilot\historical_daily\TISCO_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\TLI_2010_2026.csv,2022-07-25,2026-09-04,1005,UNAPPROVED,
data\pilot\historical_daily\TOP_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\TRUE_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\TRUEE_2010_2026.csv,,,0,UNAPPROVED,missing Date column
data\pilot\historical_daily\TTB_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\TU_2010_2026.csv,2010-01-04,2026-09-04,4065,UNAPPROVED,
data\pilot\historical_daily\VGI_2010_2026.csv,2012-10-11,2026-09-04,3386,UNAPPROVED,
data\pilot\historical_daily\WHA_2010_2026.csv,2012-11-08,2026-09-04,3367,UNAPPROVED,
