artifact,issue_count,issues
data\pilot\historical_acquisition\ADVANC_ADVANC_BK_2010_2022.csv,0,""
data\pilot\historical_acquisition\BANPU_BANPU_BK_2010_2022.csv,0,""
data\pilot\historical_acquisition\PTT_PTT_BK_2010_2022.csv,0,""
data\pilot\historical_acquisition\TRUE_TRUE_BK_2010_2022.csv,0,""
data\pilot\historical_daily\ADVANC_2010_2026.csv,0,""
data\pilot\historical_daily\AOT_2010_2026.csv,0,""
data\pilot\historical_daily\AWC_2010_2026.csv,0,""
data\pilot\historical_daily\BANPU_2010_2026.csv,0,""
data\pilot\historical_daily\BANPUU_2010_2026.csv,1,"missing Date column"
data\pilot\historical_daily\BBL_2010_2026.csv,0,""
data\pilot\historical_daily\BCP_2010_2026.csv,0,""
data\pilot\historical_daily\BDMS_2010_2026.csv,0,""
data\pilot\historical_daily\BEM_2010_2026.csv,0,""
data\pilot\historical_daily\BGRIM_2010_2026.csv,0,""
data\pilot\historical_daily\BH_2010_2026.csv,0,""
data\pilot\historical_daily\BJC_2010_2026.csv,0,""
data\pilot\historical_daily\BTS_2010_2026.csv,0,""
data\pilot\historical_daily\CBG_2010_2026.csv,0,""
data\pilot\historical_daily\CCET_2010_2026.csv,0,""
data\pilot\historical_daily\CENTEL_2010_2026.csv,0,""
data\pilot\historical_daily\COM7_2010_2026.csv,0,""
data\pilot\historical_daily\CPALL_2010_2026.csv,0,""
data\pilot\historical_daily\CPF_2010_2026.csv,0,""
data\pilot\historical_daily\CPN_2010_2026.csv,0,""
data\pilot\historical_daily\CRC_2010_2026.csv,0,""
data\pilot\historical_daily\DELTA_2010_2026.csv,0,""
data\pilot\historical_daily\DTAC_2010_2026.csv,1,"missing Date column"
data\pilot\historical_daily\EA_2010_2026.csv,0,""
data\pilot\historical_daily\EGCO_2010_2026.csv,0,""
data\pilot\historical_daily\GLOBAL_2010_2026.csv,0,""
data\pilot\historical_daily\GPSC_2010_2026.csv,0,""
data\pilot\historical_daily\GULF_2010_2026.csv,0,""
data\pilot\historical_daily\GULFI_2010_2026.csv,1,"missing Date column"
data\pilot\historical_daily\HMPRO_2010_2026.csv,0,""
data\pilot\historical_daily\INTUCH_2010_2026.csv,1,"missing Date column"
data\pilot\historical_daily\ITC_2010_2026.csv,0,""
data\pilot\historical_daily\IVL_2010_2026.csv,0,""
data\pilot\historical_daily\JMART_2010_2026.csv,0,""
data\pilot\historical_daily\JMT_2010_2026.csv,0,""
data\pilot\historical_daily\KBANK_2010_2026.csv,0,""
data\pilot\historical_daily\KCE_2010_2026.csv,0,""
data\pilot\historical_daily\KKP_2010_2026.csv,0,""
data\pilot\historical_daily\KTB_2010_2026.csv,0,""
data\pilot\historical_daily\KTC_2010_2026.csv,0,""
data\pilot\historical_daily\LH_2010_2026.csv,0,""
data\pilot\historical_daily\MINT_2010_2026.csv,0,""
data\pilot\historical_daily\MRDIYT_2010_2026.csv,0,""
data\pilot\historical_daily\MTC_2010_2026.csv,0,""
data\pilot\historical_daily\OR_2010_2026.csv,0,""
data\pilot\historical_daily\OSP_2010_2026.csv,0,""
data\pilot\historical_daily\PTT_2010_2026.csv,0,""
data\pilot\historical_daily\PTTEP_2010_2026.csv,0,""
data\pilot\historical_daily\PTTGC_2010_2026.csv,0,""
data\pilot\historical_daily\RATCH_2010_2026.csv,0,""
data\pilot\historical_daily\SAWAD_2010_2026.csv,0,""
data\pilot\historical_daily\SCB_2010_2026.csv,0,""
data\pilot\historical_daily\SCC_2010_2026.csv,0,""
data\pilot\historical_daily\SCGP_2010_2026.csv,0,""
data\pilot\historical_daily\TCAP_2010_2026.csv,0,""
data\pilot\historical_daily\TFG_2010_2026.csv,0,""
data\pilot\historical_daily\THAI_2010_2026.csv,0,""
data\pilot\historical_daily\TIDLOR_2010_2026.csv,0,""
data\pilot\historical_daily\TISCO_2010_2026.csv,0,""
data\pilot\historical_daily\TLI_2010_2026.csv,0,""
data\pilot\historical_daily\TOP_2010_2026.csv,0,""
data\pilot\historical_daily\TRUE_2010_2026.csv,0,""
data\pilot\historical_daily\TRUEE_2010_2026.csv,1,"missing Date column"
data\pilot\historical_daily\TTB_2010_2026.csv,0,""
data\pilot\historical_daily\TU_2010_2026.csv,0,""
data\pilot\historical_daily\VGI_2010_2026.csv,0,""
data\pilot\historical_daily\WHA_2010_2026.csv,0,""
