fold,design,research_period,oos_period,research_observations,oos_observations,starting_capital,final_equity,gross_return,net_return,volatility,maximum_drawdown,turnover,commission,vat,total_fees,slippage,fills,trade_count,non_fills,unique_symbols_traded,valuation_complete,complete_valuation_snapshots,incomplete_valuation_snapshots,rebalances,boundary_exits,eligibility_exclusions
1,A,"{""start"": ""2023-01-03"", ""end"": ""2024-01-11""}","{""start"": ""2024-01-12"", ""end"": ""2024-05-13""}",250,80,10000000,8802475.703622623675284610227,-0.0982611795087051293582999999,-0.1197524296377376324715389773,0.1271680382005125,-0.1197524296377376324715389773,12.793172289441337647026,200852.80494422900105830820,14059.6963460960300740815740,214912.5012903250311323897740,880088.700000000000000,104,104,62,15,True,80,0,26,0,{}
1,C,"{""start"": ""2023-01-03"", ""end"": ""2024-01-11""}","{""start"": ""2024-01-12"", ""end"": ""2024-05-13""}",250,80,10000000,8802475.703622623675284610227,-0.0982611795087051293582999999,-0.1197524296377376324715389773,0.1271680382005125,-0.1197524296377376324715389773,12.793172289441337647026,200852.80494422900105830820,14059.6963460960300740815740,214912.5012903250311323897740,880088.700000000000000,104,104,62,15,True,80,0,26,0,{}
2,A,"{""start"": ""2023-01-03"", ""end"": ""2024-05-13""}","{""start"": ""2024-05-14"", ""end"": ""2024-09-09""}",330,80,10000000,8513421.061620615893405947191,-0.1294494525002098331153000000,-0.1486578938379384106594052809,0.14644310770756686,-0.2073242719907938236743690494,11.434276646067371595991,179518.14334325773405705870,12566.2700340280413839941090,192084.4133772857754410528090,679258.100000000000000,78,78,76,14,True,80,0,26,0,"{""OUTSIDE_SET50_MEMBERSHIP_PERIOD"": 16}"
2,C,"{""start"": ""2023-01-03"", ""end"": ""2024-05-13""}","{""start"": ""2024-05-14"", ""end"": ""2024-09-09""}",330,80,10000000,8513421.061620615893405947191,-0.1294494525002098331153000000,-0.1486578938379384106594052809,0.14644310770756686,-0.2073242719907938236743690494,11.434276646067371595991,179518.14334325773405705870,12566.2700340280413839941090,192084.4133772857754410528090,679258.100000000000000,78,78,74,14,True,80,0,26,0,"{""OUTSIDE_SET50_MEMBERSHIP_PERIOD"": 16}"
3,A,"{""start"": ""2023-01-03"", ""end"": ""2024-09-09""}","{""start"": ""2024-09-10"", ""end"": ""2025-01-07""}",410,80,10000000,8596890.837291947407388186379,-0.1220976290616036017307999998,-0.1403109162708052592611813621,0.12378709647404738,-0.1757423775885001270120984689,10.8418877368900872256571,170217.63746917436944281647,11915.2346228422058609971529,182132.8720920165753038136229,737592.750000000000000,90,90,62,13,True,80,0,26,0,"{""OUTSIDE_SET50_MEMBERSHIP_PERIOD"": 26}"
3,C,"{""start"": ""2023-01-03"", ""end"": ""2024-09-09""}","{""start"": ""2024-09-10"", ""end"": ""2025-01-07""}",410,80,10000000,8600945.281858702977373271462,-0.1212775220351601129274000002,-0.1399054718141297022626728538,0.13041472429056147,-0.1827139575417198129252456676,11.0887253878026009496237,174092.98858850083490909209,12186.5092011950584436364463,186279.4977896958933527285363,759906.900000000000000,84,84,54,13,True,80,0,26,0,"{""OUTSIDE_SET50_MEMBERSHIP_PERIOD"": 26}"
4,A,"{""start"": ""2023-01-03"", ""end"": ""2025-01-07""}","{""start"": ""2025-01-08"", ""end"": ""2025-05-07""}",490,80,10000000,8509930.522631987347228231880,-0.1292529896067617855341000001,-0.149006947736801265277176812,0.20278506740615362,-0.2157818804797558800662237756,11.7590083517111016983611,184616.43112186429666426927,12923.1501785305007664988489,197539.5813003947974307681189,586971.250000000000000,50,50,26,10,True,80,0,26,0,"{""GULF_PRE_MERGER_CONTINUITY_BOUNDARY"": 19}"
4,C,"{""start"": ""2023-01-03"", ""end"": ""2025-01-07""}","{""start"": ""2025-01-08"", ""end"": ""2025-05-07""}",490,80,10000000,8509930.522631987347228231880,-0.1292529896067617855341000001,-0.149006947736801265277176812,0.20278506740615362,-0.2157818804797558800662237756,11.7590083517111016983611,184616.43112186429666426927,12923.1501785305007664988489,197539.5813003947974307681189,586971.250000000000000,50,50,26,10,True,80,0,26,0,"{""GULF_PRE_MERGER_CONTINUITY_BOUNDARY"": 19}"
5,A,"{""start"": ""2023-01-03"", ""end"": ""2025-05-07""}","{""start"": ""2025-05-08"", ""end"": ""2025-09-05""}",570,80,10000000,9542801.403710237932993358915,-0.02637915530719953483505999967,-0.0457198596289762067006641085,0.18768314203878622,-0.1714050919373542836331825517,11.51300929923011599833568,180754.245997912821173870176,12652.79721985389748217091232,193407.0432177667186560410883,738227.0200000000000000,157,157,62,16,True,80,0,26,1,"{""OUTSIDE_SET50_MEMBERSHIP_PERIOD"": 52}"
5,C,"{""start"": ""2023-01-03"", ""end"": ""2025-05-07""}","{""start"": ""2025-05-08"", ""end"": ""2025-09-05""}",570,80,10000000,9442279.301387330293347318086,-0.03633514568597607744938999987,-0.0557720698612669706652681914,0.18896299213313042,-0.1714050919373542836331825517,11.57028643091308602647669,181653.496965335450615684033,12715.74478757348154309788231,194369.2417529089321587819153,746267.1800000000000000,151,151,55,16,True,80,0,26,1,"{""OUTSIDE_SET50_MEMBERSHIP_PERIOD"": 52}"
