SET Symbol,Yahoo Ticker,Source,Requested Start,Requested End,Actual First Date,Actual Last Date,Rows,Status,Error,Downloaded At,Output File
INTUCH,INTUCH.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,,,0,NO_DATA,Gate 1 status NOT_FOUND; no ticker was guessed or downloaded. INTUCH was combined into Gulf Development Public Company Limited (GULF) effective 2025-04-01. Yahoo metadata returned HTTP 404 for INTUCH.BK; retain INTUCH for pre-merger historical review without rewriting history.,2026-09-07T16:04:14.867857+00:00,
ADVANC,ADVANC.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 1.00 (0.44%),2026-09-07T16:04:14.868224+00:00,data\raw\market_data\ADVANC_BK.csv
AOT,AOT.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,Low above Open/Close by 0.25 (0.36%),2026-09-07T16:04:16.747127+00:00,data\raw\market_data\AOT_BK.csv
AWC,AWC.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,Low above Open/Close by 0.02 (0.49%),2026-09-07T16:04:17.969810+00:00,data\raw\market_data\AWC_BK.csv
BANPU,BANPU.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,881,PARTIAL,High below Open/Close by 0.10 (0.69%); large calendar date gap (>10 days),2026-09-07T16:04:19.240658+00:00,data\raw\market_data\BANPU_BK.csv
BBL,BBL.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.50 (0.31%); Low above Open/Close by 0.50 (0.32%),2026-09-07T16:04:20.530695+00:00,data\raw\market_data\BBL_BK.csv
BCP,BCP.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.50 (1.56%),2026-09-07T16:04:21.811934+00:00,data\raw\market_data\BCP_BK.csv
BDMS,BDMS.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,SUCCESS,Skipped valid existing raw file (resume).,2026-09-07T16:04:23.082739+00:00,data\raw\market_data\BDMS_BK.csv
BEM,BEM.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.05 (0.56%); Low above Open/Close by 0.05 (0.58%),2026-09-07T16:04:23.091170+00:00,data\raw\market_data\BEM_BK.csv
BGRIM,BGRIM.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,SUCCESS,Skipped valid existing raw file (resume).,2026-09-07T16:04:24.356123+00:00,data\raw\market_data\BGRIM_BK.csv
BH,BH.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 2.00 (0.77%); Low above Open/Close by 1.00 (0.37%),2026-09-07T16:04:24.387598+00:00,data\raw\market_data\BH_BK.csv
BJC,BJC.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.25 (0.72%); Low above Open/Close by 0.25 (0.68%),2026-09-07T16:04:25.769621+00:00,data\raw\market_data\BJC_BK.csv
BTS,BTS.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.05 (0.68%),2026-09-07T16:04:27.022472+00:00,data\raw\market_data\BTS_BK.csv
CBG,CBG.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 1.00 (1.19%); Low above Open/Close by 0.50 (0.62%),2026-09-07T16:04:28.330371+00:00,data\raw\market_data\CBG_BK.csv
CCET,CCET.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,Low above Open/Close by 0.04 (2.16%),2026-09-07T16:04:29.574456+00:00,data\raw\market_data\CCET_BK.csv
CENTEL,CENTEL.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,SUCCESS,Skipped valid existing raw file (resume).,2026-09-07T16:04:30.837766+00:00,data\raw\market_data\CENTEL_BK.csv
COM7,COM7.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,SUCCESS,Skipped valid existing raw file (resume).,2026-09-07T16:04:30.848295+00:00,data\raw\market_data\COM7_BK.csv
CPALL,CPALL.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.25 (0.39%),2026-09-07T16:04:30.862819+00:00,data\raw\market_data\CPALL_BK.csv
CPF,CPF.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.10 (0.47%); Low above Open/Close by 0.10 (0.51%),2026-09-07T16:04:32.163533+00:00,data\raw\market_data\CPF_BK.csv
CPN,CPN.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.25 (0.37%); Low above Open/Close by 0.25 (0.38%),2026-09-07T16:04:33.521793+00:00,data\raw\market_data\CPN_BK.csv
CRC,CRC.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,Low above Open/Close by 0.25 (0.66%),2026-09-07T16:04:34.774607+00:00,data\raw\market_data\CRC_BK.csv
DELTA,DELTA.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 2.25 (2.27%),2026-09-07T16:04:35.996172+00:00,data\raw\market_data\DELTA_BK.csv
EA,EA.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,Low above Open/Close by 0.25 (0.43%),2026-09-07T16:04:37.272467+00:00,data\raw\market_data\EA_BK.csv
EGCO,EGCO.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 2.50 (1.73%); Low above Open/Close by 0.50 (0.42%),2026-09-07T16:04:38.527398+00:00,data\raw\market_data\EGCO_BK.csv
GLOBAL,GLOBAL.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,SUCCESS,Skipped valid existing raw file (resume).,2026-09-07T16:04:39.844535+00:00,data\raw\market_data\GLOBAL_BK.csv
GPSC,GPSC.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.25 (0.38%); Low above Open/Close by 0.25 (0.54%),2026-09-07T16:04:39.860935+00:00,data\raw\market_data\GPSC_BK.csv
GULF,GULF.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2025-04-03,2026-09-07,349,SUCCESS,Skipped valid existing raw file (resume).,2026-09-07T16:04:41.118441+00:00,data\raw\market_data\GULF_BK.csv
HMPRO,HMPRO.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,SUCCESS,Skipped valid existing raw file (resume).,2026-09-07T16:04:41.139719+00:00,data\raw\market_data\HMPRO_BK.csv
ITC,ITC.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.30 (1.36%); Low above Open/Close by 0.10 (0.43%),2026-09-07T16:04:41.160852+00:00,data\raw\market_data\ITC_BK.csv
IVL,IVL.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,SUCCESS,Skipped valid existing raw file (resume).,2026-09-07T16:04:42.488043+00:00,data\raw\market_data\IVL_BK.csv
JMART,JMART.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,Low above Open/Close by 0.10 (0.52%),2026-09-07T16:04:42.498938+00:00,data\raw\market_data\JMART_BK.csv
JMT,JMT.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,Low above Open/Close by 0.25 (0.66%),2026-09-07T16:04:43.800515+00:00,data\raw\market_data\JMT_BK.csv
KBANK,KBANK.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.50 (0.39%); Low above Open/Close by 0.50 (0.39%),2026-09-07T16:04:45.061530+00:00,data\raw\market_data\KBANK_BK.csv
KCE,KCE.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.25 (0.54%); Low above Open/Close by 0.25 (0.60%),2026-09-07T16:04:46.399629+00:00,data\raw\market_data\KCE_BK.csv
KKP,KKP.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,SUCCESS,Skipped valid existing raw file (resume).,2026-09-07T16:04:47.691545+00:00,data\raw\market_data\KKP_BK.csv
KTB,KTB.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,SUCCESS,Skipped valid existing raw file (resume).,2026-09-07T16:04:47.709202+00:00,data\raw\market_data\KTB_BK.csv
KTC,KTC.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,Low above Open/Close by 0.75 (1.47%),2026-09-07T16:04:47.724668+00:00,data\raw\market_data\KTC_BK.csv
LH,LH.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,SUCCESS,Skipped valid existing raw file (resume).,2026-09-07T16:04:49.041527+00:00,data\raw\market_data\LH_BK.csv
MINT,MINT.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.25 (0.72%),2026-09-07T16:04:49.055781+00:00,data\raw\market_data\MINT_BK.csv
MRDIYT,MRDIYT.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2025-11-05,2026-09-07,209,SUCCESS,Skipped valid existing raw file (resume).,2026-09-07T16:04:50.360275+00:00,data\raw\market_data\MRDIYT_BK.csv
MTC,MTC.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,SUCCESS,Skipped valid existing raw file (resume).,2026-09-07T16:04:50.372804+00:00,data\raw\market_data\MTC_BK.csv
OR,OR.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.10 (0.44%); Low above Open/Close by 0.10 (0.45%),2026-09-07T16:04:50.391566+00:00,data\raw\market_data\OR_BK.csv
OSP,OSP.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,SUCCESS,Skipped valid existing raw file (resume).,2026-09-07T16:04:51.783999+00:00,data\raw\market_data\OSP_BK.csv
PTT,PTT.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.25 (0.79%); Low above Open/Close by 0.25 (0.79%),2026-09-07T16:04:51.793347+00:00,data\raw\market_data\PTT_BK.csv
PTTEP,PTTEP.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,Low above Open/Close by 0.50 (0.34%),2026-09-07T16:04:53.077148+00:00,data\raw\market_data\PTTEP_BK.csv
PTTGC,PTTGC.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,SUCCESS,Skipped valid existing raw file (resume).,2026-09-07T16:04:54.492295+00:00,data\raw\market_data\PTTGC_BK.csv
RATCH,RATCH.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,SUCCESS,Skipped valid existing raw file (resume).,2026-09-07T16:04:54.511521+00:00,data\raw\market_data\RATCH_BK.csv
SAWAD,SAWAD.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.21 (0.43%); Low above Open/Close by 0.21 (0.55%),2026-09-07T16:04:54.562071+00:00,data\raw\market_data\SAWAD_BK.csv
SCB,SCB.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,Low above Open/Close by 0.50 (0.50%),2026-09-07T16:04:55.861558+00:00,data\raw\market_data\SCB_BK.csv
SCC,SCC.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 2.00 (0.59%); Low above Open/Close by 1.00 (0.31%),2026-09-07T16:04:57.125995+00:00,data\raw\market_data\SCC_BK.csv
SCGP,SCGP.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,SUCCESS,Skipped valid existing raw file (resume).,2026-09-07T16:04:58.432760+00:00,data\raw\market_data\SCGP_BK.csv
TCAP,TCAP.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.50 (1.00%),2026-09-07T16:04:58.451173+00:00,data\raw\market_data\TCAP_BK.csv
TFG,TFG.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.02 (0.50%); Low above Open/Close by 0.06 (1.57%),2026-09-07T16:05:01.075851+00:00,data\raw\market_data\TFG_BK.csv
THAI,THAI.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,SUCCESS,Skipped valid existing raw file (resume).,2026-09-07T16:05:02.452716+00:00,data\raw\market_data\THAI_BK.csv
TIDLOR,TIDLOR.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2025-05-16,2026-09-07,324,PARTIAL_KNOWN_GAP,"Skipped valid existing raw file (resume). Ngern Tid Lor PCL, listed 2021-05-10, was delisted 2025-05-15 and replaced by Tidlor Holdings PCL under the same ticker via a 1:1 share swap. Yahoo Finance TIDLOR.BK provides the new holding-company entity from 2025-05-15 onward; pre-merger history is not available under this ticker.",2026-09-07T16:05:02.468742+00:00,data\raw\market_data\TIDLOR_BK.csv
TISCO,TISCO.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.25 (0.26%),2026-09-07T16:05:02.484388+00:00,data\raw\market_data\TISCO_BK.csv
TLI,TLI.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.10 (0.77%),2026-09-07T16:05:03.761384+00:00,data\raw\market_data\TLI_BK.csv
TOP,TOP.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,SUCCESS,Skipped valid existing raw file (resume).,2026-09-07T16:05:05.118356+00:00,data\raw\market_data\TOP_BK.csv
TRUE,TRUE.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.05 (0.70%); Low above Open/Close by 0.05 (0.76%),2026-09-07T16:05:05.129489+00:00,data\raw\market_data\TRUE_BK.csv
TTB,TTB.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.01 (0.58%); Low above Open/Close by 0.01 (0.58%),2026-09-07T16:05:06.510961+00:00,data\raw\market_data\TTB_BK.csv
TU,TU.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,Low above Open/Close by 0.10 (0.68%),2026-09-07T16:05:07.798255+00:00,data\raw\market_data\TU_BK.csv
VGI,VGI.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,Low above Open/Close by 0.02 (0.74%),2026-09-07T16:05:09.098986+00:00,data\raw\market_data\VGI_BK.csv
WHA,WHA.BK,Yahoo Finance via yfinance,2023-01-01,2026-12-31,2023-01-03,2026-09-07,899,PARTIAL,High below Open/Close by 0.05 (0.98%),2026-09-07T16:05:10.386830+00:00,data\raw\market_data\WHA_BK.csv
