yahoo_ticker,set_symbols,membership_periods,requested_start,requested_end,requested_end_exclusive,actual_first_date,actual_last_date,rows,status,depth_status,request_mode,validation_status,coverage_issues,validation_issues,error,output_file
ADVANC.BK,ADVANC,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 1.00 (0.44%),,data\pilot\historical_depth_experiment\ADVANC_BK.csv
AOT.BK,AOT,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,Low above Open/Close by 0.25 (0.36%),,data\pilot\historical_depth_experiment\AOT_BK.csv
AWC.BK,AWC,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2019-10-10,2026-09-18,1687,PARTIAL,START_AFTER_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2019-10-10 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,Low above Open/Close by 0.02 (0.49%),,data\pilot\historical_depth_experiment\AWC_BK.csv
BANPU.BK,BANPU,"2023_H1,2023_H2,2024_H1,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-10-28,2026-09-18,2382,PARTIAL,START_AFTER_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-10-28 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,missing values in Open; missing values in High; missing values in Low; missing values in Close; High below Open/Close by 0.10 (0.69%); large calendar date gap (>10 days): 2026-08-11 -> 2026-09-11 (30 calendar days),,data\pilot\historical_depth_experiment\BANPU_BK.csv
BBL.BK,BBL,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.50 (0.31%); Low above Open/Close by 0.50 (0.32%),,data\pilot\historical_depth_experiment\BBL_BK.csv
BCP.BK,BCP,"2024_H2,2025_H2,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.50 (1.56%),,data\pilot\historical_depth_experiment\BCP_BK.csv
BDMS.BK,BDMS,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,PASS,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,,,data\pilot\historical_depth_experiment\BDMS_BK.csv
BEM.BK,BEM,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.05 (0.56%); Low above Open/Close by 0.05 (0.58%),,data\pilot\historical_depth_experiment\BEM_BK.csv
BGRIM.BK,BGRIM,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1",2016-01-01,2026-09-19,2026-09-20,2017-07-20,2026-09-18,2232,PARTIAL,START_AFTER_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2017-07-20 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.50 (1.04%),,data\pilot\historical_depth_experiment\BGRIM_BK.csv
BH.BK,BH,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 2.00 (0.77%); Low above Open/Close by 1.00 (0.37%),,data\pilot\historical_depth_experiment\BH_BK.csv
