symbol,first_membership_period,last_membership_period,membership_periods,membership_row_count
ADVANC,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
AOT,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
AWC,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
BANPU,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2025_H1,2025_H2,2026_H1,2026_H2",7
BBL,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
BCP,2024_H2,2026_H2,"2024_H2,2025_H2,2026_H2",3
BDMS,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
BEM,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
BGRIM,2023_H1,2025_H1,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1",5
BH,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
BJC,2024_H2,2026_H2,"2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",5
BTS,2023_H1,2026_H1,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1",7
CBG,2023_H1,2026_H1,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1",7
CCET,2025_H1,2026_H2,"2025_H1,2025_H2,2026_H1,2026_H2",4
CENTEL,2023_H1,2026_H1,"2023_H1,2023_H2,2024_H1,2024_H2,2026_H1",5
COM7,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2025_H1,2025_H2,2026_H1,2026_H2",7
CPALL,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
CPF,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
CPN,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
CRC,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
DELTA,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
EA,2023_H1,2024_H2,"2023_H1,2023_H2,2024_H1,2024_H2",4
EGCO,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
GLOBAL,2023_H1,2025_H1,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1",5
GPSC,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
GULF,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
HMPRO,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
INTUCH,2023_H1,2025_H1,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1",5
ITC,2024_H2,2025_H1,"2024_H2,2025_H1",2
IVL,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
JMART,2023_H1,2023_H1,2023_H1,1
JMT,2023_H1,2023_H1,2023_H1,1
KBANK,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
KCE,2024_H1,2024_H1,2024_H1,1
KKP,2025_H2,2026_H2,"2025_H2,2026_H1,2026_H2",3
KTB,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
KTC,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
LH,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
MINT,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
MRDIYT,2026_H2,2026_H2,2026_H2,1
MTC,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
OR,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
OSP,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
PTT,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
PTTEP,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
PTTGC,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
RATCH,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
SAWAD,2023_H1,2026_H1,"2023_H1,2023_H2,2024_H1,2025_H1,2026_H1",5
SCB,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
SCC,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
SCGP,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
TCAP,2025_H2,2026_H2,"2025_H2,2026_H1,2026_H2",3
TFG,2026_H2,2026_H2,2026_H2,1
THAI,2026_H2,2026_H2,2026_H2,1
TIDLOR,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H2,2025_H2,2026_H1,2026_H2",6
TISCO,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
TLI,2023_H2,2026_H2,"2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",7
TOP,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
TRUE,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
TTB,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",8
