symbol,yahoo_ticker,mapping_status,first_membership_period,last_membership_period,membership_periods,expected_start,expected_end,actual_start,actual_end,row_count,status,gap_count,largest_gap_days,validation_status,corporate_action_flag,error,notes
ADVANC,ADVANC.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 1.00 (0.44%),existing pilot file reused; production overlap dates=898; production file read-only
AOT,AOT.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,Low above Open/Close by 0.25 (0.36%),existing pilot file reused; production overlap dates=898; production file read-only
AWC,AWC.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,Low above Open/Close by 0.02 (0.49%),existing pilot file reused; production overlap dates=898; production file read-only
BANPU,BANPU.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1004,PARTIAL,1,30,ISSUES,True,missing values in Open; missing values in High; missing values in Low; missing values in Close; High below Open/Close by 0.10 (0.69%); large calendar date gap (>10 days): 2026-08-11 -> 2026-09-11 (30 calendar days),BANPU/BANPUU corporate-action context requires identity review.; existing pilot file reused; production overlap dates=880; production file read-only
BBL,BBL.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.50 (0.31%); Low above Open/Close by 0.50 (0.32%),existing pilot file reused; production overlap dates=898; production file read-only
BCP,BCP.BK,VERIFIED,2024_H2,2026_H2,"2024_H2,2025_H2,2026_H2",2024-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.50 (1.56%),existing pilot file reused; production overlap dates=898; production file read-only
BDMS,BDMS.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,FULL,0,0,PASS,False,,existing pilot file reused; production overlap dates=898; production file read-only
BEM,BEM.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.05 (0.56%); Low above Open/Close by 0.05 (0.58%),existing pilot file reused; production overlap dates=898; production file read-only
BGRIM,BGRIM.BK,VERIFIED,2022_H2,2025_H1,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1",2022-07-01,2025-06-30,2022-07-01,2026-09-18,1030,FULL,0,0,PASS,False,,existing pilot file reused; production overlap dates=898; production file read-only
BH,BH.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 2.00 (0.77%); Low above Open/Close by 1.00 (0.37%),existing pilot file reused; production overlap dates=898; production file read-only
BJC,BJC.BK,VERIFIED,2024_H2,2026_H2,"2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2024-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.25 (0.72%); Low above Open/Close by 0.25 (0.68%),existing pilot file reused; production overlap dates=898; production file read-only
BLA,,UNMAPPED,2022_H2,2022_H2,2022_H2,2022-07-01,2022-12-31,,,0,UNMAPPED,0,0,NOT_RUN,False,Yahoo mapping status=UNMAPPED; no ticker guessed.,
BTS,BTS.BK,VERIFIED,2022_H2,2026_H1,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1",2022-07-01,2026-06-30,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.05 (0.68%),existing pilot file reused; production overlap dates=898; production file read-only
CBG,CBG.BK,VERIFIED,2022_H2,2026_H1,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1",2022-07-01,2026-06-30,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 1.00 (1.19%); Low above Open/Close by 0.50 (0.62%),existing pilot file reused; production overlap dates=898; production file read-only
CCET,CCET.BK,VERIFIED,2025_H1,2026_H2,"2025_H1,2025_H2,2026_H1,2026_H2",2025-01-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,Low above Open/Close by 0.04 (2.16%),existing pilot file reused; production overlap dates=898; production file read-only
CENTEL,CENTEL.BK,VERIFIED,2023_H1,2026_H1,"2023_H1,2023_H2,2024_H1,2024_H2,2026_H1",2023-01-01,2026-06-30,2022-07-01,2026-09-18,1030,FULL,0,0,PASS,False,,existing pilot file reused; production overlap dates=898; production file read-only
COM7,COM7.BK,VERIFIED,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2025_H1,2025_H2,2026_H1,2026_H2",2023-01-01,2026-09-18,2022-07-01,2026-09-18,1030,FULL,0,0,PASS,False,,existing pilot file reused; production overlap dates=898; production file read-only
CPALL,CPALL.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.25 (0.39%),existing pilot file reused; production overlap dates=898; production file read-only
CPF,CPF.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.10 (0.49%); Low above Open/Close by 0.10 (0.51%),existing pilot file reused; production overlap dates=898; production file read-only
CPN,CPN.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.25 (0.37%); Low above Open/Close by 0.25 (0.38%),existing pilot file reused; production overlap dates=898; production file read-only
CRC,CRC.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,Low above Open/Close by 0.25 (0.66%),existing pilot file reused; production overlap dates=898; production file read-only
DELTA,DELTA.BK,VERIFIED,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2023-01-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 2.25 (2.27%),existing pilot file reused; production overlap dates=898; production file read-only
DTAC,,UNMAPPED,2022_H2,2022_H2,2022_H2,2022-07-01,2022-12-31,,,0,UNMAPPED,0,0,NOT_RUN,False,Yahoo mapping status=UNMAPPED; no ticker guessed.,
EA,EA.BK,VERIFIED,2022_H2,2024_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2",2022-07-01,2024-12-31,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,Low above Open/Close by 0.25 (0.43%),existing pilot file reused; production overlap dates=898; production file read-only
EGCO,EGCO.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 2.50 (1.73%); Low above Open/Close by 0.50 (0.42%),existing pilot file reused; production overlap dates=898; production file read-only
GLOBAL,GLOBAL.BK,VERIFIED,2022_H2,2025_H1,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1",2022-07-01,2025-06-30,2022-07-01,2026-09-18,1030,FULL,0,0,PASS,False,,existing pilot file reused; production overlap dates=898; production file read-only
GPSC,GPSC.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.25 (0.38%); Low above Open/Close by 0.25 (0.54%),existing pilot file reused; production overlap dates=898; production file read-only
GULF,GULF.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2025-04-03,2026-09-18,358,PARTIAL,0,0,PASS,True,coverage starts after requested start: 2025-04-03 > 2022-07-01,INTUCH/GULF combination effective 2025-04-01 requires identity review.; existing pilot file reused; production overlap dates=348; production file read-only
HMPRO,HMPRO.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,FULL,0,0,PASS,False,,existing pilot file reused; production overlap dates=898; production file read-only
INTUCH,INTUCH.BK,NOT_FOUND,2022_H2,2025_H1,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1",2022-07-01,2025-06-30,,,0,NO_DATA,0,0,NOT_RUN,True,Yahoo mapping status=NOT_FOUND; no ticker guessed.,INTUCH/GULF combination effective 2025-04-01 requires identity review.
IRPC,,UNMAPPED,2022_H2,2022_H2,2022_H2,2022-07-01,2022-12-31,,,0,UNMAPPED,0,0,NOT_RUN,False,Yahoo mapping status=UNMAPPED; no ticker guessed.,
ITC,ITC.BK,VERIFIED,2024_H2,2025_H1,"2024_H2,2025_H1",2024-07-01,2025-06-30,2022-12-09,2026-09-18,923,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.30 (1.36%); Low above Open/Close by 0.10 (0.54%),existing pilot file reused; production overlap dates=898; production file read-only
IVL,IVL.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,FULL,0,0,PASS,False,,existing pilot file reused; production overlap dates=898; production file read-only
