symbol,first_membership_period,last_membership_period,membership_periods
ADVANC,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
AOT,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
AWC,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
BANPU,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2025_H1,2025_H2,2026_H1,2026_H2"
BBL,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
BCP,2024_H2,2026_H2,"2024_H2,2025_H2,2026_H2"
BDMS,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
BEM,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
BGRIM,2022_H2,2025_H1,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1"
BH,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
BJC,2024_H2,2026_H2,"2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
BLA,2022_H2,2022_H2,2022_H2
BTS,2022_H2,2026_H1,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1"
CBG,2022_H2,2026_H1,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1"
CCET,2025_H1,2026_H2,"2025_H1,2025_H2,2026_H1,2026_H2"
CENTEL,2023_H1,2026_H1,"2023_H1,2023_H2,2024_H1,2024_H2,2026_H1"
COM7,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2025_H1,2025_H2,2026_H1,2026_H2"
CPALL,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
CPF,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
CPN,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
CRC,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
DELTA,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
DTAC,2022_H2,2022_H2,2022_H2
EA,2022_H2,2024_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2"
EGCO,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
GLOBAL,2022_H2,2025_H1,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1"
GPSC,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
GULF,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
HMPRO,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
INTUCH,2022_H2,2025_H1,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1"
IRPC,2022_H2,2022_H2,2022_H2
ITC,2024_H2,2025_H1,"2024_H2,2025_H1"
IVL,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
JMART,2022_H2,2023_H1,"2022_H2,2023_H1"
JMT,2022_H2,2023_H1,"2022_H2,2023_H1"
KBANK,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
KCE,2022_H2,2024_H1,"2022_H2,2024_H1"
KKP,2025_H2,2026_H2,"2025_H2,2026_H1,2026_H2"
KTB,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
KTC,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
LH,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
MINT,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
MRDIYT,2026_H2,2026_H2,2026_H2
MTC,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
OR,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
OSP,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
PTT,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
PTTEP,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
PTTGC,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
RATCH,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
SAWAD,2022_H2,2026_H1,"2022_H2,2023_H1,2023_H2,2024_H1,2025_H1,2026_H1"
SCB,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
SCC,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
SCGP,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
TCAP,2025_H2,2026_H2,"2025_H2,2026_H1,2026_H2"
TFG,2026_H2,2026_H2,2026_H2
THAI,2026_H2,2026_H2,2026_H2
TIDLOR,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H2,2025_H2,2026_H1,2026_H2"
TISCO,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
TLI,2023_H2,2026_H2,"2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
TOP,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
TRUE,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
TTB,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
TU,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
VGI,2025_H2,2025_H2,2025_H2
WHA,2023_H2,2026_H2,"2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2"
