symbol,universe_status,quote,daily,intraday_1m,intraday_5m,intraday_15m,mapping_status
ADVANC,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
AOT,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
AWC,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
BANPU,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
BBL,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
BCP,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
BDMS,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
BEM,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
BH,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
BJC,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
CCET,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
COM7,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
CPALL,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
CPF,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
CPN,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
CRC,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
DELTA,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
EGCO,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
GPSC,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
GULF,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
HMPRO,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
IVL,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
KBANK,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
KKP,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
KTB,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
KTC,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
LH,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
MINT,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
MRDIYT,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
MTC,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
OR,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
OSP,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
PTT,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
PTTEP,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
PTTGC,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
RATCH,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
SCB,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
SCC,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
SCGP,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
TCAP,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
TFG,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
THAI,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
TIDLOR,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
TISCO,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
TLI,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
TOP,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
TRUE,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
TTB,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
TU,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
WHA,VERIFIED_OFFICIAL,True,True,True,True,True,SUPPORTED
