15m_accessible,15m_fields,15m_first,15m_last,15m_rows,1m_accessible,1m_fields,1m_first,1m_last,1m_rows,5m_accessible,5m_fields,5m_first,5m_last,5m_rows,symbol
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789633800,1789637400,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789637160,1789637940,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636200,1789637700,5,ADVANC
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789633800,1789637400,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789637040,1789637940,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636200,1789637700,5,AOT
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789633800,1789637400,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636980,1789637940,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636200,1789637700,5,AWC
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636980,1789637340,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,BANPU
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636860,1789637280,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,BBL
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789372800,1789633800,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789530960,1789634280,4,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789372800,1789634100,5,BCP
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789633800,1789637400,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789637040,1789637940,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636200,1789637700,5,BDMS
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789464600,1789637400,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789527480,1789637940,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789464900,1789637700,5,BEM
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789637040,1789637280,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,BH
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636860,1789637340,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,BJC
