"symbol","interval","status","rows","first","last"
"BDMS","1m","True","5","1789637040","1789637940"
"BDMS","5m","True","5","1789636200","1789637700"
"BDMS","15m","True","5","1789633800","1789637400"
"BGRIM","1m","True","1","1789534800","1789534800"
"BGRIM","5m","True","1","1789534800","1789534800"
"BGRIM","15m","True","1","1789534800","1789534800"
"CENTEL","1m","True","0","",""
"CENTEL","5m","True","1","1789378500","1789378500"
"CENTEL","15m","True","1","1789378200","1789378200"
"COM7","1m","True","2","1789634280","1789634340"
"COM7","5m","True","5","1789370400","1789634100"
"COM7","15m","True","5","1789370100","1789633800"
"GLOBAL","1m","True","0","",""
"GLOBAL","5m","True","0","",""
"GLOBAL","15m","True","0","",""
"GULF","1m","True","5","1789636800","1789637340"
"GULF","5m","True","5","1789635900","1789637100"
"GULF","15m","True","5","1789632900","1789636500"
"HMPRO","1m","True","5","1789465140","1789637940"
"HMPRO","5m","True","5","1789464300","1789637700"
"HMPRO","15m","True","5","1789463700","1789637400"
"IVL","1m","True","5","1789530600","1789634340"
"IVL","5m","True","5","1789378500","1789634100"
"IVL","15m","True","5","1789377300","1789633800"
"KKP","1m","True","5","1789637100","1789637340"
"KKP","5m","True","5","1789635900","1789637100"
"KKP","15m","True","5","1789632900","1789636500"
"KTB","1m","True","5","1789628280","1789634340"
"KTB","5m","True","5","1789622700","1789634100"
"KTB","15m","True","5","1789622100","1789633800"
"LH","1m","True","5","1789636980","1789637340"
"LH","5m","True","5","1789635900","1789637100"
"LH","15m","True","5","1789632900","1789636500"
"MRDIYT","1m","True","1","1789542060","1789542060"
"MRDIYT","5m","True","4","1789371900","1789542000"
"MRDIYT","15m","True","4","1789371900","1789542000"
"MTC","1m","True","5","1789616400","1789637940"
"MTC","5m","True","5","1789614000","1789637700"
"MTC","15m","True","5","1789464600","1789637400"
"OSP","1m","True","5","1789637040","1789637280"
"OSP","5m","True","5","1789635900","1789637100"
"OSP","15m","True","5","1789632900","1789636500"
"PTTGC","1m","True","3","1789621140","1789634340"
"PTTGC","5m","True","5","1789372800","1789634100"
"PTTGC","15m","True","5","1789372800","1789633800"
"RATCH","1m","True","3","1789634280","1789637940"
"RATCH","5m","True","5","1789376400","1789637700"
"RATCH","15m","True","5","1789373700","1789637400"
"SCGP","1m","True","5","1789621200","1789637940"
"SCGP","5m","True","5","1789614300","1789637700"
"SCGP","15m","True","5","1789614000","1789637400"
"THAI","1m","True","5","1789634280","1789637160"
"THAI","5m","True","5","1789620900","1789637100"
"THAI","15m","True","5","1789377300","1789636500"
"TIDLOR","1m","True","5","1789637160","1789637940"
"TIDLOR","5m","True","5","1789636200","1789637700"
"TIDLOR","15m","True","5","1789633800","1789637400"
"TOP","1m","True","5","1789637100","1789637340"
"TOP","5m","True","5","1789635900","1789637100"
"TOP","15m","True","5","1789632900","1789636500"
