"symbol","quote_accessible","quote_error","market_status","last_observed","quote_fields"
"BDMS","True",,"Close","","['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']"
"BGRIM","True",,"Close","","['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']"
"CENTEL","True",,"Close","","['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']"
"COM7","True",,"Close","","['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']"
"GLOBAL","True",,"Close","","['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']"
"GULF","True",,"Close","","['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']"
"HMPRO","True",,"Close","","['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']"
"IVL","True",,"Close","","['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']"
"KKP","True",,"Close","","['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']"
"KTB","True",,"Close","","['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']"
