symbol,daily_latest_observed,daily_probe_status,historical_boundary,intraday_status
ADVANC,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
AOT,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
AWC,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
BANPU,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
BBL,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
BCP,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
BDMS,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
BEM,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
BH,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
BJC,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
CCET,1787245200,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
COM7,1787245200,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
CPALL,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
CPF,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
CPN,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
CRC,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
DELTA,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
EGCO,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
GPSC,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
GULF,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
