15m_accessible,15m_fields,15m_first,15m_last,15m_rows,1d_accessible,1d_fields,1d_first,1d_last,1d_rows,1m_accessible,1m_fields,1m_first,1m_last,1m_rows,5m_accessible,5m_fields,5m_first,5m_last,5m_rows,last_observed,market_status,quote_accessible,quote_fields,symbol
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789633800,1789637400,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1786986000,1789491600,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789637160,1789637940,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636200,1789637700,5,147.5,Close,True,"['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']",ADVANC
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789633800,1789637400,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1786986000,1789491600,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789637040,1789637940,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636200,1789637700,5,64.5,Close,True,"['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']",AOT
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789633800,1789637400,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1786986000,1789491600,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636980,1789637940,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636200,1789637700,5,2.44,Close,True,"['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']",AWC
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1786986000,1789491600,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636980,1789637340,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,14.9,Close,True,"['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']",BANPU
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1786986000,1789491600,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636860,1789637280,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,180.5,Close,True,"['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']",BBL
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789372800,1789633800,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1786986000,1789491600,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789530960,1789634280,4,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789372800,1789634100,5,53.75,Close,True,"['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']",BCP
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789633800,1789637400,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1786986000,1789491600,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789637040,1789637940,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636200,1789637700,5,15.65,Close,True,"['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']",BDMS
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789464600,1789637400,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1786986000,1789491600,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789527480,1789637940,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789464900,1789637700,5,6.5,Close,True,"['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']",BEM
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1786986000,1789491600,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789637040,1789637280,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,209.0,Close,True,"['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']",BH
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1786986000,1789491600,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636860,1789637340,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,17.0,Close,True,"['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']",BJC
