symbol,date,settrade_volume,settrade_value,local_status,local_volume,ratio_settrade_local,classification
ADVANC,2026-01-05,8242575,0,PRESENT,8238300.0,1.0005189177378828,RATIO_OBSERVED
ADVANC,2026-01-06,6545369,0,PRESENT,6542500.0,1.0004385173863202,RATIO_OBSERVED
ADVANC,2026-01-07,4614655,0,PRESENT,4612300.0,1.0005105912451489,RATIO_OBSERVED
ADVANC,2026-01-08,3193738,0,PRESENT,3192700.0,1.000325116672409,RATIO_OBSERVED
ADVANC,2026-01-09,2677592,0,PRESENT,2676400.0,1.0004453743835002,RATIO_OBSERVED
AOT,2026-01-05,32176588,0,PRESENT,32172700.0,1.0001208477995318,RATIO_OBSERVED
AOT,2026-01-06,60663541,0,PRESENT,60655100.0,1.000139163895534,RATIO_OBSERVED
AOT,2026-01-07,27781801,0,PRESENT,27778000.0,1.0001368349053208,RATIO_OBSERVED
AOT,2026-01-08,24967448,0,PRESENT,24964900.0,1.000102063296869,RATIO_OBSERVED
AOT,2026-01-09,19177371,0,PRESENT,19175000.0,1.0001236505867015,RATIO_OBSERVED
AWC,2026-01-05,56301554,0,PRESENT,56300300.0,1.0000222734159498,RATIO_OBSERVED
AWC,2026-01-06,22941567,0,PRESENT,22940800.0,1.0000334338819918,RATIO_OBSERVED
AWC,2026-01-07,27982511,0,PRESENT,27982000.0,1.0000182617396898,RATIO_OBSERVED
AWC,2026-01-08,39783136,0,PRESENT,39782600.0,1.0000134732269887,RATIO_OBSERVED
AWC,2026-01-09,26480378,0,PRESENT,26479800.0,1.0000218279594257,RATIO_OBSERVED
BBL,2026-01-05,9715377,0,PRESENT,9713000.0,1.0002447235663543,RATIO_OBSERVED
BBL,2026-01-06,5127551,0,PRESENT,5125800.0,1.0003416052128449,RATIO_OBSERVED
BBL,2026-01-07,6801815,0,PRESENT,6797400.0,1.000649513049107,RATIO_OBSERVED
BBL,2026-01-08,6950339,0,PRESENT,6948600.0,1.0002502662406816,RATIO_OBSERVED
BBL,2026-01-09,6351758,0,PRESENT,6350100.0,1.0002610982504212,RATIO_OBSERVED
BCP,2026-01-05,6384195,0,PRESENT,6382200.0,1.0003125881357526,RATIO_OBSERVED
BCP,2026-01-06,19397976,0,PRESENT,19395400.0,1.0001328149973705,RATIO_OBSERVED
BCP,2026-01-07,4578017,0,PRESENT,4577400.0,1.0001347926770656,RATIO_OBSERVED
BCP,2026-01-08,9237692,0,PRESENT,9236200.0,1.0001615382949698,RATIO_OBSERVED
BCP,2026-01-09,6040495,0,PRESENT,6039400.0,1.000181309401596,RATIO_OBSERVED
BDMS,2026-01-05,37954215,0,PRESENT,37946300.0,1.0002085842361443,RATIO_OBSERVED
BDMS,2026-01-06,43797708,0,PRESENT,43789200.0,1.0001942944835713,RATIO_OBSERVED
BDMS,2026-01-07,58315145,0,PRESENT,58310500.0,1.0000796597525317,RATIO_OBSERVED
BDMS,2026-01-08,42084155,0,PRESENT,42078900.0,1.000124884443272,RATIO_OBSERVED
BDMS,2026-01-09,60253204,0,PRESENT,60233600.0,1.0003254661849865,RATIO_OBSERVED
BEM,2026-01-05,15215689,0,PRESENT,15214900.0,1.0000518570611703,RATIO_OBSERVED
BEM,2026-01-06,6021560,0,PRESENT,6020800.0,1.0001262290725486,RATIO_OBSERVED
BEM,2026-01-07,4554860,0,PRESENT,4554500.0,1.000079042705017,RATIO_OBSERVED
BEM,2026-01-08,9439345,0,PRESENT,9438800.0,1.0000577403907276,RATIO_OBSERVED
BEM,2026-01-09,8367539,0,PRESENT,8367200.0,1.0000405153456353,RATIO_OBSERVED
BH,2026-01-05,2715625,0,PRESENT,2713800.0,1.0006724887611467,RATIO_OBSERVED
BH,2026-01-06,7408893,0,PRESENT,7402400.0,1.0008771479520155,RATIO_OBSERVED
BH,2026-01-07,7255977,0,PRESENT,7254100.0,1.0002587502240112,RATIO_OBSERVED
BH,2026-01-08,5521661,0,PRESENT,5518200.0,1.0006271972744736,RATIO_OBSERVED
BH,2026-01-09,11825551,0,PRESENT,11815900.0,1.0008167807784427,RATIO_OBSERVED
BJC,2026-01-05,8939733,0,PRESENT,8937400.0,1.0002610378857386,RATIO_OBSERVED
BJC,2026-01-06,4292925,0,PRESENT,4292600.0,1.0000757116898848,RATIO_OBSERVED
BJC,2026-01-07,6824181,0,PRESENT,6823600.0,1.0000851456709068,RATIO_OBSERVED
BJC,2026-01-08,6348625,0,PRESENT,6348000.0,1.0000984562066793,RATIO_OBSERVED
BJC,2026-01-09,1823106,0,PRESENT,1822600.0,1.00027762537035,RATIO_OBSERVED
CCET,2026-01-05,24462954,0,PRESENT,24462200.0,1.0000308230657913,RATIO_OBSERVED
CCET,2026-01-06,15936094,0,PRESENT,15935600.0,1.0000309997740908,RATIO_OBSERVED
CCET,2026-01-07,14174799,0,PRESENT,14174600.0,1.0000140391968733,RATIO_OBSERVED
CCET,2026-01-08,14425568,0,PRESENT,14425200.0,1.0000255109114604,RATIO_OBSERVED
CCET,2026-01-09,7843536,0,PRESENT,7843300.0,1.0000300893756455,RATIO_OBSERVED
COM7,2026-01-05,18916187,0,PRESENT,18913400.0,1.0001473558429472,RATIO_OBSERVED
COM7,2026-01-06,13522440,0,PRESENT,13521700.0,1.0000547268464763,RATIO_OBSERVED
COM7,2026-01-07,10669916,0,PRESENT,10669500.0,1.000038989643376,RATIO_OBSERVED
COM7,2026-01-08,10039354,0,PRESENT,10038500.0,1.0000850724709867,RATIO_OBSERVED
COM7,2026-01-09,10426602,0,PRESENT,10424600.0,1.000192045737966,RATIO_OBSERVED
CPALL,2026-01-05,27343815,0,PRESENT,27331200.0,1.0004615604144713,RATIO_OBSERVED
CPALL,2026-01-06,30571455,0,PRESENT,30563300.0,1.0002668232815173,RATIO_OBSERVED
CPALL,2026-01-07,14097773,0,PRESENT,14090800.0,1.000494861895705,RATIO_OBSERVED
CPALL,2026-01-08,22315247,0,PRESENT,22304800.0,1.0004683745202827,RATIO_OBSERVED
CPALL,2026-01-09,16573148,0,PRESENT,16565800.0,1.000443564452064,RATIO_OBSERVED
CPF,2026-01-05,11467683,0,PRESENT,11466200.0,1.00012933665905,RATIO_OBSERVED
CPF,2026-01-06,14315053,0,PRESENT,14313400.0,1.0001154861877681,RATIO_OBSERVED
CPF,2026-01-07,16738223,0,PRESENT,16737000.0,1.0000730716376889,RATIO_OBSERVED
CPF,2026-01-08,16704661,0,PRESENT,16703600.0,1.0000635192413612,RATIO_OBSERVED
CPF,2026-01-09,9976828,0,PRESENT,9976300.0,1.0000529254332768,RATIO_OBSERVED
CPN,2026-01-05,5776678,0,PRESENT,5775800.0,1.0001520135738773,RATIO_OBSERVED
CPN,2026-01-06,3774929,0,PRESENT,3774300.0,1.000166653419177,RATIO_OBSERVED
CPN,2026-01-07,3322887,0,PRESENT,3322500.0,1.0001164785553047,RATIO_OBSERVED
CPN,2026-01-08,6554666,0,PRESENT,6553900.0,1.0001168769740154,RATIO_OBSERVED
CPN,2026-01-09,7214881,0,PRESENT,7214600.0,1.0000389487982702,RATIO_OBSERVED
CRC,2026-01-05,12514382,0,PRESENT,12512900.0,1.000118437772219,RATIO_OBSERVED
CRC,2026-01-06,7016669,0,PRESENT,7015900.0,1.0001096081757153,RATIO_OBSERVED
CRC,2026-01-07,11568706,0,PRESENT,11568100.0,1.0000523854392684,RATIO_OBSERVED
CRC,2026-01-08,17688816,0,PRESENT,17685600.0,1.0001818428552043,RATIO_OBSERVED
CRC,2026-01-09,5692275,0,PRESENT,5691100.0,1.0002064627224965,RATIO_OBSERVED
DELTA,2026-01-05,32016808,0,PRESENT,31995400.0,1.0006690961825762,RATIO_OBSERVED
DELTA,2026-01-06,18643711,0,PRESENT,18633600.0,1.0005426219302764,RATIO_OBSERVED
DELTA,2026-01-07,13946527,0,PRESENT,13937100.0,1.000676396093879,RATIO_OBSERVED
DELTA,2026-01-08,98484885,0,PRESENT,98418900.0,1.0006704504927406,RATIO_OBSERVED
DELTA,2026-01-09,24374568,0,PRESENT,24354100.0,1.0008404334383123,RATIO_OBSERVED
EGCO,2026-01-05,738924,0,PRESENT,738500.0,1.0005741367637102,RATIO_OBSERVED
EGCO,2026-01-06,723639,0,PRESENT,722700.0,1.001299294312993,RATIO_OBSERVED
EGCO,2026-01-07,2820299,0,PRESENT,2819400.0,1.0003188621692558,RATIO_OBSERVED
EGCO,2026-01-08,1358358,0,PRESENT,1357400.0,1.0007057610137027,RATIO_OBSERVED
EGCO,2026-01-09,957946,0,PRESENT,957400.0,1.0005702945477335,RATIO_OBSERVED
GPSC,2026-01-05,4772250,0,PRESENT,4761700.0,1.0022155952705967,RATIO_OBSERVED
GPSC,2026-01-06,10332586,0,PRESENT,10330100.0,1.0002406559471835,RATIO_OBSERVED
GPSC,2026-01-07,4232249,0,PRESENT,4229800.0,1.0005789871861555,RATIO_OBSERVED
GPSC,2026-01-08,3831226,0,PRESENT,3827800.0,1.0008950310883535,RATIO_OBSERVED
GPSC,2026-01-09,1969261,0,PRESENT,1967900.0,1.000691600182936,RATIO_OBSERVED
GULF,2026-01-05,22200641,0,PRESENT,22194800.0,1.0002631697514732,RATIO_OBSERVED
GULF,2026-01-06,25462101,0,PRESENT,25457100.0,1.0001964481421686,RATIO_OBSERVED
GULF,2026-01-07,28549686,0,PRESENT,28544200.0,1.0001921931600815,RATIO_OBSERVED
GULF,2026-01-08,24380642,0,PRESENT,24376300.0,1.0001781238333955,RATIO_OBSERVED
GULF,2026-01-09,27542056,0,PRESENT,27539500.0,1.000092812142559,RATIO_OBSERVED
HMPRO,2026-01-05,25656915,0,PRESENT,25655300.0,1.0000629499557596,RATIO_OBSERVED
