symbol,fills,notional,slippage,avg_slippage,median_slippage,fees,transaction_cost,slippage_bps
BDMS,158,130570467.59607315,1033711.8,6542.479746835444,2736.1,219345.32851464328,1253057.1285146433,79.16888244574905
BGRIM,98,76925363.07820682,565512.6,5770.536734693877,3152.2,129226.91743507965,694739.5174350797,73.51445314922555
CENTEL,121,101506735.0,553912.5,4577.789256198347,2421.5,170521.1641265,724433.6641265,54.56903918739973
COM7,180,101767025.7962803,769143.95,4273.021944444444,2117.625,170958.42663517126,940102.3766351712,75.5788964039974
GLOBAL,82,53352056.43010473,350361.5,4272.701219512195,4214.15,89626.11959693293,439987.61959693296,65.66972736261822
GULF,104,16120256.0,77201.0,742.3173076923077,370.5,27080.4180544,104281.4180544,47.89067865919748
HMPRO,122,54187779.39822531,388685.39999999997,3185.945901639344,1988.15,91030.0506110787,479715.4506110787,71.7293464165704
IVL,191,103445800.3202961,766160.55,4011.3117801047124,1260.6,173778.5999580654,939939.1499580654,74.06395886809908
KKP,122,21750641.0,81507.75,668.0963114754098,353.5,36538.9018159,118046.6518159,37.47372318820397
KTB,246,138924500.6103832,759996.1,3089.4150406504064,1996.1,233379.26857538277,993375.3685753827,54.70569242004516
LH,108,38128253.02570796,219855.76,2035.7014814814816,1106.94,64051.6522578868,283907.4122578868,57.66216455072367
MTC,208,117464742.75,731630.5,3517.454326923077,2043.875,197329.021345725,928959.521345725,62.28511490951186
OSP,188,123664820.75033092,776631.6,4131.0191489361705,1772.35,207744.53237848092,984376.132378481,62.801336328943144
PTTGC,195,97451355.15525894,645093.85,3308.1735897435897,1363.75,163708.5315253195,808802.3815253194,66.19649865024864
RATCH,156,75230523.75,575474.0,3688.9358974358975,2300.875,126379.756847625,701853.756847625,76.4947485826855
SCGP,142,64216426.45737629,448282.65,3156.9200704225354,1821.8,107877.17480574643,556159.8248057464,69.80809657752414
TIDLOR,68,10427203.157536317,55095.1,810.2220588235294,307.9,17516.658584345256,72611.75858434525,52.837850349333344
TOP,173,134904019.5,748819.5,4328.436416184971,1725.0,226625.26235805,975444.76235805,55.50757514678797
