design,year,month,side,reason_class,price_bucket,notional_bucket,fills,notional,slippage,avg_slippage,median_slippage,fees,transaction_cost,slippage_bps
A,2023,2023-02,BUY,NORMAL_STRATEGY,10-25,Q4,1,2023611.4,13401.4,13401.4,13401.4,3399.46479086,16800.86479086,66.2251655629139
A,2023,2023-02,BUY,NORMAL_STRATEGY,25-50,Q4,6,12537079.0,96611.25,16101.875,16093.875,21061.039012100002,117672.2890121,77.06041415229177
A,2023,2023-02,BUY,NORMAL_STRATEGY,50-100,Q1,1,35045.5,161.5,161.5,161.5,58.87293545,220.37293545,46.08294930875576
A,2023,2023-02,BUY,NORMAL_STRATEGY,50-100,Q4,2,6181971.75,28391.25,14195.625,14195.625,10385.094342825,38776.344342825,45.92588117213574
A,2023,2023-02,SELL,NORMAL_STRATEGY,10-25,Q4,1,1902998.8255611416,13401.4,13401.4,13401.4,3196.8477270601625,16598.247727060163,70.42253426534984
A,2023,2023-02,SELL,NORMAL_STRATEGY,25-50,Q4,3,5829487.75,45465.0,15155.0,16501.0,9792.956471225,55257.956471225,77.99141528344407
A,2023,2023-02,SELL,NORMAL_STRATEGY,50-100,Q2,1,113905.0,522.5,522.5,522.5,191.3490095,713.8490095,45.87155963302752
A,2023,2023-02,SELL,NORMAL_STRATEGY,50-100,Q4,1,3019587.25,13540.75,13540.75,13540.75,5072.604621275,18613.354621275,44.84304932735426
A,2023,2023-03,BUY,NORMAL_STRATEGY,25-50,Q4,3,8055151.0,55994.5,18664.833333333332,15667.25,13531.8481649,69526.3481649,69.5139048293446
A,2023,2023-03,BUY,NORMAL_STRATEGY,50-100,Q1,1,35066.75,157.25,157.25,157.25,58.908633325,216.15863332499998,44.84304932735426
A,2023,2023-03,BUY,NORMAL_STRATEGY,50-100,Q4,1,4739150.0,20605.0,20605.0,20605.0,7961.298085,28566.298085000002,43.47826086956522
A,2023,2023-03,SELL,NORMAL_STRATEGY,25-50,Q1,1,18880.0,147.5,147.5,147.5,31.716512,179.216512,78.125
A,2023,2023-03,SELL,NORMAL_STRATEGY,25-50,Q4,3,10608605.5,79957.75,26652.583333333332,25874.0,17821.39637945,97779.14637945,75.37065074198489
A,2023,2023-03,SELL,NORMAL_STRATEGY,50-100,Q4,1,3207638.25,14646.75,14646.75,14646.75,5388.511496175,20035.261496175,45.662100456621005
A,2023,2023-04,BUY,NORMAL_STRATEGY,5-10,Q4,2,3078783.2948816298,15648.050000000001,7824.025000000001,7824.025000000001,5172.04805707165,20820.09805707165,50.82543492429084
A,2023,2023-04,BUY,NORMAL_STRATEGY,10-25,Q4,2,2978793.524836731,16851.7,8425.85,8425.85,5004.075242373224,21855.775242373224,56.572232548154375
A,2023,2023-04,BUY,NORMAL_STRATEGY,25-50,Q1,1,8009.75,49.75,49.75,49.75,13.455579024999999,63.205579025,62.11180124223602
A,2023,2023-04,BUY,NORMAL_STRATEGY,25-50,Q4,6,8156626.75,56977.0,9496.166666666666,8986.875,13702.317277325,70679.317277325,69.85363158857305
A,2023,2023-04,SELL,NORMAL_STRATEGY,5-10,Q1,1,33368.0,172.0,172.0,172.0,56.0549032,228.0549032,51.54639175257732
A,2023,2023-04,SELL,NORMAL_STRATEGY,5-10,Q4,1,3017829.8090364453,15476.05,15476.05,15476.05,5069.652296200325,20545.702296200325,51.282050278843606
A,2023,2023-04,SELL,NORMAL_STRATEGY,25-50,Q3,2,1042562.5,7787.0,3893.5,3893.5,1751.40074375,9538.40074375,74.69096576943828
A,2023,2023-04,SELL,NORMAL_STRATEGY,25-50,Q4,6,10569179.25,76275.25,12712.541666666666,9750.875,17755.164222075,94030.414222075,72.16761888109713
A,2023,2023-04,SELL,NORMAL_STRATEGY,50-100,Q4,2,4592112.0,20605.0,10302.5,10302.5,7714.2889488,28319.2889488,44.870421278923516
A,2023,2023-05,BUY,NORMAL_STRATEGY,10-25,Q4,4,6033731.352318954,36520.7,9130.175,9076.45,10136.065298760612,46656.76529876061,60.52755395873556
A,2023,2023-05,BUY,NORMAL_STRATEGY,25-50,Q1,1,2945.0,19.0,19.0,19.0,4.9473055,23.9473055,64.51612903225806
A,2023,2023-05,BUY,NORMAL_STRATEGY,25-50,Q4,9,16005895.25,118164.0,13129.333333333334,11322.0,26888.303430475,145052.303430475,73.8252988379391
A,2023,2023-05,SELL,NORMAL_STRATEGY,10-25,Q1,1,44714.40183410645,240.4,240.4,240.4,75.11572364111541,315.5157236411154,53.76343865493287
A,2023,2023-05,SELL,NORMAL_STRATEGY,10-25,Q2,1,54358.60217132568,284.6,284.6,284.6,91.31701578761,375.91701578761,52.35601885107476
A,2023,2023-05,SELL,NORMAL_STRATEGY,10-25,Q4,3,5218596.460289383,31163.1,10387.699999999999,10564.3,8766.720193640132,39929.82019364013,59.715481427111406
A,2023,2023-05,SELL,NORMAL_STRATEGY,25-50,Q1,1,1350.0,11.25,11.25,11.25,2.267865,13.517865,83.33333333333333
A,2023,2023-05,SELL,NORMAL_STRATEGY,25-50,Q4,7,11576319.25,84170.5,12024.357142857143,11322.0,19447.058708075,103617.558708075,72.70920763523345
A,2023,2023-06,BUY,NORMAL_STRATEGY,10-25,Q1,1,1450.4,7.4,7.4,7.4,2.4365269599999997,9.83652696,51.0204081632653
A,2023,2023-06,BUY,NORMAL_STRATEGY,10-25,Q4,1,765184.2,4006.2,4006.2,4006.2,1285.4329375799998,5291.63293758,52.35602094240838
A,2023,2023-06,BUY,NORMAL_STRATEGY,25-50,Q1,2,57047.5,477.75,238.875,238.875,95.83409524999999,573.58409525,83.74600113940139
A,2023,2023-06,BUY,NORMAL_STRATEGY,25-50,Q4,8,11581516.75,82146.0,10268.25,9544.625,19455.789988325,101601.789988325,70.92853360506516
A,2023,2023-06,SELL,NORMAL_STRATEGY,10-25,Q1,1,33740.538731765744,203.3,203.3,203.3,56.68073101549328,259.9807310154933,60.2539282541446
A,2023,2023-06,SELL,NORMAL_STRATEGY,10-25,Q4,3,4369227.05917778,25494.6,8498.199999999999,7447.9,7339.864536712752,32834.46453671275,58.35036644856284
A,2023,2023-06,SELL,NORMAL_STRATEGY,25-50,Q1,1,12423.0,75.75,75.75,75.75,20.8693977,96.61939770000001,60.97560975609756
A,2023,2023-06,SELL,NORMAL_STRATEGY,25-50,Q2,1,84553.75,735.25,735.25,735.25,142.041844625,877.2918446250001,86.95652173913044
A,2023,2023-06,SELL,NORMAL_STRATEGY,25-50,Q4,8,12675869.75,92119.5,11514.9375,9544.625,21294.193593025,113413.693593025,72.67311972813542
A,2023,2023-07,BUY,NORMAL_STRATEGY,5-10,Q4,1,913806.9,5343.9,5343.9,5343.9,1535.10421131,6879.00421131,58.47953216374269
A,2023,2023-07,BUY,NORMAL_STRATEGY,10-25,Q4,4,7230168.540376854,45487.2,11371.8,10407.15,12145.960130979078,57633.16013097908,62.91305623925206
A,2023,2023-07,BUY,NORMAL_STRATEGY,25-50,Q4,9,15723058.0,105577.25,11730.805555555555,8015.75,26413.165134199997,131990.41513419998,67.1480382505744
A,2023,2023-07,SELL,NORMAL_STRATEGY,5-10,Q2,1,172320.5038667679,1013.65,1013.65,1013.65,289.4812144457834,1303.1312144457834,58.823528091800284
A,2023,2023-07,SELL,NORMAL_STRATEGY,10-25,Q2,1,180744.0,886.0,886.0,886.0,303.6318456,1189.6318456,49.01960784313725
A,2023,2023-07,SELL,NORMAL_STRATEGY,10-25,Q4,4,4674108.672743225,29422.1,7355.525,7019.7,7852.035159341343,37274.13515934134,62.9469746212217
A,2023,2023-07,SELL,NORMAL_STRATEGY,25-50,Q2,3,497889.5,3685.5,1228.5,1306.0,836.4045710500001,4521.9045710499995,74.02244875619992
