design,signal_date,execution_date,symbol,side,quantity,order_type,validity,requested_price,executed_price,status,reason,order_value,commission,vat,total_fees,slippage,membership_end_date,date,year,month,tick_size,slippage_bps,fee_total,transaction_cost,price_bucket,notional_bucket,reason_class
A,2023-02-01 00:00:00,2023-02-02 00:00:00,BDMS,BUY,66004,LIMIT,IOC,30.25,30.25,FILLED,,1996621.0,3134.69497,219.4286479,3354.1236179,16501.0,,2023-02-02,2023,2023-02,0.25,82.64462809917356,3354.1236178999998,19855.1236179,25-50,Q4,NORMAL_STRATEGY
A,2023-02-01 00:00:00,2023-02-02 00:00:00,IVL,BUY,48403,LIMIT,IOC,41.25,41.25,FILLED,,1996623.75,3134.6992875,219.428950125,3354.128237625,12100.75,,2023-02-02,2023,2023-02,0.25,60.60606060606061,3354.128237625,15454.878237625,25-50,Q4,NORMAL_STRATEGY
A,2023-02-06 00:00:00,2023-02-07 00:00:00,BDMS,SELL,66004,LIMIT,IOC,29.75,29.75,FILLED,,1963619.0,3082.88183,215.8017281,3298.6835581,16501.0,,2023-02-07,2023,2023-02,0.25,84.03361344537815,3298.6835580999996,19799.683558099998,25-50,Q4,NORMAL_STRATEGY
A,2023-02-06 00:00:00,2023-02-07 00:00:00,IVL,SELL,48403,LIMIT,IOC,40.5,40.5,FILLED,,1960321.5,3077.704755,215.43933285,3293.14408785,12100.75,,2023-02-07,2023,2023-02,0.25,61.72839506172839,3293.1440878500002,15393.89408785,25-50,Q4,NORMAL_STRATEGY
A,2023-02-06 00:00:00,2023-02-07 00:00:00,CENTEL,BUY,91582,LIMIT,IOC,54.0,54.0,FILLED,,4945428.0,7764.32196,543.5025372,8307.8244972,22895.5,,2023-02-07,2023,2023-02,0.25,46.29629629629629,8307.8244972,31203.3244972,50-100,Q4,NORMAL_STRATEGY
A,2023-02-14 00:00:00,2023-02-15 00:00:00,CENTEL,BUY,646,LIMIT,IOC,54.25,54.25,FILLED,,35045.5,55.021435,3.85150045,58.87293545,161.5,,2023-02-15,2023,2023-02,0.25,46.08294930875576,58.87293545,220.37293545,50-100,Q1,NORMAL_STRATEGY
A,2023-02-17 00:00:00,2023-02-20 00:00:00,CENTEL,SELL,2090,LIMIT,IOC,54.5,54.5,FILLED,,113905.0,178.83085,12.5181595,191.3490095,522.5,,2023-02-20,2023,2023-02,0.25,45.87155963302752,191.3490095,713.8490095,50-100,Q2,NORMAL_STRATEGY
A,2023-02-22 00:00:00,2023-02-23 00:00:00,CENTEL,SELL,54163,LIMIT,IOC,55.75,55.75,FILLED,,3019587.25,4740.7519825,331.852638775,5072.604621275,13540.75,,2023-02-23,2023,2023-02,0.25,44.84304932735426,5072.604621275,18613.354621275,50-100,Q4,NORMAL_STRATEGY
A,2023-02-22 00:00:00,2023-02-23 00:00:00,BDMS,BUY,67453,LIMIT,IOC,30.0,30.0,FILLED,,2023590.0,3177.0363,222.392541,3399.428841,16863.25,,2023-02-23,2023,2023-02,0.25,83.33333333333333,3399.4288410000004,20262.678841,25-50,Q4,NORMAL_STRATEGY
A,2023-02-22 00:00:00,2023-02-23 00:00:00,HMPRO,BUY,134014,LIMIT,IOC,15.1,15.1,FILLED,,2023611.4,3177.069898,222.39489286,3399.46479086,13401.4,,2023-02-23,2023,2023-02,0.09999999999999999,66.2251655629139,3399.46479086,16800.86479086,10-25,Q4,NORMAL_STRATEGY
A,2023-02-22 00:00:00,2023-02-23 00:00:00,OSP,BUY,62747,LIMIT,IOC,32.25,32.25,FILLED,,2023590.75,3177.0374775,222.392623425,3399.430100925,15686.75,,2023-02-23,2023,2023-02,0.25,77.51937984496124,3399.4301009250003,19086.180100925,25-50,Q4,NORMAL_STRATEGY
A,2023-02-27 00:00:00,2023-02-28 00:00:00,BDMS,SELL,67453,LIMIT,IOC,28.25,28.25,FILLED,,1905547.25,2991.7091825,209.419642775,3201.128825275,16863.25,,2023-02-28,2023,2023-02,0.25,88.49557522123894,3201.128825275,20064.378825275002,25-50,Q4,NORMAL_STRATEGY
A,2023-02-27 00:00:00,2023-02-28 00:00:00,HMPRO,SELL,134014,LIMIT,IOC,14.200000190734864,14.200000190734864,FILLED,,1902998.8255611416,2987.708156130993,209.13957092916948,3196.8477270601625,13401.4,,2023-02-28,2023,2023-02,0.09999999999999999,70.42253426534984,3196.8477270601625,16598.247727060163,10-25,Q4,NORMAL_STRATEGY
A,2023-02-27 00:00:00,2023-02-28 00:00:00,CENTEL,BUY,21983,LIMIT,IOC,56.25,56.25,FILLED,,1236543.75,1941.3736875,135.896158125,2077.269845625,5495.75,,2023-02-28,2023,2023-02,0.25,44.44444444444444,2077.269845625,7573.019845625,50-100,Q4,NORMAL_STRATEGY
A,2023-02-27 00:00:00,2023-02-28 00:00:00,COM7,BUY,103496,LIMIT,IOC,31.5,31.5,FILLED,,3260124.0,5118.39468,358.2876276,5476.6823076,25874.0,,2023-02-28,2023,2023-02,0.25,79.36507936507937,5476.6823076,31350.6823076,25-50,Q4,NORMAL_STRATEGY
A,2023-02-27 00:00:00,2023-02-28 00:00:00,OSP,BUY,38342,LIMIT,IOC,32.25,32.25,FILLED,,1236529.5,1941.351315,135.89459205,2077.24590705,9585.5,,2023-02-28,2023,2023-02,0.25,77.51937984496124,2077.24590705,11662.74590705,25-50,Q4,NORMAL_STRATEGY
A,2023-03-02 00:00:00,2023-03-03 00:00:00,COM7,SELL,103496,LIMIT,IOC,30.5,30.5,FILLED,,3156628.0,4955.90596,346.9134172,5302.8193772,25874.0,,2023-03-03,2023,2023-03,0.25,81.9672131147541,5302.8193772,31176.8193772,25-50,Q4,NORMAL_STRATEGY
A,2023-03-08 00:00:00,2023-03-09 00:00:00,OSP,SELL,590,LIMIT,IOC,32.0,32.0,FILLED,,18880.0,29.6416,2.074912,31.716512,147.5,,2023-03-09,2023,2023-03,0.25,78.125,31.716512,179.216512,25-50,Q1,NORMAL_STRATEGY
