design,bucket,count,win_rate,gross_pnl,net_pnl,average_return,median_return,fees,slippage
A,1-2,1,0.0,-23989.199999999913,-30427.330067159914,-0.023931626202828942,-0.023931626202828942,6438.13006716,36619.8
A,3-5,170,0.1411764705882353,-2893745.631312219,-3412545.276275022,-0.6273173053364582,-0.03282248840305646,518799.6449628032,2094853.71
A,6-10,186,0.22580645161290322,-1743395.3871064181,-2214182.273159164,-0.054764428930668484,-0.029289194797721477,470786.88605274574,1812270.09
A,11-20,278,0.2302158273381295,-2044959.6656592097,-2626232.65550089,-0.06963979560569127,-0.032480316194058736,581272.9898416809,2192857.9
A,>20,439,0.5854214123006833,756314.2359928039,48170.59825362457,-0.01189739339461704,0.015706719836177926,708143.6377391792,2663615.0700000003
C,1-2,1,0.0,-24202.599999999915,-30697.991474539915,-0.02393161835141984,-0.02393161835141984,6495.39147454,36945.5
C,3-5,174,0.15517241379310345,-2886091.6485665524,-3410383.820547751,-0.35473967259828354,-0.034602363409435934,524292.1719811988,2113897.1300000004
C,6-10,190,0.22631578947368422,-1714426.8085015675,-2193405.462836498,-0.070685473760083,-0.02971353448934893,478978.65433493035,1847174.9300000002
C,11-20,264,0.20075757575757575,-2176023.368386089,-2767348.747902345,-0.11434381565582233,-0.03646652079186369,591325.3795162559,2228582.0399999996
C,>20,374,0.5267379679144385,769345.5469725424,95464.0339666516,-0.04395089005585525,0.006262435757721247,673881.5130058908,2518881.31
