fold,design,research_period,oos_period,research_observations,oos_observations,starting_capital,final_equity,gross_return,net_return,volatility,maximum_drawdown,turnover,commission,vat,total_fees,slippage,fills,trade_count,non_fills,unique_symbols_traded,valuation_complete,complete_valuation_snapshots,incomplete_valuation_snapshots,rebalances,boundary_exits,eligibility_exclusions
1,A,"{""start"": ""2023-01-03"", ""end"": ""2024-08-26""}","{""start"": ""2024-08-27"", ""end"": ""2025-02-19""}",400,120,10000000,8882524.375781824158670914315,-0.08292946955698970481900000018,-0.1117475624218175841329085685,0.14841877046608232,-0.2170979040318151162355681416,17.1546478152436926685568,269327.97069932597489634176,18852.9579489528182427439232,288180.9286482787931390856832,1137779.150000000000000,137,137,74,15,True,120,0,39,0,"{""OUTSIDE_SET50_MEMBERSHIP_PERIOD"": 39}"
1,C,"{""start"": ""2023-01-03"", ""end"": ""2024-08-26""}","{""start"": ""2024-08-27"", ""end"": ""2025-02-19""}",400,120,10000000,8929703.343996284150178915147,-0.07751650350104334134229999991,-0.1070296656003715849821084853,0.15397841273663795,-0.2206740383698634158033159709,17.5684041307984068336261,275823.94485353498728792977,19307.6761397474491101550839,295131.6209932824363980848539,1174763.850000000000000,135,135,62,15,True,120,0,39,0,"{""OUTSIDE_SET50_MEMBERSHIP_PERIOD"": 39}"
2,A,"{""start"": ""2023-01-03"", ""end"": ""2025-02-19""}","{""start"": ""2025-02-20"", ""end"": ""2025-08-22""}",520,120,10000000,7769102.808205782204803400506,-0.1908439239905414288848500003,-0.2230897191794217795196599494,0.20754100621295235,-0.2924342546088797425131477089,19.19506827125445004750875,301362.571858694865745887375,21095.38003010864060221211625,322457.9518888035063480994913,1156426.0600000000000000,169,169,71,16,True,120,0,39,1,"{""GULF_PRE_MERGER_CONTINUITY_BOUNDARY"": 9, ""OUTSIDE_SET50_MEMBERSHIP_PERIOD"": 78}"
2,C,"{""start"": ""2023-01-03"", ""end"": ""2025-02-19""}","{""start"": ""2025-02-20"", ""end"": ""2025-08-22""}",520,120,10000000,7869111.192333998948448821472,-0.1812753793638248089377999999,-0.2130888807666001051551178528,0.20792082002213852,-0.2909784886009698207945428295,18.9377352239867231485909,297322.443016591553432877130,20812.57101116140874030139910,318135.0140277529621731785291,1149080.2700000000000000,161,161,62,16,True,120,0,39,1,"{""GULF_PRE_MERGER_CONTINUITY_BOUNDARY"": 9, ""OUTSIDE_SET50_MEMBERSHIP_PERIOD"": 78}"
3,A,"{""start"": ""2023-01-03"", ""end"": ""2025-08-22""}","{""start"": ""2025-08-25"", ""end"": ""2026-02-17""}",640,120,10000000,10506787.65884062084326763301,0.07596469519264995308001000006,0.050678765884062084326763301,0.1559188477747641,-0.1537216357205042779812577058,15.05204435298998080436139,236317.096341942698628473823,16542.19674393598890399316761,252859.2930858786875324669906,1008645.7200000000000000,234,234,94,16,True,120,0,39,0,"{""OUTSIDE_SET50_MEMBERSHIP_PERIOD"": 29}"
3,C,"{""start"": ""2023-01-03"", ""end"": ""2025-08-22""}","{""start"": ""2025-08-25"", ""end"": ""2026-02-17""}",640,120,10000000,10438259.89817857172832773698,0.06968264800868041253888999967,0.043825989817857172832773698,0.16001217519279304,-0.1537495609338773758292553553,15.39178414835599720585529,241651.011129189156131928053,16915.57077904324092923496371,258566.5819082323970611630167,1015798.7500000000000000,217,217,87,16,True,120,0,39,0,"{""OUTSIDE_SET50_MEMBERSHIP_PERIOD"": 29}"
4,A,"{""start"": ""2023-01-03"", ""end"": ""2026-02-17""}","{""start"": ""2026-02-18"", ""end"": ""2026-08-11""}",760,120,10000000,11353193.39891968605922833113,0.1613783153649167779977700000,0.135319339891968605922833113,0.21154082060351706,-0.1240630368618932340624379327,15.51221827069954882727358,243541.826849982916588195206,17047.92787949880416117366442,260589.7547294817207493688704,966176.4200000000000000,277,277,115,16,True,120,0,39,1,"{""OUTSIDE_SET50_MEMBERSHIP_PERIOD"": 68}"
4,C,"{""start"": ""2023-01-03"", ""end"": ""2026-02-17""}","{""start"": ""2026-02-18"", ""end"": ""2026-08-11""}",760,120,10000000,11356139.59422472663216427735,0.1611747686249026980036800000,0.135613959422472663216427735,0.22053233724355437,-0.1342314278374022154679923980,15.21567307722485551952632,238886.067312430231656563224,16722.02471187011621595942568,255608.0920243003478725226497,969752.2400000000000000,255,255,89,16,True,120,0,39,1,"{""OUTSIDE_SET50_MEMBERSHIP_PERIOD"": 68}"
5,A,"{""start"": ""2023-01-03"", ""end"": ""2026-08-11""}","{""start"": ""2026-08-12"", ""end"": ""2026-09-04""}",880,18,10000000,9709477.548474309245946395025,-0.0224563248960877147342000001,-0.0290522451525690754053604975,0.07338502383525052,-0.0320680924482241001872536382,3.926376722710495071826,61644.11454655477262766820,4315.0880182588340839367740,65959.2025648136067116049740,225856.650000000000000,22,22,6,9,True,18,0,5,0,{}
5,C,"{""start"": ""2023-01-03"", ""end"": ""2026-08-11""}","{""start"": ""2026-08-12"", ""end"": ""2026-09-04""}",880,18,10000000,9709477.548474309245946395025,-0.0224563248960877147342000001,-0.0290522451525690754053604975,0.07338502383525052,-0.0320680924482241001872536382,3.926376722710495071826,61644.11454655477262766820,4315.0880182588340839367740,65959.2025648136067116049740,225856.650000000000000,22,22,6,9,True,18,0,5,0,{}
