SET Symbol,Yahoo Ticker,Status,Yahoo Name,Exchange,First Data,Last Data,Evidence,Notes
ADVANC,ADVANC.BK,VERIFIED,Advanced Info Service Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/ADVANC.BK?range=1d&interval=1d,Metadata identity matched; source company: ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED.
AOT,AOT.BK,VERIFIED,Airports of Thailand Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/AOT.BK?range=1d&interval=1d,Metadata identity matched; source company: AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED.
AWC,AWC.BK,VERIFIED,Asset World Corp Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/AWC.BK?range=1d&interval=1d,Metadata identity matched; source company: ASSET WORLD CORP PUBLIC COMPANY LIMITED.
BANPU,BANPU.BK,VERIFIED,Banpu Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/BANPU.BK?range=1d&interval=1d,Metadata identity matched; source company: BANPU PUBLIC COMPANY LIMITED.
BBL,BBL.BK,VERIFIED,Bangkok Bank Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/BBL.BK?range=1d&interval=1d,Metadata identity matched; source company: BANGKOK BANK PUBLIC COMPANY LIMITED.
BCP,BCP.BK,VERIFIED,Bangchak Corporation Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/BCP.BK?range=1d&interval=1d,Metadata identity matched; source company: BANGCHAK CORPORATION PUBLIC COMPANY LIMITED.
BDMS,BDMS.BK,VERIFIED,Bangkok Dusit Medical Services Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/BDMS.BK?range=1d&interval=1d,Metadata identity matched; source company: BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED.
BEM,BEM.BK,VERIFIED,Bangkok Expressway and Metro Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/BEM.BK?range=1d&interval=1d,Metadata identity matched; source company: BANGKOK EXPRESSWAY AND METRO PUBLIC COMPANY LIMITED.
BGRIM,BGRIM.BK,VERIFIED,B.Grimm Power Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/BGRIM.BK?range=1d&interval=1d,Metadata identity matched; source company: B.GRIMM POWER PUBLIC COMPANY LIMITED.
BH,BH.BK,VERIFIED,Bumrungrad Hospital Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/BH.BK?range=1d&interval=1d,Metadata identity matched; source company: BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED.
BJC,BJC.BK,VERIFIED,Berli Jucker Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/BJC.BK?range=1d&interval=1d,Metadata identity matched; source company: BERLI JUCKER PUBLIC COMPANY LIMITED.
